694.,2018-01-31 20:01:51,115.11,97%,The procedure for dealing with rigid body kinetics problems ...,Win (1 of 4)
693.,2018-01-30 20:24:20,124.13,97%,"In the casino, the cardinal rule is to keep them playing and...",No win (2 of 4)
692.,2018-01-30 20:23:45,139.77,98%,"Oh baby, it's alright. It's alright to feel like a fat child...",Win (1 of 2)
691.,2018-01-30 20:23:09,136.15,98%,"Above all, don't lie to yourself. The man who lies to himsel...",Win (1 of 3)
690.,2018-01-30 20:21:55,115.59,97%,"Harvey and I have things to do. We sit in bars, have a drink...",No win (2 of 5)
689.,2018-01-30 20:20:10,108.99,96%,"Remember, if the time should come when you have to make a ch...",Win (1 of 4)
688.,2018-01-30 20:19:28,118.49,97%,Humans need to practice what they are learning a good deal b...,No win (4 of 4)
687.,2018-01-30 20:18:54,130.28,98%,"Well, I heard my friends really got in a mess so I'm gonna h...",No win (2 of 5)
686.,2018-01-30 20:18:11,104.23,95%,"Morning has broken like the first morning, blackbird has spo...",Win (1 of 4)
685.,2018-01-30 20:16:53,135.08,98%,"There's a sort of evil out there. Something very, very stran...",Win (1 of 4)
684.,2018-01-30 20:09:31,116.83,98%,No one could figure out how I coaxed such hearty flavor out ...,Win (1 of 3)
683.,2018-01-30 20:08:36,122.45,97%,Most people overestimate what they can achieve in a day and ...,Win (1 of 3)
682.,2018-01-30 20:06:34,159.96,100%,"Whenever I'm alone with you, you make me feel like I am home...",Win (1 of 3)
681.,2018-01-30 20:04:43,120.41,96%,"Some men dream of money, some men dream of love. My father d...",Win (1 of 5)
680.,2018-01-30 20:04:02,139.48,98%,"There are times when all the world's asleep, the questions r...",Win (1 of 3)
679.,2018-01-30 20:01:55,119.16,98%,The whole fury and might of the enemy must very soon be turn...,Win (1 of 4)
678.,2018-01-30 19:57:55,122.72,97%,Punishment and negative reinforcement are opposites. Punishm...,Win (1 of 4)
677.,2018-01-30 19:56:58,124.33,97%,"In this grave hour, perhaps the most fateful in our history,...",Win (1 of 3)
676.,2018-01-30 19:56:05,126.35,97%,The example of painting can teach us not only how to manage ...,Win (1 of 5)
675.,2018-01-30 19:46:56,115.09,97%,"Borders matter. Borders regulate the flow of people, the mov...",Win (1 of 4)
674.,2018-01-30 19:46:00,136.70,99%,I must not fear. Fear is the mind killer. Fear is the little...,Win (1 of 4)
673.,2018-01-30 19:45:14,125.44,96%,Being able to quit things that don't work is integral to bei...,No win (2 of 5)
672.,2018-01-30 19:43:46,98.95,97%,Three shiny steel doors stand at the centre of the hallway. ...,No win (3 of 5)
671.,2018-01-16 17:33:09,124.15,97%,The Sky People have sent us a message that they can take wha...,No win (2 of 4)
670.,2018-01-16 17:30:38,151.95,99%,Maybe you should come with me for a few weeks. See what happ...,Win (1 of 5)
669.,2018-01-16 17:30:01,132.55,97%,A new disease has fallen on the life of man. Our torment is ...,No win (2 of 5)
668.,2018-01-16 17:28:57,112.59,96%,"Sweet the rain's new fall, sunlit from heaven like the first...",Win (1 of 5)
667.,2018-01-16 17:27:26,154.22,99%,Always seems to me you only see what people want you to see....,Win (1 of 5)
666.,2018-01-16 17:27:01,105.96,95%,I find it wholesome to be alone the greater part of the time...,No win (2 of 5)
665.,2018-01-16 17:25:42,112.25,96%,How can an Image-Fiction writer hope to make people more cri...,No win (2 of 2)
664.,2018-01-16 17:24:36,112.91,96%,The inability to envision a certain kind of person doing a c...,No win (4 of 5)
663.,2018-01-16 17:23:39,112.73,97%,"There are few people whom I really love, and still fewer of ...",No win (3 of 5)
662.,2018-01-16 17:21:17,123.66,98%,"So ran the speech. Burdened and sick at heart, he feigned ho...",Win (1 of 4)
661.,2017-12-22 18:32:13,121.43,97%,"Do you know how long it takes a working man to save $5,000? ...",Win (1 of 3)
660.,2017-12-22 18:29:39,127.52,99%,"I wonder, how you can expect to gain an idea of my usual tea...",Win (1 of 5)
659.,2017-12-21 20:46:55,142.77,98%,"If I were a rich man, I'd build a big tall house with rooms ...",Win (1 of 3)
