140.,2016-08-10 14:53:17,179.29,100%,There's a piece of Maria in every song that I sing. And the ...,Win (1 of 4)
139.,2016-08-10 14:52:27,153.74,97%,The beginner writes just twenty pieces. The professional wri...,No win (2 of 5)
138.,2016-08-10 14:51:38,112.63,89%,"Now, you want it, Nick, you buy it. - What else do I get wit...",No win (2 of 5)
137.,2016-08-10 14:50:49,149.69,93%,Who has a safety deposit box full of money and six passports...,No win (3 of 6)
136.,2016-08-10 14:50:00,140.85,91%,"You can't get away with saying ""I don't like green food!"" mu...",Win (1 of 6)
135.,2016-08-10 14:49:18,142.16,93%,"What good's a reward if you ain't around to use it? Besides,...",No win (3 of 5)
134.,2016-08-10 14:47:19,157.78,98%,Always do your best - your best is going to change from mome...,Win (1 of 5)
133.,2016-08-10 14:46:38,147.69,90%,"If the driver would only slow down, the car would actually g...",No win (2 of 6)
132.,2016-08-10 14:45:13,138.45,90%,"After removal from the oven, the pizza is sliced and plated ...",Win (1 of 5)
131.,2016-08-10 14:44:24,127.54,94%,"When the green lights came on, pedestrians skirted or jumped...",No win (2 of 5)
130.,2016-08-10 14:43:43,162.98,97%,"In general, many of these targets are easier marks if you ar...",Win (1 of 4)
129.,2016-08-10 14:42:57,155.66,99%,"Pursued by the Empire's sinister agents, Princess Leia races...",Win (1 of 4)
128.,2016-08-10 14:42:10,155.77,98%,"I know what ""exacerbate"" means. There is not a word or a sen...",No win (2 of 5)
127.,2016-08-10 14:41:26,156.45,94%,There are very few things I wish I could change about those ...,Win (1 of 5)
126.,2016-08-10 14:40:39,155.24,95%,I've been thinking lots about my life and how quick I'd wash...,Win (1 of 5)
125.,2016-08-10 14:39:43,175.11,99%,"If you don't get what you want, you suffer; if you get what ...",Win (1 of 5)
124.,2016-08-10 14:38:58,164.22,97%,I drew the blankets over my head and tried to think of Chris...,Win (1 of 5)
123.,2016-08-10 14:38:08,123.71,95%,"Many years ago, a famous Arabian alchemist had visited Europ...",Win (1 of 4)
122.,2016-08-10 14:37:25,153.55,98%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 4)
121.,2016-08-10 14:36:41,155.76,94%,"Look and think as far ahead as possible. Often, a driver's n...",Win (1 of 4)
120.,2016-08-10 14:35:49,154.92,99%,In order to become an elf I filled out ten pages' worth of f...,Win (1 of 5)
119.,2016-08-10 14:35:07,153.77,100%,So my heart goes out to them. Figuratively. I would never ac...,Win (1 of 5)
118.,2016-08-10 14:34:21,166.18,99%,Music finds a comfortable parallel with that of human langua...,Win (1 of 4)
117.,2016-08-10 14:33:42,137.75,87%,"All hands on deck at dawn, sailing to sadder shores. Your po...",No win (2 of 4)
116.,2016-08-10 14:32:58,160.44,100%,"It's a four ton truck, Tyrone, it's not as though it's a pac...",No win (2 of 5)
115.,2016-08-10 14:32:25,137.11,95%,Ever seen the size of one of their molars? They go through b...,Win (1 of 4)
114.,2016-08-10 14:31:43,160.09,98%,"Every time you practice a technique incorrectly, you're incr...",Win (1 of 4)
113.,2016-08-10 14:30:54,182.76,100%,"The hectic speed, and the brevity of the lines in the thread...",Win (1 of 5)
112.,2016-08-10 14:29:24,141.46,99%,"It's a four ton truck, Tyrone, it's not as though it's a pac...",Win (1 of 3)
111.,2016-08-10 14:28:39,180.56,100%,"In the capital of the Sunbelt South, the quiet revolution of...",Win (1 of 4)
110.,2016-08-10 14:27:25,152.28,98%,In order to become an elf I filled out ten pages' worth of f...,Win (1 of 4)
109.,2016-08-10 14:26:48,109.65,87%,So my heart goes out to them. Figuratively. I would never ac...,No win (2 of 3)
108.,2016-08-10 14:24:58,178.62,100%,Consider this: Is the pious being loved by the gods because ...,Win (1 of 5)
107.,2016-08-10 14:23:38,159.13,100%,The quick brown fox jumps over the lazy dog.,Win (1 of 4)
106.,2016-08-10 14:23:06,153.11,96%,Writing is hard work. A clear sentence is no accident. Very ...,Win (1 of 3)
105.,2016-08-10 14:20:59,157.41,96%,Most popular song lyrics have two sections - a verse and a b...,Win (1 of 5)
104.,2016-08-10 14:20:12,123.95,86%,The unknown future rolls toward us. I face it for the first ...,No win (2 of 2)
103.,2016-08-10 14:19:14,146.05,97%,There are two places on Earth that serve as canaries in the ...,Win (1 of 3)
102.,2016-08-10 14:18:25,152.08,90%,Instead of hiring workers during the peak hog kill in the wi...,Win (1 of 4)
101.,2016-08-10 14:16:47,176.75,100%,"When I was your age, television was called books. And this i...",Win (1 of 4)
100.,2016-08-10 14:15:59,154.74,92%,Lucid but wholly false recollections can easily be induced b...,Win (1 of 4)
99.,2016-08-10 14:14:18,183.00,99%,"As civilizations grew, humans spread out across the face of ...",Win (1 of 5)
98.,2016-08-10 14:12:38,158.98,95%,"Whether they use the title or not, many lyrics have evocativ...",Win (1 of 4)
97.,2016-08-10 14:11:41,161.09,95%,The time has come for man to plant the seed of his highest h...,Win (1 of 4)
96.,2016-08-10 14:10:47,172.20,99%,For it is not enough to have a good mind; the main thing is ...,Win (1 of 4)
95.,2016-08-10 14:08:58,146.55,95%,We have a criminal jury system which is superior to any in t...,Win (1 of 4)
94.,2016-08-10 14:06:58,171.06,99%,God help the man who ever really loves you. You'd break his ...,Win (1 of 3)
93.,2016-08-10 14:05:35,151.33,95%,Most popular song lyrics have two sections - a verse and a b...,Win (1 of 3)
92.,2016-08-10 14:04:51,148.03,93%,"Whether they use the title or not, many lyrics have evocativ...",Win (1 of 3)
91.,2016-08-10 14:04:05,158.61,98%,Good games offer players a set of challenging problems and t...,Win (1 of 4)
90.,2016-08-10 14:03:28,141.07,95%,Use the power of your word in the direction of truth and love.,No win (2 of 4)
89.,2016-08-10 14:02:56,156.22,96%,Commas and periods always go inside quotation marks. Colons ...,Win (1 of 3)
88.,2016-08-10 14:02:12,141.05,98%,"Many years ago, a famous Arabian alchemist had visited Europ...",Win (1 of 5)
87.,2016-08-10 14:01:27,160.85,100%,In order to become an elf I filled out ten pages' worth of f...,Win (1 of 3)
86.,2016-08-10 14:00:48,155.39,93%,"The less you do with the controls, the less chance of error....",Win (1 of 5)
85.,2016-08-10 14:00:04,144.57,93%,"A robot may not injure a human being, or, through inaction, ...",Win (1 of 3)
84.,2016-08-10 13:59:04,162.92,96%,Vigorous writing is concise. A sentence should contain no un...,Win (1 of 3)
83.,2016-08-10 13:57:54,176.62,99%,Paper as we know it today was invented in China in around 10...,Win (1 of 2)
82.,2016-08-10 13:57:19,141.98,94%,Some have a positive vocation for breaking open safes: from ...,Win (1 of 3)
81.,2016-08-10 13:56:29,155.24,96%,"After the grapes are crushed, yeasts (tiny one-celled organi...",Win (1 of 2)
80.,2016-08-10 13:55:47,163.16,95%,"They say, ""Find a purpose in your life and live it."" But, so...",Win (1 of 3)
79.,2016-08-10 13:53:24,163.93,98%,Three changes occur while the stacked disk structure equilib...,Win (1 of 3)
78.,2016-08-10 13:52:34,127.06,87%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 3)
77.,2016-08-10 13:51:53,147.26,93%,"In the witch trials, it was nearly impossible to provide com...",Win (1 of 3)
76.,2016-08-10 12:08:42,157.94,95%,"Double, double, toil and trouble; fire burn, and cauldron bu...",Win (1 of 3)
75.,2016-08-10 12:07:47,124.75,91%,The development of a living body of literature became indica...,Win (1 of 2)
74.,2016-08-10 12:06:58,138.90,88%,"First of all, you must be comfortable, otherwise it will be ...",Win (1 of 4)
73.,2016-08-10 12:06:13,153.24,92%,Advertising has these people chasing cars and clothes they d...,Win (1 of 4)
72.,2016-08-10 12:05:30,146.89,89%,There are very few things I wish I could change about those ...,Win (1 of 4)
71.,2016-08-10 12:04:51,149.48,96%,"What good's a reward if you ain't around to use it? Besides,...",Win (1 of 5)
70.,2016-08-10 12:04:12,124.09,96%,The quick brown fox jumps over the lazy dog.,No win (2 of 4)
69.,2016-08-10 12:03:33,179.66,100%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 5)
68.,2016-08-10 12:02:54,152.96,94%,I will need my spectacles and a clear head. Today I broke my...,No win (2 of 5)
67.,2016-08-10 12:02:10,144.96,93%,To drive out of the Central Valley of California on a hot da...,No win (2 of 5)
66.,2016-08-10 12:01:27,114.92,84%,"Anyway, like I was saying, shrimp is the fruit of the sea. Y...",No win (3 of 4)
65.,2016-08-10 12:00:33,144.40,98%,"You cannot pass! I am a servant of the Secret Fire, wielder ...",Win (1 of 5)
64.,2016-08-10 11:59:48,169.57,98%,It's usually best to run as quick as you can for the first f...,Win (1 of 5)
63.,2016-08-10 11:59:09,177.75,99%,"Other keyboard layouts have been created since, but the orig...",Win (1 of 5)
62.,2016-08-10 11:58:27,170.66,95%,I used to dread getting older because I thought I would not ...,Win (1 of 5)
61.,2016-08-10 11:57:45,129.19,93%,"That's Tommy. He tells people he was named after a gun, but ...",No win (2 of 5)
60.,2016-08-10 11:57:06,131.37,92%,"There was me, that is Alex, and my three droogs, that is Pet...",No win (3 of 4)
59.,2016-08-10 11:56:15,134.44,96%,"Whether you use a PC, laptop, or typewriter - typing is an i...",No win (2 of 5)
58.,2016-08-10 11:55:29,160.38,99%,We live in a charmed world. If we have money we can buy lite...,Win (1 of 5)
57.,2016-08-10 11:54:51,88.83,88%,The quick brown fox jumps over the lazy dog.,No win (4 of 4)
56.,2016-08-10 11:54:04,152.07,99%,"When I close my eyes, I am at the center of the sun. And I c...",Win (1 of 5)
55.,2016-08-10 11:53:25,159.53,98%,"When I was your age, television was called books. And this i...",Win (1 of 5)
54.,2016-08-10 11:50:58,143.64,96%,"And you know it's time to go, through the sleet and driving ...",Win (1 of 3)
53.,2016-08-10 11:50:13,159.38,95%,"Like painting, most software is intended for a human audienc...",No win (2 of 4)
52.,2016-08-10 11:49:27,145.87,97%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",Win (1 of 4)
51.,2016-08-10 11:48:49,102.68,98%,Advertising has these people chasing cars and clothes they d...,No win (3 of 2)
50.,2016-08-10 11:47:50,137.02,87%,Remembering you standing quiet in the rain as I ran to your ...,No win (2 of 3)
49.,2016-08-10 11:47:09,153.74,94%,Well I woke in mid-afternoon cause that's when it all hurts ...,No win (2 of 3)
48.,2016-08-10 11:46:25,143.01,96%,"My friend, I shall be pedagogic, and say you ought to start ...",No win (2 of 3)
47.,2016-08-10 11:45:41,158.95,94%,"After others have talked about themselves, a point will be r...",No win (2 of 3)
46.,2016-08-10 11:44:59,167.00,99%,"Imagine words like ""if"" as a two-finger movement instead of ...",Win (1 of 3)
45.,2016-08-10 11:44:19,126.28,92%,"I don't believe in an interventionist God, but I know, darli...",No win (2 of 3)
44.,2016-08-10 11:43:31,145.32,91%,One thing I've learned in the last seven years: in every gam...,No win (2 of 3)
43.,2016-08-10 11:42:41,168.52,97%,And if by chance an honest man like yourself should make ene...,No win (2 of 3)
42.,2016-08-10 11:42:07,116.41,83%,"Your primary objective should be to touch-type; that is, to ...",No win (2 of 3)
41.,2016-08-10 11:41:23,137.94,87%,"I'll miss the sea, but a person needs new experiences. Witho...",No win (2 of 4)
