354.,2017-04-02 09:38:30,125.08,95%,"Well, let me tell you something, Caveman. You are here on ac...",Win (1 of 4)
353.,2017-04-02 09:37:58,140.09,98%,What is honor compared to a woman's love? What is duty again...,Win (1 of 3)
352.,2016-08-31 02:24:39,115.13,94%,"If we all go for the blonde and block each other, not a sing...",Win (1 of 3)
351.,2016-08-03 01:51:54,133.10,94%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 5)
350.,2016-06-22 02:02:55,126.96,97%,I hope it is true that a man can die and yet not only live i...,Win (1 of 3)
349.,2016-06-22 01:58:21,127.02,93%,Popularity is only partially about individual attractiveness...,No win (2 of 3)
348.,2016-06-22 01:56:43,120.81,91%,Popularity is only partially about individual attractiveness...,Win (1 of 3)
347.,2016-03-05 09:41:28,132.92,99%,"But no matter how effective the lesson was, I never really u...",No win (2 of 3)
346.,2016-03-05 09:38:30,135.89,96%,I am learning about twenty new Italian words a day. Where am...,No win (2 of 4)
345.,2016-03-05 09:30:28,138.07,98%,There are very few things I wish I could change about those ...,Win (1 of 2)
344.,2016-03-05 09:29:13,139.54,100%,"They say that right after God created man, he took a rib fro...",Win (1 of 4)
343.,2016-03-05 09:27:51,129.54,95%,I hope it is true that a man can die and yet not only live i...,Win (1 of 4)
342.,2016-03-05 09:27:01,141.08,99%,If you're working out in front of a mirror and watching your...,No win (2 of 5)
341.,2016-02-07 23:34:50,132.40,98%,"I hope that whoever you are, you escape this place. I hope t...",Win (1 of 5)
340.,2016-02-07 23:34:03,135.36,99%,"Baby, ever wondered why I could make you laugh and cry? Ecli...",Win (1 of 5)
339.,2016-02-04 09:01:59,149.46,100%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 2)
338.,2016-01-28 13:36:33,134.46,100%,Your faith was strong but you needed proof. You saw her bath...,Win (1 of 2)
337.,2016-01-06 23:33:36,135.12,96%,"You have a class of young strong men and women, and they wan...",Win (1 of 4)
336.,2016-01-06 23:32:59,106.28,97%,"When I was your age, television was called books. And this i...",No win (2 of 3)
335.,2015-11-28 06:48:38,130.11,100%,"Gentlemen: You have undertaken to cheat me. I won't sue you,...",No win (1 of 1)
334.,2015-11-28 06:43:44,141.59,99%,The major difference between a thing that might go wrong and...,Win (1 of 2)
333.,2015-11-28 06:43:11,138.58,99%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 2)
332.,2015-11-23 23:01:04,115.45,95%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 4)
331.,2015-07-18 05:20:33,136.14,99%,"Ever since I was a child, folks have thought they had me peg...",Win (1 of 3)
330.,2015-07-12 04:25:47,125.62,99%,"Whether they use the title or not, many lyrics have evocativ...",Win (1 of 3)
329.,2015-07-12 04:25:17,123.35,98%,The time has come for man to set himself a goal. The time ha...,Win (1 of 4)
328.,2015-04-12 06:57:58,136.03,95%,"After others have talked about themselves, a point will be r...",Win (1 of 4)
327.,2015-04-12 06:57:29,125.84,97%,"So don't be afraid; your heart is in me, and it's racing so ...",Win (1 of 4)
326.,2015-01-31 08:14:20,136.34,98%,"I can feel the heat closing in, feel them out there making t...",Win (1 of 3)
325.,2015-01-24 07:24:14,134.15,99%,"Combat for a naval aviator is fought in short, violent burst...",Win (1 of 4)
324.,2015-01-24 07:17:06,134.13,97%,"For centuries, the battle of morality was fought between tho...",No win (2 of 2)
323.,2015-01-24 07:15:15,139.95,97%,"As if that blind rage had washed me clean, rid me of hope; f...",Win (1 of 4)
322.,2015-01-24 07:13:14,135.99,100%,We all know people who are very bright but who do not always...,Win (1 of 4)
321.,2015-01-24 07:12:40,136.74,98%,"As if that blind rage had washed me clean, rid me of hope; f...",Win (1 of 5)
320.,2015-01-21 03:56:45,130.46,97%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 2)
319.,2015-01-02 01:25:24,127.58,96%,"O clear intelligence, force beyond all measure! Gentlemen, I...",Win (1 of 3)
318.,2015-01-02 01:21:09,107.24,93%,"The creation ends in South Georgia, at the very edge of the ...",No win (2 of 3)
317.,2014-12-27 23:07:45,128.93,97%,"In the casino, the cardinal rule is to keep them playing and...",Win (1 of 3)
316.,2014-12-27 23:07:15,130.17,99%,We often believe the more we practice a skill or technique -...,Win (1 of 4)
315.,2014-12-27 23:06:11,131.94,99%,And I don't believe in the existence of angels but looking a...,Win (1 of 2)
314.,2014-12-27 23:03:13,129.80,99%,"The problem is, Willie, is that Charles and yourself are not...",Win (1 of 4)
313.,2014-12-27 23:02:47,126.94,97%,"Life is not suffering; it's just that you will suffer it, ra...",Win (1 of 5)
312.,2014-12-27 23:01:18,111.20,97%,"No matter how bad things are, you can always make things wor...",Win (1 of 4)
311.,2014-12-25 22:08:44,119.62,94%,"We turn away to face the cold, enduring chill, as the day be...",Win (1 of 2)
310.,2014-12-25 22:05:14,124.58,95%,"My dog barks some. Mentally you picture my dog, but I have n...",Win (1 of 2)
309.,2014-12-25 22:00:00,119.38,96%,Ideology: the process of making ideas. The work was generall...,Win (1 of 2)
308.,2014-12-20 09:00:51,135.22,99%,"Combat for a naval aviator is fought in short, violent burst...",Win (1 of 2)
307.,2014-12-20 08:59:57,126.61,97%,There are still some places where you can get all you can ea...,Win (1 of 2)
306.,2014-12-20 08:58:35,127.09,99%,Paper as we know it today was invented in China in around 10...,Win (1 of 2)
305.,2014-12-20 08:57:27,133.84,100%,I still see things that are not here. I just choose not to a...,Win (1 of 2)
304.,2014-12-20 08:55:15,128.85,98%,It is possible that I already had some presentiment of my fu...,Win (1 of 2)
303.,2014-12-20 08:52:37,112.67,93%,"As customers of all races, nationalities, and cultures visit...",Win (1 of 2)
302.,2014-07-08 05:52:43,136.23,95%,"That fear had been inside him for many years, it had lived w...",Win (1 of 5)
301.,2014-07-08 05:51:54,114.17,97%,"When I was a kid, you never saw radicchio in the produce sec...",Win (1 of 2)
300.,2014-07-08 05:49:42,139.90,98%,I will need my spectacles and a clear head. Today I broke my...,Win (1 of 3)
299.,2014-07-08 05:46:23,135.65,97%,"You have a class of young strong men and women, and they wan...",Win (1 of 3)
