860.,2016-08-22 08:50:08,126.05,96%,"When I was your age, television was called books. And this i...",Win (1 of 4)
859.,2016-08-22 08:47:02,129.30,96%,"In the casino, the cardinal rule is to keep them playing and...",No win (2 of 4)
858.,2016-08-22 08:45:01,136.80,100%,You've got a way to keep me on your side. You give me cause ...,Win (1 of 4)
857.,2016-08-20 07:40:31,130.91,96%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 3)
856.,2016-08-20 07:37:48,124.96,96%,So it's all come back round to breaking apart again. Breakin...,No win (2 of 3)
855.,2016-08-20 07:36:27,128.03,96%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 4)
854.,2016-08-20 07:29:53,127.76,90%,If there is one thing the history of evolution has taught us...,Win (1 of 3)
853.,2016-08-20 07:28:38,134.59,99%,"A computer needs a manager to administer its operations, jus...",No win (1 of 1)
852.,2014-10-22 11:03:12,120.51,92%,"Ultimately, this is not about solving your problems. It's ab...",Win (1 of 2)
851.,2014-10-22 11:01:09,128.60,97%,I drew the blankets over my head and tried to think of Chris...,Win (1 of 3)
850.,2014-10-22 11:00:12,117.31,93%,"My friend, I shall be pedagogic, and say you ought to start ...",No win (2 of 3)
849.,2012-08-26 13:21:58,144.90,100%,Don't make assumptions - find the courage to ask questions a...,Win (1 of 3)
848.,2012-08-25 13:21:26,134.80,98%,"Ticking away the moments that make up a dull day, you fritte...",No win (2 of 3)
847.,2011-07-08 04:19:15,128.37,94%,I've been looking so long at these pictures of you that I al...,No win (2 of 3)
846.,2011-07-07 03:12:40,115.82,97%,"The only people for me are the mad ones, the ones who are ma...",Win (1 of 3)
845.,2011-07-05 08:04:58,136.53,98%,But the two men were not lonely at all. At home they were co...,Win (1 of 4)
844.,2011-07-04 12:39:33,123.00,94%,I will need my spectacles and a clear head. Today I broke my...,Win (1 of 3)
843.,2011-07-04 12:37:10,137.90,98%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 3)
842.,2011-07-04 09:34:43,118.86,96%,"And though my journeys did take me to a great many states, a...",Win (1 of 5)
841.,2011-07-01 14:15:32,120.67,96%,"The Earth is a world, the world is a ball, a ball in a game ...",Win (1 of 3)
840.,2011-07-01 14:09:38,135.87,99%,"Contrary to the feminist cant, there are many things we can ...",Win (1 of 3)
839.,2011-07-01 13:24:14,148.09,99%,Remember that humor is written backwards. That means you fir...,Win (1 of 4)
838.,2011-07-01 13:23:43,119.42,100%,It is greatly to America's advantage that it is a congenial ...,Win (1 of 2)
837.,2011-07-01 13:22:53,117.66,97%,"The brain can be a tool. It can recall phone numbers, solve ...",Win (1 of 2)
836.,2011-06-28 05:00:40,128.68,97%,"The Earth is a world, the world is a ball, a ball in a game ...",Win (1 of 2)
835.,2011-06-28 04:57:29,130.42,95%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 3)
834.,2011-06-28 04:20:37,145.09,100%,"You have a class of young strong men and women, and they wan...",Win (1 of 2)
833.,2011-06-28 04:19:50,118.47,91%,I don't know why he saved my life. Maybe in those last momen...,No win (2 of 4)
832.,2011-06-28 04:18:06,107.25,89%,"If I leave here tomorrow, would you still remember me? For I...",Win (1 of 3)
831.,2011-06-27 12:26:49,120.86,95%,"If we all go for the blonde and block each other, not a sing...",Win (1 of 3)
830.,2011-06-27 12:22:56,130.01,94%,"Contrary to the feminist cant, there are many things we can ...",Win (1 of 5)
829.,2011-06-27 12:20:19,115.69,94%,I can already hear your tune calling me across the room. Whe...,Win (1 of 2)
828.,2011-06-27 12:16:34,124.45,94%,"Many people limit themselves to leading boring, dull lives b...",No win (2 of 2)
827.,2011-06-27 12:10:01,136.65,97%,"I'm so glad you came, I'm so glad you remembered, to see how...",Win (1 of 3)
826.,2011-06-27 11:48:37,140.37,99%,"I hope that whoever you are, you escape this place. I hope t...",Win (1 of 2)
825.,2011-06-27 11:38:00,129.95,94%,"If you are given too many choices, if you are forced to cons...",Win (1 of 2)
824.,2011-06-27 11:35:54,128.58,95%,There's sometimes a buggy. How many drivers does a buggy hav...,Win (1 of 2)
823.,2011-06-27 11:34:09,136.35,100%,"Ever since I was a child, folks have thought they had me peg...",Win (1 of 2)
822.,2011-06-27 11:33:19,123.24,96%,"I rejected those answers; instead, I chose something differe...",No win (1 of 1)
821.,2011-06-27 11:27:47,130.71,99%,And I will strike down upon thee with great vengeance and fu...,Win (1 of 3)
820.,2011-06-27 09:24:23,127.30,96%,I have quit three jobs and been fired from all the rest. Get...,Win (1 of 3)
819.,2011-06-27 05:10:24,130.09,97%,"One day you're in a funk about things, telling a friend that...",Win (1 of 3)
818.,2011-06-27 05:05:53,141.28,97%,"One day you're in a funk about things, telling a friend that...",Win (1 of 3)
817.,2011-06-27 05:04:41,129.66,97%,"The sooner your kids appreciate the value of work, the more ...",Win (1 of 3)
816.,2011-06-27 04:55:41,137.44,95%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 3)
815.,2011-06-27 04:52:28,126.82,98%,"When we conceive of the sweetest being ever, we are conceivi...",Win (1 of 3)
814.,2011-06-27 04:30:14,127.00,99%,"What good's a reward if you ain't around to use it? Besides,...",No win (2 of 2)
