448.,2012-05-11 15:56:13,60.46,92%,"But older than me now, more constant, more real, and the fur...",No win (2 of 2)
447.,2012-05-11 15:55:17,58.00,94%,A giant inverted steel pyramid is perfectly balanced on its ...,Win (1 of 4)
446.,2012-05-11 15:54:02,50.94,92%,Is this the real life? Is this just fantasy? Caught in a lan...,No win (2 of 2)
445.,2012-05-11 15:50:12,55.53,94%,"It's a sunny, woodsy day in Lumberton, so get those chainsaw...",No win (2 of 3)
444.,2012-05-11 15:48:24,54.24,94%,The development of a living body of literature became indica...,Win (1 of 3)
443.,2012-05-11 15:46:57,56.65,94%,Groups of illegal miners smuggle themselves down in freight ...,No win (2 of 5)
442.,2012-05-11 15:45:43,66.97,98%,But the two men were not lonely at all. At home they were co...,No win (3 of 5)
441.,2012-05-11 15:41:49,54.89,96%,"Excellent. He's enterprising, aggressive, outgoing, young, b...",No win (4 of 4)
440.,2012-05-11 15:40:41,52.41,92%,I must nevertheless point out that our profession very close...,No win (3 of 3)
439.,2012-05-11 15:39:29,61.75,92%,The place to improve the world is first in one's own heart a...,No win (3 of 5)
438.,2011-08-08 20:14:41,48.91,91%,Stab a sorry heart with your favorite finger. Paint the whol...,No win (2 of 3)
437.,2011-08-08 20:13:26,59.84,95%,Remembering you standing quiet in the rain as I ran to your ...,No win (3 of 4)
436.,2011-08-08 20:12:38,46.53,91%,"O clear intelligence, force beyond all measure! Gentlemen, I...",No win (2 of 2)
435.,2011-08-08 20:09:42,47.08,89%,It takes more than a calorie of fossil fuel energy to produc...,No win (2 of 2)
434.,2011-08-08 20:08:46,47.80,89%,"Today, computers have taken this ancient art out of the craf...",No win (2 of 3)
433.,2011-08-03 15:14:10,47.33,89%,The place to improve the world is first in one's own heart a...,No win (3 of 3)
432.,2011-08-03 15:12:42,46.33,92%,And then he calls me a jerk and says the last guy who though...,No win (3 of 3)
431.,2011-08-03 15:11:22,54.30,93%,Quality humor doesn't just deliver one gag and then tax the ...,No win (3 of 3)
430.,2011-08-03 15:10:09,48.83,92%,Since every piece of matter in the Universe is in some way a...,No win (4 of 5)
429.,2011-08-03 15:08:37,46.79,91%,I will need my spectacles and a clear head. Today I broke my...,No win (4 of 5)
428.,2011-08-03 15:07:37,52.76,92%,The unknown future rolls toward us. I face it for the first ...,No win (2 of 2)
427.,2011-08-03 15:06:42,46.30,92%,"Radiation could be precisely determined, in principle, if we...",No win (4 of 5)
426.,2011-08-03 15:04:46,48.78,93%,Is it really necessary to send that email? The more emails y...,No win (2 of 5)
425.,2011-08-03 15:03:13,47.37,90%,"The sooner your kids appreciate the value of work, the more ...",No win (3 of 4)
424.,2011-08-03 15:01:21,54.55,93%,"The sooner your kids appreciate the value of work, the more ...",No win (2 of 4)
423.,2011-08-03 14:59:54,48.46,91%,"When the light of life has gone, no change for the meter. Th...",No win (4 of 5)
422.,2011-08-03 14:58:41,56.09,95%,"I hope that whoever you are, you escape this place. I hope t...",No win (3 of 4)
421.,2011-08-03 14:57:18,49.19,91%,Good games offer players a set of challenging problems and t...,No win (2 of 3)
420.,2011-08-03 14:56:38,58.78,95%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 4)
419.,2011-08-03 14:55:30,60.91,97%,"The problem is, Willie, is that Charles and yourself are not...",Win (1 of 5)
418.,2011-08-03 14:53:59,51.28,93%,"Because they're at the bottom of the scale, nerds are a safe...",No win (1 of 1)
417.,2011-08-03 14:52:39,42.59,92%,"And though my journeys did take me to a great many states, a...",No win (3 of 3)
416.,2011-07-30 12:04:19,60.78,95%,"Other keyboard layouts have been created since, and some are...",Win (1 of 5)
415.,2011-07-30 12:03:26,46.98,93%,"Specialized uniforms, such as nun and priest garb, can be mo...",Win (1 of 3)
414.,2011-07-30 12:02:22,46.51,91%,Having endured the racial turmoil of the Civil Rights Moveme...,No win (3 of 3)
413.,2011-07-30 12:00:57,54.73,95%,"You found paradise in America. You had a good trade, made a ...",No win (3 of 3)
412.,2011-07-30 11:59:31,54.83,92%,Step out the front door like a ghost into the fog where no o...,No win (2 of 5)
