323.,2016-11-28 13:34:10,141.37,95%,Step out the front door like a ghost into the fog where no o...,Win (1 of 2)
322.,2016-11-28 13:16:07,145.77,98%,But the two men were not lonely at all. At home they were co...,Win (1 of 3)
321.,2016-11-28 13:15:13,144.56,100%,"Gentlemen: You have undertaken to cheat me. I won't sue you,...",Win (1 of 2)
320.,2016-11-28 13:14:05,154.05,99%,While the simple act of putting one foot in front of the oth...,Win (1 of 2)
319.,2016-11-28 13:12:07,156.93,97%,The mark of the immature man is that he wants to die nobly f...,No win (2 of 4)
318.,2016-11-24 00:16:34,139.46,96%,Wherever they might be they always remember that the past wa...,Win (1 of 3)
317.,2016-11-24 00:03:51,152.28,100%,For it is the nature of a log or stone to remain motionless ...,Win (1 of 3)
316.,2016-11-24 00:03:20,148.37,97%,The major difference between a thing that might go wrong and...,Win (1 of 3)
315.,2016-11-23 23:58:37,144.51,97%,"It's a funny thing, but people mostly have it backward. They...",Win (1 of 3)
314.,2016-11-23 21:15:28,133.34,96%,"In general, many of these targets are easier marks if you ar...",Win (1 of 3)
313.,2016-11-22 00:53:34,139.31,97%,You have two choices: you can keep running and hiding and bl...,Win (1 of 5)
312.,2016-11-22 00:50:55,144.55,99%,"If you want to drive a race car well, whether to win an Indy...",Win (1 of 3)
311.,2016-11-20 23:00:24,154.02,100%,"Pause you who read this, and think for a moment of the long ...",Win (1 of 2)
310.,2016-11-20 22:23:51,142.71,100%,The men in the room suddenly realized that they didn't want ...,Win (1 of 4)
309.,2016-11-20 21:14:43,147.99,98%,"After others have talked about themselves, a point will be r...",Win (1 of 3)
308.,2016-11-20 21:13:38,153.24,100%,"In the ninja world, those who break the rules are scum, that...",Win (1 of 3)
307.,2016-11-20 21:03:31,143.99,99%,It is not difficult to wield a sword in one hand; the way to...,No win (2 of 3)
306.,2016-11-20 17:55:53,142.39,98%,The number one challenge I've seen with myself and with othe...,Win (1 of 2)
305.,2016-11-20 17:30:34,134.25,96%,"With people like us, you should hang out, get to know what t...",Win (1 of 3)
304.,2016-11-20 17:29:33,140.82,97%,We have a criminal jury system which is superior to any in t...,Win (1 of 5)
303.,2016-11-20 17:25:40,142.45,97%,"Being in a minority, even in a minority of one, did not make...",Win (1 of 2)
302.,2016-11-20 17:15:19,137.49,94%,For it is the nature of a log or stone to remain motionless ...,No win (2 of 2)
301.,2016-11-20 17:09:55,140.66,96%,The man who pulls the lever that breaks your neck will be a ...,Win (1 of 3)
300.,2016-11-19 20:29:27,138.37,95%,The odds are that you will generally meet the worst of them....,Win (1 of 5)
299.,2016-11-19 20:15:03,155.73,97%,"I think that if I ever have kids, and they are upset, I won'...",No win (1 of 1)
298.,2016-11-19 20:13:11,154.77,99%,"As happens sometimes, a moment settled and hovered and remai...",Win (1 of 5)
297.,2016-11-19 19:57:37,136.42,98%,One overarching lesson we have learned during the past hundr...,Win (1 of 4)
296.,2016-11-19 19:56:03,156.19,99%,"Pause you who read this, and think for a moment of the long ...",Win (1 of 2)
295.,2016-11-19 19:53:28,142.72,99%,"I won't say another word - not one. I know I talk too much, ...",Win (1 of 5)
294.,2016-11-19 15:35:20,146.08,99%,"No matter how bad things are, you can always make things wor...",Win (1 of 3)
293.,2016-11-19 15:26:17,156.90,98%,Don't bother trying to explain your emotions. Live everythin...,Win (1 of 3)
292.,2016-11-19 12:58:35,146.71,100%,I just want to tell you how I'm feeling. Gotta make you unde...,Win (1 of 3)
291.,2016-11-19 12:52:41,136.83,97%,I felt good and all washed clean of sin for the first time I...,Win (1 of 2)
290.,2016-11-19 12:42:39,158.36,100%,I was standing all alone in the world outside. You were sear...,Win (1 of 2)
289.,2016-11-19 12:40:42,135.89,98%,I was pulled this way and that for longer than I can remembe...,Win (1 of 4)
288.,2016-11-18 00:37:45,140.66,98%,"That fear had been inside him for many years, it had lived w...",Win (1 of 3)
287.,2016-11-18 00:35:18,150.85,100%,"I think that if I ever have kids, and they are upset, I won'...",Win (1 of 3)
286.,2016-11-18 00:20:03,147.58,100%,"I am doing good to the poor, but I differ in opinion about t...",Win (1 of 3)
285.,2016-11-17 14:10:56,142.89,99%,Solving the following riddle will reveal the awful secret be...,Win (1 of 3)
284.,2016-11-17 14:05:03,133.19,94%,"Until they became conscious they will never rebel, and until...",Win (1 of 4)
283.,2016-11-17 13:32:57,138.23,96%,"I've never tried to keep a specific person alive before, and...",Win (1 of 2)
282.,2016-11-15 00:22:58,130.35,95%,We have a criminal jury system which is superior to any in t...,No win (2 of 2)
281.,2016-11-15 00:19:20,141.81,95%,"What really knocks me out is a book that, when you're all do...",Win (1 of 2)
280.,2016-11-15 00:17:09,117.41,90%,The quick brown fox jumps over the lazy dog.,Win (1 of 2)
279.,2016-11-15 00:11:15,142.46,97%,Writing is hard work. A clear sentence is no accident. Very ...,Win (1 of 3)
