697.,2018-03-18 06:58:00,80.58,96%,"'Cos tonight for the first time at just about half past ten,...",Win (1 of 4)
696.,2018-03-18 06:29:51,92.91,98%,"She's got a smile that, it seems to me, reminds me of childh...",No win (2 of 5)
695.,2018-03-17 03:58:10,88.92,96%,"Tonight I'm making deals with the devil, and I know it's gon...",No win (3 of 4)
694.,2018-03-16 06:10:36,91.32,98%,I'm not exactly the expert on this sort of thing - for that ...,Win (1 of 4)
693.,2018-03-16 06:09:46,83.01,97%,"There was me, that is Alex, and my three droogs, that is Pet...",No win (2 of 4)
692.,2018-03-16 06:09:08,69.59,95%,It was a strange and passionate time. Some of our dreams dis...,No win (2 of 5)
691.,2018-03-16 06:08:30,73.29,94%,"Yes, the newspapers were right: snow was general all over Ir...",No win (2 of 5)
690.,2018-03-16 02:14:08,71.59,95%,He married out of love a woman out of legend. Not in Alexand...,No win (2 of 5)
689.,2018-03-16 02:13:12,90.25,96%,There's a piece of Maria in every song that I sing. And the ...,Win (1 of 4)
688.,2018-03-16 02:12:20,76.45,96%,Here I am a record on a jukebox. A little piece of plastic w...,No win (2 of 5)
687.,2018-03-15 23:59:57,85.20,97%,"No matter what they call us, however they attack, no matter ...",No win (3 of 5)
686.,2018-03-15 23:59:16,82.76,97%,"Man, do not pride yourself on your superiority to the animal...",No win (4 of 4)
685.,2018-03-15 23:58:20,82.37,96%,"I walk a mile with a smile and I don't know, I don't care wh...",No win (4 of 5)
684.,2018-03-13 19:01:00,65.30,94%,"So ya, thought ya might like to go to the show. To feel the ...",No win (4 of 5)
683.,2018-03-13 18:39:22,74.91,95%,"I tensed, waiting for the fury - both his and mine - but it ...",No win (2 of 3)
682.,2018-03-13 18:18:49,65.31,94%,"Amateurs, amateurs. Listen to me, Mr. Wright. In the courtro...",No win (3 of 5)
681.,2018-03-13 18:12:12,92.61,98%,"Even though the bell has rung, some of my classmates are sti...",Win (1 of 5)
680.,2018-03-13 18:11:29,80.44,95%,"Yeah, they got you where they want you. There's a better lif...",No win (3 of 5)
679.,2018-03-13 18:09:46,76.49,96%,You don't like parties? You don't like putting on a silly ha...,No win (3 of 5)
678.,2018-03-13 18:08:17,78.39,95%,The treatment of atoms with more than one electron requires ...,Win (1 of 5)
677.,2018-03-13 18:07:01,78.78,96%,"Hey, Sid! Remember that time last summer we were all gathere...",Win (1 of 5)
676.,2018-03-13 17:59:46,70.99,94%,Don't forget they've all been strengthened with gene therapy...,No win (3 of 5)
675.,2018-03-13 05:45:06,98.11,98%,There was a little boy once upon a time who in spite of his ...,No win (3 of 5)
674.,2018-03-13 05:30:25,80.28,96%,"It's all there, black and white, clear as crystal! You stole...",Win (1 of 4)
673.,2018-03-13 05:22:08,81.19,95%,"There are many ways to get out; surrender is one, losing is ...",No win (2 of 5)
672.,2018-03-13 05:21:13,74.76,95%,"Well, it just so happens, this hacienda comes with its very ...",No win (4 of 4)
671.,2018-03-13 04:05:47,76.98,96%,It has been estimated that there are about four thousand spe...,No win (2 of 4)
670.,2018-03-13 04:04:32,83.14,97%,"By now, I assume you know your father's been accused of a ve...",No win (3 of 5)
669.,2018-03-12 18:09:02,85.51,97%,I want this mark all the way back to Earth with time to spar...,Win (1 of 5)
668.,2018-03-12 06:55:58,65.42,94%,Some have a positive vocation for breaking open safes: from ...,No win (3 of 3)
667.,2018-03-12 06:13:47,71.65,95%,"I'm Rex, founder of the Rex Kwon Do self-defense system! Aft...",No win (2 of 3)
666.,2018-03-12 06:12:35,60.41,95%,Teachers never die. They live in your memory forever. They w...,No win (5 of 5)
665.,2018-03-11 22:24:15,76.42,96%,Let us take a typical day with the gunners. Photographs or c...,No win (2 of 5)
664.,2018-03-11 22:22:23,77.36,95%,"Both ways set out from the senses and particulars, and rest ...",Win (1 of 5)
663.,2018-03-11 20:34:42,67.20,94%,"Look, I'm gonna give you your choice. I'm not gonna be biase...",No win (3 of 5)
662.,2018-03-11 20:02:42,73.94,95%,I kissed her cheek as she turned it to me. I think I would h...,No win (4 of 4)
661.,2018-03-11 19:49:34,85.91,97%,"I didn't know the girl, but I knew her family. All their liv...",No win (2 of 5)
660.,2018-03-11 19:45:43,86.43,96%,"All the times that I've cried, keeping all the things I knew...",No win (3 of 5)
659.,2018-03-11 19:44:44,80.96,97%,I've been driving this route for 15 years. I've brought 'em ...,No win (2 of 5)
658.,2018-03-11 19:43:22,79.91,98%,"You know, Marty, I'm gonna be very sad to see you go. You've...",No win (2 of 5)
657.,2018-03-11 19:42:23,72.19,95%,"On a personal note, his death is very sad. But on a professi...",No win (3 of 4)
656.,2018-03-11 18:52:00,82.38,97%,"Well, the real reason that you've been sent over here is bec...",No win (3 of 4)
655.,2018-03-11 18:47:27,63.34,94%,A spaceship from another star. They ask me where all the peo...,No win (2 of 3)
654.,2018-03-11 18:44:28,81.05,96%,"He was rough around the edges. He'd been to school, but neve...",No win (2 of 3)
653.,2018-03-11 18:43:00,89.22,97%,"These nights are endless, and a man can sleep through them, ...",Win (1 of 5)
652.,2018-03-11 18:42:00,66.83,95%,Peter Bailey was not a businessman. That's what killed him. ...,No win (4 of 5)
651.,2018-03-11 18:40:43,68.16,95%,"We have already succeeded. I mean, what are the three terror...",No win (3 of 4)
650.,2018-03-11 18:22:09,63.23,94%,I'll say God seems to have a kind of laid-back management st...,No win (3 of 5)
649.,2018-03-11 18:21:11,77.07,97%,"Every life is in many days, day after day. We walk through o...",Win (1 of 3)
648.,2018-03-11 18:20:28,77.12,96%,"Really knowing is good. Not knowing, or refusing to know, is...",No win (4 of 5)
647.,2018-03-11 18:19:46,66.11,94%,Let's gather 'round the carcass of the old deflated beast. W...,No win (1 of 1)
646.,2018-03-11 06:11:41,76.68,96%,"Even if it's a dumb story, telling it changes people just th...",No win (3 of 5)
645.,2018-03-11 06:10:36,86.28,97%,If we suppose that the external world has appeared in the pa...,Win (1 of 2)
644.,2018-03-11 06:09:44,71.40,95%,I hate this. I hate being here. I hate that you have to be h...,Win (1 of 3)
643.,2018-03-11 06:08:13,79.88,97%,And it's a happy ending. Wayward husband comes to his senses...,Win (1 of 4)
642.,2018-03-11 06:07:14,74.91,95%,I said that I would see you because I had heard that you wer...,No win (3 of 5)
641.,2018-03-10 05:32:56,72.00,95%,In the middle of our life journey I found myself in a dark w...,No win (4 of 5)
640.,2018-03-10 05:30:58,71.72,95%,"You clearly don't know who you're talking to, so let me clue...",No win (2 of 4)
639.,2018-03-10 05:30:11,73.01,96%,"Young man, there's no need to feel down. I said, young man, ...",No win (3 of 5)
638.,2018-03-10 05:07:55,66.89,94%,You won. All right? You came in and you killed them and you ...,No win (3 of 5)
637.,2018-03-09 05:44:54,83.38,97%,No more will my green sea go turn a deeper blue. I could not...,Win (1 of 5)
636.,2018-03-09 05:44:13,73.98,96%,"There's nothing mysterious about it, He's not working at all...",Win (1 of 4)
635.,2018-03-09 05:37:37,75.71,97%,You gotta relax and stay calm in there. The cage is your hom...,No win (3 of 5)
634.,2018-03-09 05:36:46,76.89,96%,"And so, does the destination matter? Or is it the path we ta...",Win (1 of 5)
633.,2018-03-09 00:10:49,65.91,95%,The midnight gang's assembled and picked a rendezvous for th...,No win (4 of 4)
632.,2018-03-09 00:08:50,83.74,97%,I didn't get you to do anything. I gave you a name and you m...,No win (2 of 4)
631.,2018-03-09 00:07:14,81.37,96%,Pain and suffering are always inevitable for a large intelli...,No win (2 of 5)
630.,2018-03-09 00:06:39,80.44,96%,I can teach you how to bewitch the mind and ensnare the sens...,No win (4 of 5)
629.,2018-03-09 00:05:44,67.95,95%,"Goodness, present and hallowed, is thanking walls of the sha...",No win (4 of 5)
628.,2018-03-08 23:44:25,61.71,93%,Napalm was invented in 1942. The government put it in flamet...,Win (1 of 4)
627.,2018-03-08 23:43:13,48.96,92%,Swinging Belleville rendez-vous. Marathon dancing doop dee d...,Win (1 of 4)
626.,2018-03-08 23:42:26,68.24,96%,"Oh, I'm sorry, did I break your concentration? I didn't mean...",No win (3 of 5)
