883.,2018-03-06 22:03:28,98.45,97%,It was also a lot easier for online teachers to hold their s...,Win (1 of 3)
882.,2018-02-27 19:00:53,112.45,97%,"It's so easy to hate your brother, it should be hard. It's s...",No win (3 of 5)
881.,2018-02-09 15:25:37,106.00,97%,Source routing is a way of moving a packet through a network...,No win (2 of 5)
880.,2018-02-08 20:42:45,105.99,98%,Sometimes our thinking about an object is conditioned by vie...,No win (2 of 5)
879.,2018-01-28 15:18:18,109.23,97%,"When I was a child, I heard voices. Some would sing and some...",No win (3 of 4)
878.,2017-12-24 15:17:48,91.00,95%,Mankind doesn't need warfare and bloodshed to prove itself. ...,No win (2 of 3)
877.,2017-10-23 14:43:59,92.06,95%,Hacking will begin killing people soon. Already there are me...,Win (1 of 2)
876.,2017-10-06 18:13:50,116.88,97%,Solving the following riddle will reveal the awful secret be...,No win (2 of 3)
875.,2017-10-06 18:12:00,113.64,98%,I think if your clients want to sit on my shoulders and call...,Win (1 of 4)
874.,2017-09-28 15:59:20,109.46,98%,Few smart kids can spare the attention that popularity requi...,Win (1 of 5)
873.,2017-09-28 15:48:27,87.26,97%,In the beginning God created the heavens and the earth. The ...,No win (3 of 5)
872.,2017-09-26 14:58:36,117.14,98%,"Perhaps love is like a window, perhaps an open door. It invi...",Win (1 of 5)
871.,2017-09-26 14:56:18,109.71,97%,There's a harsh truth to face. No way I'm gonna make it on t...,No win (3 of 3)
870.,2017-09-25 21:36:24,113.75,98%,"More than anyone I'd ever met, he seemed to participate in l...",No win (3 of 5)
869.,2017-09-25 20:33:24,126.25,99%,The world ain't all sunshine and rainbows. It's a very mean ...,Win (1 of 5)
868.,2017-09-21 16:29:00,104.18,97%,"If one day I could get out of here, I would allow myself to ...",No win (3 of 4)
867.,2017-09-14 18:35:27,117.90,97%,"There are perhaps twenty regular posters on the forum, and s...",No win (3 of 3)
866.,2017-09-14 18:19:00,120.41,99%,"There are times when all the world's asleep, the questions r...",Win (1 of 5)
865.,2017-09-13 15:07:26,104.25,97%,I don't believe in painted roses or bleeding hearts while bu...,No win (4 of 4)
864.,2017-09-13 15:06:55,106.14,96%,Space ain't man's final frontier. Man's final frontier is th...,No win (4 of 5)
863.,2017-09-13 15:06:19,116.59,100%,"In the casino, the cardinal rule is to keep them playing and...",Win (1 of 5)
862.,2017-09-13 15:04:27,104.80,97%,"Come on, kid, don't fool around. Just let your hand drop to ...",No win (2 of 4)
861.,2017-09-13 15:01:30,123.46,99%,She sits in a corner by the door. There must be more I can t...,Win (1 of 5)
860.,2017-09-11 19:52:24,125.50,98%,"Did it matter then, she asked herself, walking towards bond ...",Win (1 of 5)
859.,2017-09-11 19:51:38,127.40,99%,"I guess this is just another lost cause, Mr. Paine. All you ...",No win (2 of 5)
858.,2017-09-11 19:50:49,109.51,97%,There are negotiations being made that are going to answer a...,Win (1 of 4)
857.,2017-09-10 20:15:32,109.36,98%,"To understand what I'm about to tell you, you need to do som...",No win (2 of 4)
856.,2017-09-10 20:14:11,105.96,96%,Just let me wake up in the morning to the smell of new mown ...,No win (2 of 4)
855.,2017-09-08 13:49:24,114.04,96%,Each day means a new twenty-four hours. Each day means every...,No win (2 of 5)
854.,2017-09-07 18:28:26,95.44,96%,And then I hear the best thing to do is feed 'em to pigs. Yo...,Win (1 of 2)
853.,2017-09-07 18:26:35,102.01,95%,It is not at all easy to draw a sharp line between cases whe...,Win (1 of 2)
852.,2017-09-07 18:25:11,95.15,97%,It appears that the devastation we brought upon ourselves wa...,Win (1 of 2)
851.,2017-09-07 18:23:59,113.69,98%,So a rich little man with white hair died. What has that got...,Win (1 of 2)
850.,2017-09-07 18:22:44,106.48,97%,"When Chekhov saw the long winter, he saw a winter bleak and ...",Win (1 of 2)
849.,2017-09-07 18:21:10,108.66,96%,"In the English language, swearing is essential to effective ...",Win (1 of 3)
848.,2017-09-07 18:19:56,102.68,97%,The example of painting can teach us not only how to manage ...,No win (2 of 2)
847.,2017-09-07 18:18:59,109.34,97%,"Life can get pretty crazy at times. It can be hectic, confus...",Win (1 of 2)
