226.,2018-03-04 21:49:09,127.41,97%,"Kid, I've flown from one side of this galaxy to the other, a...",Win (1 of 4)
225.,2018-03-04 21:48:02,151.12,100%,"When I lay with you I could stay there. Close my eyes, feel ...",Win (1 of 5)
224.,2018-03-04 21:46:24,122.70,98%,"Microsoft bought outright for $50,000 the operating system t...",Win (1 of 5)
223.,2018-03-04 21:45:31,132.36,99%,You know those pictures in the National Geographic about the...,Win (1 of 4)
222.,2018-03-04 21:44:55,135.30,98%,"I see, these books are probably law books, and it is an esse...",Win (1 of 2)
221.,2018-03-04 21:43:39,135.08,99%,"If you're ever feeling bored and aimless in a shopping mall,...",Win (1 of 3)
220.,2018-03-04 21:42:20,153.14,99%,The simple fact is that if you don't enjoy what you're doing...,Win (1 of 5)
219.,2018-03-04 21:41:37,149.17,99%,All music is what awakes from you when you are reminded by t...,Win (1 of 2)
218.,2018-03-04 21:40:45,125.23,98%,"Oh, dear, what happened? Did you get entangled in the eiderd...",Win (1 of 5)
217.,2018-03-04 21:40:07,129.00,97%,Countless blues are sung about individual trains which appea...,Win (1 of 4)
216.,2018-01-11 22:50:47,144.01,99%,I wish that strife would vanish away from among gods and mor...,Win (1 of 4)
215.,2018-01-11 22:49:53,144.08,100%,How can you see into my eyes like open doors leading you dow...,Win (1 of 2)
214.,2018-01-11 22:48:30,157.39,100%,I never got to bat in the major leagues. I'd have liked to h...,No win (2 of 2)
213.,2017-09-03 22:53:37,132.63,100%,"After water, protein is the most plentiful substance in our ...",Win (1 of 3)
212.,2017-03-11 12:30:23,134.56,96%,"Being in a minority, even in a minority of one, did not make...",No win (2 of 2)
211.,2017-03-11 12:29:41,143.96,100%,How many roads must a man walk down before you call him a ma...,Win (1 of 5)
210.,2017-03-11 12:28:05,133.50,97%,I was having this awful nightmare that I was 32. And then I ...,Win (1 of 2)
209.,2017-03-11 12:27:34,133.90,93%,There was this kid I grew up with; he was younger than me. S...,Win (1 of 2)
208.,2017-03-11 12:26:47,139.56,98%,"And now, as I close my task, subduing my desire to linger ye...",Win (1 of 2)
207.,2017-03-11 12:26:06,150.45,98%,"Anna spoke not only naturally and intelligently, but intelli...",Win (1 of 2)
206.,2017-03-11 12:25:29,135.01,94%,You must know that there is nothing higher and stronger and ...,Win (1 of 3)
205.,2017-03-11 12:24:24,140.31,99%,"The first time I made coffee for just myself, I made too muc...",Win (1 of 2)
204.,2017-03-11 12:23:41,140.63,98%,She's got eyes of the bluest skies as if they thought of rai...,Win (1 of 5)
203.,2017-03-11 12:23:13,133.08,98%,What good are prayers and shrines to a person mad with love?...,Win (1 of 3)
202.,2017-03-11 12:19:58,130.46,92%,I just hope you're lying next to somebody who knows how to l...,No win (2 of 5)
201.,2017-03-11 12:19:21,139.14,98%,"My friend, I shall be pedagogic, and say you ought to start ...",Win (1 of 4)
200.,2017-03-05 15:44:52,145.52,99%,We live in an age when people do more writing than they have...,Win (1 of 5)
199.,2017-03-05 15:43:45,136.52,95%,"Mother used to say that however miserable one is, there's al...",No win (2 of 2)
198.,2017-03-05 15:42:26,137.29,98%,We have a criminal jury system which is superior to any in t...,Win (1 of 2)
197.,2017-03-05 15:41:52,135.22,96%,A problem in communication is that people don't smile enough...,Win (1 of 2)
196.,2017-03-05 15:40:03,139.61,99%,"When the shoes first fell from the sky, he remembered thinki...",Win (1 of 5)
195.,2017-03-05 15:37:24,132.71,98%,"For, after all, how do we know that two and two make four? O...",Win (1 of 2)
194.,2017-03-05 15:36:47,141.00,96%,"I tried several times to call her, but after the first call,...",Win (1 of 3)
193.,2017-03-05 15:36:00,140.59,100%,"Kid, I've flown from one side of this galaxy to the other, a...",Win (1 of 3)
192.,2017-03-05 15:32:42,133.47,95%,Overhead the albatross hangs motionless upon the air and dee...,Win (1 of 2)
191.,2017-03-05 15:31:28,127.92,90%,"To evaluate an option from the other side's point of view, c...",No win (2 of 4)
190.,2017-03-05 15:30:50,121.34,93%,If he stayed at home and carried on with his normal life he ...,No win (2 of 3)
189.,2017-03-05 15:30:03,143.78,95%,"We climbed, he first and I behind, until through a small rou...",Win (1 of 2)
188.,2017-03-05 15:29:35,132.66,99%,"And it says to you love when you can, cry when you have to, ...",Win (1 of 2)
187.,2017-03-05 15:29:00,127.46,90%,I've seen things you people wouldn't believe. Attack ships o...,No win (2 of 3)
186.,2017-03-05 15:26:44,137.78,94%,"For all the things you've done, for the things you might hav...",No win (2 of 5)
185.,2017-03-05 15:26:20,147.65,100%,I have waited lifetimes to find you. Now that you're here I ...,Win (1 of 3)
184.,2017-03-05 15:25:25,134.79,96%,I only lose my fear when I run. I won't lose a tear when I r...,No win (2 of 4)
183.,2017-03-05 13:08:42,154.07,99%,The main thing to do is pay attention. Pay close attention t...,Win (1 of 4)
182.,2017-03-05 13:04:46,138.88,99%,You have brains in your head. You have feet in your shoes. Y...,No win (2 of 3)
181.,2017-03-05 13:03:17,156.11,100%,"What really knocks me out is a book that, when you're all do...",Win (1 of 4)
180.,2017-03-05 13:02:42,129.54,91%,"I'm going to roll my window up, then I'm going to drive away...",Win (1 of 5)
179.,2017-03-05 12:59:56,124.47,99%,"Moses supposes his toeses are roses, but Moses supposes erro...",Win (1 of 4)
178.,2017-03-05 12:58:59,138.08,95%,The alternative to binge travel - the mini retirement - enta...,Win (1 of 5)
177.,2017-03-05 12:25:50,145.08,95%,"That fear had been inside him for many years, it had lived w...",Win (1 of 4)
176.,2017-02-18 16:53:28,134.39,94%,"Was it all put into words, or did both understand that they ...",Win (1 of 3)
175.,2017-02-18 16:51:34,147.06,100%,"Our worst fears, like our greatest hopes, are not outside ou...",Win (1 of 5)
174.,2017-02-18 16:51:03,136.26,97%,There was this kid I grew up with; he was younger than me. S...,Win (1 of 3)
173.,2017-02-18 16:39:30,150.78,100%,And he told us of his life in the land of submarines.,Win (1 of 3)
172.,2017-02-04 19:09:54,127.46,96%,"In the early days of paperback books, the paper used was ver...",Win (1 of 3)
171.,2017-02-04 18:54:25,142.58,91%,"They had taken it all away from him now, they had turned awa...",Win (1 of 3)
170.,2017-02-04 15:34:13,139.92,100%,We all have such fateful objects - it may be a recurrent lan...,Win (1 of 2)
169.,2017-02-04 15:32:18,128.15,98%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 2)
168.,2017-01-31 22:05:47,116.67,96%,"Then suddenly Prince Andre was speaking for himself, his acc...",Win (1 of 3)
167.,2017-01-30 19:36:10,124.42,91%,We don't need no education. We don't need no thought control...,No win (2 of 5)
166.,2017-01-21 00:43:51,135.60,97%,"I don't want tickets, I need you to find me a painting, a cl...",No win (2 of 4)
165.,2017-01-21 00:40:53,152.79,100%,I hope it is true that a man can die and yet not only live i...,Win (1 of 3)
164.,2017-01-21 00:31:05,123.14,93%,We look not at the things which are what you would call seen...,Win (1 of 2)
163.,2017-01-21 00:05:12,130.49,94%,No matter how a program twists and turns to get out of itsel...,Win (1 of 2)
162.,2017-01-20 23:51:12,136.16,96%,"Ultimately, this is not about solving your problems. It's ab...",No win (2 of 2)
161.,2016-12-11 21:11:54,138.55,91%,"I am doing good to the poor, but I differ in opinion about t...",No win (2 of 5)
160.,2016-11-13 11:09:55,132.17,96%,All time is all time. It does not change. It does not lend i...,Win (1 of 4)
159.,2016-11-13 11:07:06,139.56,98%,Who has a safety deposit box full of money and six passports...,Win (1 of 2)
158.,2016-11-13 11:04:13,121.56,97%,"Look at the stars. Same stars as last week, last year, when ...",Win (1 of 5)
157.,2016-11-13 11:00:07,142.99,93%,"It's a funny thing, but people mostly have it backward. They...",Win (1 of 4)
156.,2016-11-13 10:59:16,146.78,99%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 2)
155.,2016-08-03 17:59:28,145.60,100%,I will need my spectacles and a clear head. Today I broke my...,Win (1 of 2)
154.,2016-07-10 20:39:55,142.68,95%,"The terminator wouldn't stop, it would never leave him. It w...",Win (1 of 2)
153.,2016-07-10 20:36:17,153.34,99%,The men in the room suddenly realized that they didn't want ...,Win (1 of 2)
152.,2016-07-10 20:32:30,124.49,92%,We're no strangers to love. You know the rules and so do I. ...,Win (1 of 3)
151.,2016-07-10 20:29:32,150.91,98%,"One day you're in a funk about things, telling a friend that...",Win (1 of 4)
150.,2016-06-30 23:29:28,130.47,97%,"In fact, the mere act of opening the box will determine the ...",Win (1 of 3)
