217.,2017-12-28 10:52:26,95.36,98%,Yet the web of thought has no such creases and is more like ...,Win (1 of 5)
216.,2017-09-12 06:50:07,106.70,98%,"The mind which is created quick to love, is responsive to ev...",Win (1 of 4)
215.,2017-09-08 11:24:53,87.04,97%,"Good evening, London. Allow me first to apologize for this i...",No win (2 of 3)
214.,2017-09-08 11:23:39,89.49,96%,The core-periphery hierarchy in the modern world-system is a...,No win (3 of 4)
213.,2017-09-08 11:22:09,67.62,97%,"Franky Four Fingers: ""I have stones to sell, fat to chew, an...",No win (2 of 4)
212.,2017-08-22 10:36:12,89.95,97%,"Man, don't tell me how good I was. I just got away with it b...",No win (4 of 5)
211.,2017-08-21 09:32:31,96.28,98%,"You're right, I did lose a million dollars last year. I expe...",No win (2 of 5)
210.,2017-08-21 09:31:38,118.88,99%,"Dreams are not to be converted into reality, that we know; w...",Win (1 of 3)
209.,2017-08-21 02:52:18,65.44,94%,"There are men who possess a peculiarly strong visual memory,...",Win (1 of 2)
208.,2017-08-21 02:50:56,108.25,99%,"If I had been downright honest with myself, I would have see...",Win (1 of 4)
207.,2017-08-21 02:49:38,118.51,98%,Let us learn to appreciate there will be times when the tree...,Win (1 of 5)
206.,2017-02-24 10:47:56,83.37,92%,Lister: I'm just saying there's 79 more days to go. Kryten: ...,No win (3 of 4)
205.,2017-02-24 10:46:15,105.66,95%,But the two men were not lonely at all. At home they were co...,Win (1 of 5)
204.,2017-01-13 11:22:59,82.21,83%,Typing competitions provided another test of the Qwerty keyb...,No win (2 of 4)
203.,2017-01-13 11:21:21,110.52,99%,Quality humor doesn't just deliver one gag and then tax the ...,Win (1 of 4)
202.,2017-01-13 11:20:34,87.51,93%,Our prematurity brought a second big advantage: it forced us...,No win (3 of 3)
201.,2017-01-13 11:19:11,97.64,95%,He had spent enormous amounts of time at the great libraries...,Win (1 of 3)
200.,2017-01-13 11:17:57,92.94,91%,"Contrary to the feminist cant, there are many things we can ...",No win (4 of 5)
199.,2015-05-23 09:30:31,92.22,93%,"Finally, there are those languages, such as Turkish, Finnish...",No win (2 of 2)
198.,2015-05-23 09:29:15,101.68,94%,"Milt, with the excellent timing of a master comedy writer, w...",No win (3 of 4)
197.,2015-05-23 09:28:03,106.78,95%,I can already hear your tune calling me across the room. Whe...,No win (1 of 1)
196.,2014-12-20 15:52:06,97.09,96%,All the blue light reflections that color my mind when I sle...,No win (2 of 4)
195.,2014-11-15 14:39:57,128.10,97%,Sometimes you concentrate more on racing the cars around you...,Win (1 of 4)
194.,2014-09-02 13:45:14,91.21,93%,"No man is an island, entire of itself; every man is a piece ...",No win (3 of 5)
193.,2014-09-02 13:44:07,101.57,96%,"The problem is, Willie, is that Charles and yourself are not...",No win (4 of 5)
192.,2014-09-02 13:43:37,93.29,95%,"Finally, gentlemen, there are people with an hereditary anim...",Win (1 of 2)
191.,2014-08-23 11:54:58,105.67,97%,"Imagine a vast sheet of paper on which straight Lines, Trian...",Win (1 of 2)
190.,2014-08-22 13:00:59,100.69,91%,I am learning about twenty new Italian words a day. Where am...,No win (4 of 4)
189.,2014-08-22 13:00:19,96.39,93%,Quality humor doesn't just deliver one gag and then tax the ...,Win (1 of 5)
188.,2014-08-22 12:59:35,93.37,91%,Many rivers to cross but I can't seem to find my way over. W...,No win (2 of 5)
187.,2014-08-22 12:58:42,122.55,100%,"Contrary to the feminist cant, there are many things we can ...",Win (1 of 3)
186.,2014-08-17 17:00:36,107.00,91%,"You have a class of young strong men and women, and they wan...",No win (2 of 3)
185.,2014-08-17 16:59:47,93.53,96%,The chemistry of an element is determined by the manner in w...,No win (2 of 3)
184.,2014-08-16 11:09:46,90.67,88%,There is a theory which states that if anybody ever discover...,No win (2 of 3)
183.,2014-08-16 11:07:03,118.89,96%,"And in the world a heart of darkness, a firezone, where poet...",Win (1 of 3)
182.,2014-07-04 12:49:58,86.63,93%,"Throughout my academic career, I'd given some pretty good ta...",No win (3 of 3)
181.,2014-07-04 12:49:14,112.47,97%,"It was a marvelous night, the sort of night one only experie...",No win (2 of 3)
180.,2014-06-27 12:41:25,93.42,91%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",No win (2 of 4)
179.,2014-06-27 12:40:43,102.36,98%,The inner surface of the cell wall touches the cytoplasmic m...,Win (1 of 5)
