202.,2013-04-10 23:26:27,145.96,100%,"In the casino, the cardinal rule is to keep them playing and...",Win (1 of 5)
201.,2013-01-26 22:39:39,134.72,98%,"I don't want tickets, I need you to find me a painting, a cl...",Win (1 of 3)
200.,2013-01-26 22:38:55,138.01,96%,"One day you're in a funk about things, telling a friend that...",Win (1 of 5)
199.,2013-01-26 22:37:18,151.16,100%,Be impeccable with your word - speak with integrity. Say onl...,Win (1 of 3)
198.,2013-01-26 22:36:01,125.23,97%,This business is filled to the brim with unrealistic people ...,Win (1 of 3)
197.,2013-01-26 22:34:58,112.65,95%,You have to wonder: how do the machines know what Tasty Whea...,Win (1 of 5)
196.,2013-01-26 22:34:03,122.73,96%,I never said I would stay to the end - I knew I would leave ...,Win (1 of 4)
195.,2013-01-26 22:32:59,136.35,98%,I've been looking so long at these pictures of you that I al...,Win (1 of 5)
194.,2013-01-26 22:32:20,114.15,95%,I don't believe in painted roses or bleeding hearts while bu...,No win (3 of 5)
193.,2013-01-26 22:31:39,135.70,96%,Humans need to practice what they are learning a good deal b...,Win (1 of 3)
192.,2013-01-26 22:30:59,128.16,98%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",Win (1 of 5)
191.,2013-01-26 22:30:05,120.71,95%,"And I said, I don't care if they lay me off either, because ...",No win (1 of 1)
190.,2013-01-26 22:23:53,104.18,95%,"Imagine this: Here we are, a plane full of grown human being...",Win (1 of 5)
189.,2013-01-26 22:22:05,121.77,95%,"Races are not won in the first corner; however, they are oft...",Win (1 of 4)
188.,2013-01-26 22:21:22,129.40,98%,"What good's a reward if you ain't around to use it? Besides,...",Win (1 of 2)
187.,2013-01-26 22:19:18,112.58,94%,"Now you might ask yourself, if by yourself you mean me, ""Ste...",No win (2 of 3)
186.,2013-01-26 01:59:37,144.61,99%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 4)
185.,2013-01-26 01:59:07,125.54,96%,"In the English language, swearing is essential to effective ...",Win (1 of 3)
184.,2013-01-24 22:26:12,115.51,93%,I can already hear your tune calling me across the room. Whe...,No win (5 of 5)
183.,2013-01-24 22:25:14,133.17,99%,So I'm two inches away from her. Her luscious lips part. Jus...,Win (1 of 3)
182.,2013-01-24 22:24:42,121.15,95%,"I rejected those answers; instead, I chose something differe...",Win (1 of 5)
181.,2013-01-24 22:23:56,116.97,93%,For it is not enough to have a good mind; the main thing is ...,No win (3 of 4)
180.,2013-01-24 22:23:08,125.49,98%,"My dog barks some. Mentally you picture my dog, but I have n...",Win (1 of 5)
179.,2013-01-24 22:22:39,123.36,93%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 3)
178.,2013-01-24 22:22:05,126.13,97%,"This was the most delicious meal he'd had in recent years, a...",Win (1 of 3)
177.,2013-01-24 22:21:22,132.15,97%,Let's face it: there are tons of things in your home and lif...,Win (1 of 3)
176.,2013-01-24 22:20:40,136.27,98%,One thing I've learned in the last seven years: in every gam...,Win (1 of 5)
175.,2013-01-24 22:20:09,116.70,91%,I think you're gonna find - when all this stuff is over and ...,No win (2 of 3)
174.,2013-01-24 22:19:22,122.38,96%,"The brain can be a tool. It can recall phone numbers, solve ...",Win (1 of 4)
173.,2013-01-24 22:17:44,122.76,96%,Once you get into the processed foods you have to be a fairl...,Win (1 of 3)
172.,2013-01-24 22:17:02,125.99,100%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 5)
171.,2013-01-24 22:16:37,111.38,93%,Jay made up for the lack of glamour in his assignment by hav...,No win (2 of 5)
170.,2013-01-24 05:09:22,122.56,97%,Music finds a comfortable parallel with that of human langua...,No win (2 of 4)
169.,2013-01-24 05:08:59,117.72,96%,"People get ready, there's a train coming. You don't need no ...",Win (1 of 2)
168.,2013-01-24 05:08:23,114.67,94%,Although the United Nations does not have the power to enfor...,No win (2 of 3)
167.,2013-01-24 05:07:35,115.71,95%,The alternative to binge travel - the mini retirement - enta...,No win (2 of 5)
166.,2013-01-24 05:06:57,117.38,96%,"A lot of people, especially this one psychoanalyst guy they ...",Win (1 of 4)
165.,2013-01-24 05:06:05,116.24,95%,"After removal from the oven, the pizza is sliced and plated ...",Win (1 of 4)
164.,2013-01-23 04:11:25,116.40,95%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",Win (1 of 3)
163.,2013-01-23 04:10:41,101.70,92%,Who is Keyser Soze? He is supposed to be Turkish. Some say h...,No win (2 of 2)
162.,2013-01-23 04:09:44,113.69,90%,Be impeccable with your word - speak with integrity. Say onl...,No win (3 of 4)
161.,2013-01-23 04:09:05,146.98,100%,"In the casino, the cardinal rule is to keep them playing and...",Win (1 of 4)
160.,2013-01-23 04:08:39,127.07,96%,"I don't want tickets, I need you to find me a painting, a cl...",Win (1 of 2)
159.,2013-01-23 04:07:58,104.38,93%,And then he calls me a jerk and says the last guy who though...,No win (2 of 2)
158.,2013-01-23 04:07:08,140.40,97%,"Right, I am going to tell you how this works. You're going i...",Win (1 of 3)
157.,2013-01-23 04:06:11,128.65,95%,I am learning about twenty new Italian words a day. Where am...,No win (2 of 3)
156.,2013-01-23 04:05:34,102.54,89%,"It's a blue savanna song: somewhere cross the desert, someti...",No win (2 of 3)
155.,2013-01-23 04:04:51,140.03,98%,The theory of music emphasizes the elements from which music...,Win (1 of 3)
154.,2013-01-23 04:04:07,125.09,95%,Lucid but wholly false recollections can easily be induced b...,No win (2 of 4)
153.,2013-01-23 04:03:32,135.76,97%,"Ultimately, this is not about solving your problems. It's ab...",Win (1 of 5)
152.,2013-01-23 04:02:50,146.67,100%,Now I want you to think and stop being a smart aleck. A man'...,Win (1 of 2)
