999.,2012-02-09 00:25:07,123.81,97%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 4)
998.,2012-02-09 00:24:14,124.30,98%,"Common knowledge has bicyclists always riding into the wind,...",Win (1 of 2)
997.,2012-02-06 02:02:41,136.45,100%,All the blue light reflections that color my mind when I sle...,Win (1 of 3)
996.,2012-02-06 01:54:14,127.78,99%,What should have been swift revenge turned into an all out w...,Win (1 of 2)
995.,2012-02-06 01:52:48,111.08,97%,A few light taps upon the pane made him turn to the window. ...,Win (1 of 3)
994.,2012-02-06 01:52:05,121.15,97%,I remember when we used to sit in the government yard in Tre...,Win (1 of 3)
993.,2012-02-06 00:36:06,126.76,98%,Yet the web of thought has no such creases and is more like ...,Win (1 of 4)
992.,2012-02-06 00:35:29,102.82,95%,Involuntarily I glanced seaward - and distinguished nothing ...,Win (1 of 3)
991.,2012-02-06 00:33:22,116.43,95%,"The problem is, Willie, is that Charles and yourself are not...",Win (1 of 2)
990.,2012-02-06 00:32:49,125.43,96%,How many roads must a man walk down before you call him a ma...,Win (1 of 2)
989.,2012-02-06 00:32:04,141.86,99%,Come sail your ships around me and burn your bridges down. W...,Win (1 of 2)
988.,2012-02-06 00:31:14,116.84,95%,"The only people for me are the mad ones, the ones who are ma...",No win (2 of 3)
987.,2012-02-06 00:29:24,127.55,100%,All the blue light reflections that color my mind when I sle...,No win (2 of 3)
986.,2012-02-06 00:27:39,123.08,100%,The theory of music emphasizes the elements from which music...,Win (1 of 4)
985.,2012-02-06 00:26:56,121.39,97%,Gardeners know how to grow top-notch crops. They determine w...,Win (1 of 2)
984.,2012-02-06 00:26:05,111.48,97%,The streets were cleared by a Critical Mass bike ride and we...,Win (1 of 3)
983.,2012-02-06 00:24:39,112.67,97%,"King, eh? Very nice. And how'd you get that, eh? By exploiti...",Win (1 of 3)
982.,2012-02-05 22:55:58,112.08,96%,Being able to quit things that don't work is integral to bei...,No win (2 of 3)
981.,2012-02-05 22:35:52,130.90,99%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 4)
980.,2012-02-05 22:35:06,118.58,98%,"The Orient was almost a European invention, and had been sin...",Win (1 of 3)
979.,2012-02-05 22:34:25,132.29,99%,How many roads must a man walk down before you call him a ma...,No win (2 of 4)
978.,2012-02-05 20:27:50,139.60,98%,"One day you're in a funk about things, telling a friend that...",Win (1 of 4)
977.,2012-02-05 20:27:13,127.59,99%,"Common knowledge has bicyclists always riding into the wind,...",Win (1 of 2)
976.,2012-02-05 20:26:14,120.60,99%,"In the English language, swearing is essential to effective ...",No win (2 of 3)
975.,2012-02-05 20:24:44,113.28,96%,"He started running, up and up, until he hurled himself into ...",Win (1 of 2)
974.,2012-02-05 18:48:25,122.19,99%,You've got a way to keep me on your side. You give me cause ...,Win (1 of 3)
973.,2012-02-05 18:47:57,138.77,98%,There are very few things I wish I could change about those ...,Win (1 of 3)
972.,2012-02-05 18:23:07,113.84,96%,Language is one of the keys to being human. It allows us to ...,Win (1 of 2)
971.,2012-02-05 16:30:49,115.42,97%,What should have been swift revenge turned into an all out w...,No win (2 of 3)
970.,2012-02-05 16:29:06,112.46,96%,The alternative to binge travel - the mini retirement - enta...,Win (1 of 3)
969.,2012-02-05 16:28:00,109.16,96%,Sholes consulted with an educator who helped him analyze the...,No win (2 of 2)
