240.,2018-01-06 18:08:42,97.62,97%,"The Aurors are part of the Rotfang Conspiracy, I thought eve...",No win (4 of 4)
239.,2018-01-06 18:08:08,128.69,99%,I will need my spectacles and a clear head. Today I broke my...,Win (1 of 5)
238.,2017-10-23 22:46:12,100.07,97%,"I learned this, at least, by my experiment: that if one adva...",Win (1 of 2)
237.,2017-10-23 22:44:51,135.22,100%,"The sooner your kids appreciate the value of work, the more ...",Win (1 of 2)
236.,2017-10-23 22:43:48,107.57,97%,I remember when we used to sit in the government yard in Tre...,Win (1 of 2)
235.,2017-10-23 22:42:32,97.06,97%,"This mystery of use without consumption, of warmth without c...",Win (1 of 2)
234.,2017-10-23 22:40:44,110.51,97%,"Today, raisins have no seeds. When we pop a raisin into our ...",Win (1 of 2)
233.,2017-10-23 22:39:11,105.21,97%,No. Why should your Majesty expect it? My own plans are made...,Win (1 of 2)
232.,2017-10-19 22:27:05,112.13,97%,"He's got a two day head start on you, which is more than he ...",Win (1 of 2)
231.,2017-10-19 22:23:23,114.30,98%,I want to leave my footprints in the sands of time. Know the...,Win (1 of 2)
230.,2017-10-19 22:22:07,104.68,98%,"Well, gentlemen, the way I see it, if this hot weather conti...",Win (1 of 2)
229.,2017-10-19 22:21:18,73.50,96%,"Well, the time has come to say, is dehumanization such a bad...",No win (2 of 2)
228.,2017-10-19 22:19:32,97.01,97%,One of the common causes of difficulty in reading for precis...,Win (1 of 2)
227.,2017-10-17 20:50:08,63.33,96%,Directories contain elements that describe objects in the wo...,No win (2 of 2)
226.,2017-10-17 20:48:41,88.63,96%,"Finally, there are those languages, such as Turkish, Finnish...",Win (1 of 2)
225.,2017-10-17 20:45:52,75.45,97%,The hand that mocked them and the heart that fed. And on the...,Win (1 of 2)
224.,2017-10-17 20:44:04,91.80,97%,"On a personal note, his death is very sad. But on a professi...",Win (1 of 2)
223.,2017-10-17 20:42:07,105.68,98%,"Start spreading the news, I'm leaving today. I want to be a ...",Win (1 of 2)
222.,2017-10-09 21:29:06,120.48,98%,The reason that most people don't possess these extraordinar...,Win (1 of 5)
221.,2017-10-09 20:15:24,109.64,96%,"I don't care what he is. If it wasn't for him, your impartia...",No win (5 of 5)
220.,2017-10-09 20:14:17,123.25,99%,My pop was real big. He did like he pleased. That's why ever...,Win (1 of 5)
219.,2017-10-09 20:12:42,116.71,97%,When a child enters school for the first time he will encoun...,Win (1 of 5)
