300.,2017-08-13 20:19:19,131.87,97%,"Alfred Hitchcock once said, ""Drama is life with the dull bit...",Win (1 of 5)
299.,2017-08-13 20:18:24,157.40,100%,"You can, you should, and if you're brave enough to start, yo...",Win (1 of 5)
298.,2017-08-13 20:16:33,122.77,98%,The brain can be a tool. But when you can't stop thinking of...,No win (2 of 4)
297.,2017-08-13 20:15:05,138.37,98%,"Nothing, except he doesn't want it. He loves music he wants ...",Win (1 of 5)
296.,2017-08-13 20:14:26,134.62,97%,"And you know it's time to go, through the sleet and driving ...",No win (3 of 5)
295.,2017-08-13 20:12:58,171.97,100%,Just because you're paranoid doesn't mean they aren't after ...,Win (1 of 4)
294.,2017-08-13 20:12:26,128.85,99%,"Hendricks, get the hoi polloi excited. Have them send protes...",Win (1 of 4)
293.,2017-08-13 20:11:48,138.82,96%,"Let me say that I swear, on the souls of my grandchildren, t...",Win (1 of 4)
292.,2017-08-13 20:10:09,140.46,98%,There is nothing more admirable than when two people who see...,Win (1 of 4)
291.,2017-08-13 20:09:27,154.39,100%,A man on a thousand mile walk has to forget his goal and say...,Win (1 of 3)
290.,2017-08-13 20:08:11,143.88,98%,"If the driver would only slow down, the car would actually g...",Win (1 of 4)
289.,2017-08-13 20:07:30,121.65,99%,Life moves pretty fast. If you don't stop and look around on...,Win (1 of 4)
288.,2017-08-13 20:06:54,159.66,100%,"So ya, thought ya might like to go to the show. To feel the ...",Win (1 of 3)
287.,2017-08-13 20:06:21,117.02,97%,Subdivisions in the high school halls. In the shopping malls...,Win (1 of 4)
286.,2017-08-13 20:05:33,156.63,100%,"If the driver would only slow down, the car would actually g...",Win (1 of 4)
285.,2017-08-13 20:03:36,112.80,96%,This country is hard on people. Hard and crazy. Got the devi...,Win (1 of 3)
284.,2017-08-13 20:02:54,146.80,100%,"Now you come to me and you say, ""Don Corleone, give me justi...",Win (1 of 3)
283.,2017-08-13 20:02:13,128.92,97%,"Yeah. You know, it occurs to me that the best way you hurt r...",Win (1 of 3)
282.,2017-08-13 20:01:31,137.31,97%,"Jamie saved my life. She taught me everything. About life, h...",Win (1 of 4)
281.,2017-08-13 20:00:50,120.05,97%,Lieutenant Dan got me invested in some kind of fruit company...,No win (2 of 3)
280.,2017-08-13 20:00:06,119.38,98%,"You're right, I did lose a million dollars last year. I expe...",No win (2 of 4)
279.,2017-08-13 19:59:26,88.95,94%,So it's all come back round to breaking apart again. Breakin...,No win (2 of 3)
278.,2017-08-13 19:58:48,104.11,97%,This country is hard on people. Hard and crazy. Got the devi...,No win (2 of 3)
277.,2017-08-13 19:58:10,119.39,96%,"Really knowing is good. Not knowing, or refusing to know, is...",No win (2 of 4)
276.,2017-08-13 19:57:26,139.73,98%,Respect was invented to cover the empty place where love sho...,No win (2 of 4)
275.,2017-08-13 19:56:53,117.87,96%,So what's in this for you? Should you rush out in search of ...,Win (1 of 4)
274.,2017-08-13 19:56:05,116.63,96%,"The streets looked small, of course. The streets that we hav...",Win (1 of 4)
273.,2017-08-13 19:55:27,112.14,97%,It's not enough to change a few little habits! Everybody I k...,No win (2 of 4)
272.,2017-08-13 19:54:45,142.16,98%,"The more you see the less you know, the less you find out as...",No win (2 of 4)
271.,2017-08-13 19:54:07,118.25,98%,"Look, Daddy. Teacher says, every time a bell rings an angel ...",No win (2 of 4)
270.,2017-08-13 19:53:30,168.39,100%,It is the evening of the day. I sit and watch the children p...,Win (1 of 3)
269.,2017-08-13 19:52:54,155.87,100%,"If what they say is ""nothing is forever,"" then what makes - ...",Win (1 of 2)
268.,2017-08-13 19:52:13,138.37,99%,"After removal from the oven, the pizza is sliced and plated ...",Win (1 of 3)
267.,2017-08-13 19:51:35,136.69,99%,There are two places on Earth that serve as canaries in the ...,Win (1 of 3)
266.,2017-08-13 19:50:52,90.24,94%,"The darker the night, the brighter the stars, the deeper the...",No win (3 of 4)
265.,2017-08-13 19:49:20,160.16,98%,"Everybody knows in their bones that something is eternal, an...",Win (1 of 4)
264.,2017-08-13 19:48:35,149.15,99%,Good games offer players a set of challenging problems and t...,Win (1 of 4)
263.,2017-08-13 19:47:59,126.47,97%,Why are you trying so hard to fit in when you were born to s...,No win (2 of 4)
262.,2017-08-13 19:47:23,141.52,98%,I used to dread getting older because I thought I would not ...,Win (1 of 4)
261.,2017-08-13 19:46:40,120.46,97%,"New thoughts and hopes were whirling through my mind, and al...",Win (1 of 2)
260.,2017-08-13 19:46:03,118.83,96%,"Twilight, again. Another ending. No matter how perfect the d...",No win (2 of 3)
259.,2017-08-13 19:45:26,135.90,99%,Freedom is the freedom to say that two plus two make four. I...,No win (2 of 4)
258.,2017-08-13 19:44:50,123.06,97%,"You look in excellent health to me, Potter, so you will excu...",Win (1 of 4)
257.,2017-08-13 19:44:07,123.16,96%,This is one time where television really fails to capture th...,Win (1 of 4)
256.,2017-08-13 19:42:40,129.36,98%,When we got to the Mint I parked on the street in front of t...,Win (1 of 4)
255.,2017-08-13 19:41:54,145.73,97%,You will become way less concerned with what other people th...,Win (1 of 4)
