925.,2011-01-14 14:22:06,114.47,100%,Imagine for a moment if we once again knew these few unremar...,Win (1 of 4)
924.,2011-01-14 14:21:04,112.49,100%,It was hard to toss things I had once thought were valuable ...,Win (1 of 4)
923.,2011-01-14 14:20:07,130.51,100%,One thing I've learned in the last seven years: in every gam...,No win (2 of 4)
922.,2011-01-14 14:19:42,109.93,100%,"The creation ends in South Georgia, at the very edge of the ...",Win (1 of 5)
921.,2011-01-14 14:18:51,95.58,100%,"Everyone said I was daft to build a castle on a swamp, but I...",No win (2 of 5)
920.,2011-01-14 14:17:47,126.63,100%,All time is all time. It does not change. It does not lend i...,Win (1 of 3)
919.,2011-01-14 14:17:16,110.20,100%,Paper as we know it today was invented in China in around 10...,No win (4 of 5)
918.,2011-01-14 14:16:33,125.75,100%,"The Earth is a world, the world is a ball, a ball in a game ...",Win (1 of 4)
917.,2011-01-14 14:16:05,96.43,100%,"Now you might ask yourself, if by yourself you mean me, ""Ste...",No win (3 of 3)
916.,2011-01-14 14:14:57,118.03,100%,"Ticking away the moments that make up a dull day, you fritte...",No win (2 of 5)
915.,2011-01-14 14:14:25,113.14,100%,So my heart goes out to them. Figuratively. I would never ac...,Win (1 of 5)
914.,2011-01-14 14:13:34,115.19,100%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",Win (1 of 5)
913.,2010-10-04 05:43:05,111.32,100%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 5)
912.,2010-10-04 05:42:31,113.70,100%,Is it sweeter to exist only in the mind or to exist both in ...,Win (1 of 4)
911.,2010-10-04 05:41:43,122.95,100%,We've known each other for many years but this is the first ...,Win (1 of 3)
910.,2010-10-04 05:40:56,91.33,100%,"My friend, I shall be pedagogic, and say you ought to start ...",No win (3 of 5)
909.,2010-10-04 05:40:14,115.03,100%,I had the impression of being abandoned by everyone when the...,Win (1 of 3)
908.,2010-10-04 05:39:09,114.95,100%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 5)
907.,2010-08-14 07:55:07,114.40,100%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 2)
906.,2010-08-14 07:53:57,103.20,100%,The inner surface of the cell wall touches the cytoplasmic m...,No win (2 of 2)
905.,2010-08-14 07:52:22,106.81,100%,"Ticking away the moments that make up a dull day, you fritte...",No win (2 of 3)
904.,2010-08-14 07:51:32,108.06,100%,"He was rough around the edges. He'd been to school, but neve...",Win (1 of 2)
903.,2010-08-14 07:50:20,118.86,100%,There is a theory which states that if anybody ever discover...,Win (1 of 3)
902.,2010-08-14 07:49:28,129.30,100%,I thought climbing the Devil's Thumb would fix all that was ...,Win (1 of 3)
901.,2010-08-14 07:48:42,111.39,100%,The streets were cleared by a Critical Mass bike ride and we...,Win (1 of 3)
900.,2010-08-14 07:47:54,118.78,100%,Your faith was strong but you needed proof. You saw her bath...,Win (1 of 4)
899.,2010-08-14 07:47:20,101.59,100%,"To some, the rules of etiquette may seem outdated, stuffy an...",Win (1 of 2)
898.,2010-08-14 07:46:16,100.90,100%,And I will strike down upon thee with great vengeance and fu...,Win (1 of 3)
897.,2010-08-14 07:45:42,124.58,100%,It is possible that I already had some presentiment of my fu...,Win (1 of 2)
896.,2010-08-14 07:45:06,89.88,100%,"What good's a reward if you ain't around to use it? Besides,...",Win (1 of 2)
895.,2010-08-14 07:44:30,127.07,100%,Involuntarily I glanced seaward - and distinguished nothing ...,Win (1 of 2)
894.,2010-08-07 00:00:45,101.87,100%,Indonesia is a nation of islands - more than seventeen thous...,Win (1 of 4)
893.,2010-08-06 23:56:21,113.14,100%,"Good games stay within, but at the outer edge, of the player...",Win (1 of 4)
892.,2010-08-06 23:54:58,109.56,100%,I said that I would see you because I had heard that you wer...,No win (2 of 5)
891.,2010-08-06 23:54:05,105.20,100%,"They say that right after God created man, he took a rib fro...",No win (3 of 5)
890.,2010-08-06 23:53:25,89.29,100%,"I've heard there was a secret chord that David played, and i...",No win (2 of 3)
889.,2010-08-06 23:52:34,121.11,100%,"Burning my bridges and smashing my mirrors, turning to see i...",Win (1 of 4)
888.,2010-07-31 03:00:48,116.09,100%,"As if that blind rage had washed me clean, rid me of hope; f...",No win (3 of 4)
887.,2010-07-31 03:00:12,107.90,100%,"There is no physical separation after the slicing, so that e...",No win (2 of 2)
886.,2010-07-31 02:59:25,109.42,100%,"Excellent. He's enterprising, aggressive, outgoing, young, b...",Win (1 of 3)
885.,2010-07-31 02:58:14,115.70,100%,I have quit three jobs and been fired from all the rest. Get...,No win (2 of 3)
884.,2010-07-31 02:57:16,148.43,100%,Let me tell you why you're here. You're here because you kno...,Win (1 of 3)
883.,2010-07-31 02:56:21,114.86,100%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 2)
882.,2010-07-31 02:55:42,114.66,100%,"There are men who possess a peculiarly strong visual memory,...",No win (3 of 3)
881.,2010-07-26 23:05:46,112.11,100%,To drive out of the Central Valley of California on a hot da...,Win (1 of 2)
880.,2010-07-26 23:04:12,124.01,100%,Although his voice was also broken by uncertainty and his ha...,No win (2 of 2)
879.,2010-07-26 23:02:45,117.59,100%,"If you don't get what you want, you suffer; if you get what ...",No win (2 of 2)
878.,2010-07-26 23:01:15,110.69,100%,It is greatly to America's advantage that it is a congenial ...,Win (1 of 2)
877.,2010-07-26 22:59:23,122.44,100%,I don't know why he saved my life. Maybe in those last momen...,Win (1 of 2)
876.,2010-07-26 22:58:19,120.99,100%,Is this the real life? Is this just fantasy? Caught in a lan...,Win (1 of 2)
875.,2010-07-26 22:56:59,116.21,100%,It doesn't mean much to be able to filter out most present-d...,No win (2 of 2)
874.,2010-07-26 22:55:51,96.47,100%,"A zealot might be, for instance, an individual with a person...",No win (2 of 2)
873.,2010-07-17 23:43:16,127.37,100%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 3)
872.,2010-06-27 16:27:57,141.96,100%,It was one of those days when it's a minute away from snowin...,No win (1 of 1)
871.,2010-06-07 13:08:11,103.81,100%,"One day you're in a funk about things, telling a friend that...",No win (2 of 2)
870.,2010-06-07 13:07:18,111.50,100%,"I was shaking like a leaf, so without thinking I lit up a ci...",No win (2 of 2)
869.,2010-06-07 13:06:28,123.95,100%,"Get it straight buster - I'm not here to say please, I'm her...",Win (1 of 2)
868.,2010-06-07 13:05:47,126.18,100%,How many roads must a man walk down before you call him a ma...,Win (1 of 2)
867.,2010-06-07 13:05:02,112.64,100%,So I'm two inches away from her. Her luscious lips part. Jus...,Win (1 of 2)
866.,2010-06-07 13:03:56,132.95,100%,"My darling, you have to be standing up in order to be able t...",Win (1 of 3)
865.,2010-06-07 13:03:08,127.21,100%,"I had a job, I had a girl. I had something going, mister, in...",Win (1 of 2)
864.,2010-06-07 13:02:23,107.76,100%,"And in the world a heart of darkness, a firezone, where poet...",Win (1 of 2)
863.,2010-06-06 13:16:49,113.47,100%,"A little boy went out to play. When he opened his door, he s...",No win (2 of 4)
862.,2010-06-06 13:16:07,113.26,100%,"And in the world a heart of darkness, a firezone, where poet...",Win (1 of 3)
861.,2010-06-06 13:15:24,107.69,100%,So my heart goes out to them. Figuratively. I would never ac...,Win (1 of 2)
860.,2010-06-03 19:12:09,103.74,100%,We've arranged a global civilization in which most crucial e...,No win (2 of 3)
859.,2010-06-03 19:11:31,114.18,100%,The most precious treasures we have in life are the images w...,Win (1 of 3)
858.,2010-06-03 19:10:46,111.78,100%,"Let me get this straight. You think that your client, one of...",No win (2 of 2)
857.,2010-06-03 19:09:51,107.45,100%,"It is a period of civil war. Rebel spaceships, striking from...",No win (2 of 3)
856.,2010-06-03 19:09:02,119.96,100%,"If I leave here tomorrow, would you still remember me? For I...",Win (1 of 4)
855.,2010-06-03 19:08:09,117.51,100%,Images of broken light which dance before me like a million ...,Win (1 of 3)
854.,2010-06-03 19:07:30,102.31,100%,"Often, we assume that a familiar situation will be but a rep...",No win (3 of 3)
853.,2010-06-03 19:06:37,131.11,100%,"Contrary to the feminist cant, there are many things we can ...",Win (1 of 3)
852.,2010-06-03 19:05:51,97.12,100%,I've seen things you people wouldn't believe. Attack ships o...,No win (3 of 3)
851.,2010-06-03 19:04:19,127.30,100%,If you're working out in front of a mirror and watching your...,Win (1 of 2)
850.,2010-06-03 19:03:39,116.93,100%,Always do your best - your best is going to change from mome...,No win (2 of 3)
849.,2010-06-03 19:03:01,126.52,100%,"If you are given too many choices, if you are forced to cons...",Win (1 of 3)
848.,2010-06-03 19:02:17,104.24,100%,"Historian James C. Cobb has described southern identity as ""...",Win (1 of 2)
847.,2010-06-03 19:01:33,112.56,100%,Space is big. Really big. You just won't believe how vastly ...,No win (2 of 2)
846.,2010-06-03 19:00:58,97.14,100%,I know that you weren't bored that day because there was a l...,No win (3 of 3)
845.,2010-06-03 19:00:03,111.64,100%,I had the impression of being abandoned by everyone when the...,Win (1 of 2)
844.,2010-06-03 18:58:44,134.88,100%,Humans need to practice what they are learning a good deal b...,Win (1 of 2)
843.,2010-06-03 18:58:05,124.53,100%,"This planet has, or rather had, a problem, which was this: m...",Win (1 of 2)
842.,2010-06-03 18:57:17,119.09,100%,"Thirdly, however, these wars could now be waged with the new...",Win (1 of 3)
841.,2010-06-03 18:56:31,127.93,100%,The theory of music emphasizes the elements from which music...,Win (1 of 4)
840.,2010-06-03 18:55:50,107.97,100%,A glooming peace this morning with it brings. The sun for so...,No win (2 of 3)
839.,2010-06-03 18:54:56,107.75,100%,He rode past me and kept on goin'. Never said nothin' goin' ...,Win (1 of 2)
838.,2010-06-03 18:53:34,133.82,100%,Remember that humor is written backwards. That means you fir...,Win (1 of 4)
837.,2010-06-03 18:53:08,125.76,100%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 5)
836.,2010-05-17 17:39:21,110.98,100%,"Today, computers have taken this ancient art out of the craf...",Win (1 of 2)
835.,2010-05-17 17:37:05,97.01,100%,"To evaluate an option from the other side's point of view, c...",No win (2 of 2)
834.,2010-05-17 17:36:03,114.51,100%,So what's in this for you? Should you rush out in search of ...,Win (1 of 2)
833.,2010-05-17 17:34:59,98.70,100%,You could choke a dozen donkeys on that! And you're haggling...,Win (1 of 2)
832.,2010-05-17 17:34:05,94.99,100%,"Every craft and every investigation, and likewise every acti...",No win (2 of 2)
831.,2010-05-17 17:33:02,132.39,100%,If you're working out in front of a mirror and watching your...,Win (1 of 2)
830.,2010-05-17 17:31:35,102.80,100%,Unlike the other four senses located in the logical regions ...,No win (2 of 2)
829.,2010-05-17 17:29:48,108.76,100%,The theory of music emphasizes the elements from which music...,Win (1 of 2)
