617.,2013-07-28 19:13:29,120.60,98%,"No matter how bad things are, you can always make things wor...",No win (2 of 3)
616.,2013-07-28 19:10:09,113.40,99%,Is this the real life? Is this just fantasy? Caught in a lan...,Win (1 of 3)
615.,2013-07-28 19:09:25,124.24,98%,Since every piece of matter in the Universe is in some way a...,Win (1 of 2)
614.,2013-07-28 19:08:41,120.44,98%,"In the witch trials, it was nearly impossible to provide com...",No win (3 of 5)
613.,2013-07-28 19:07:50,124.69,99%,The pickpockets' profession demands extraordinary nimbleness...,Win (1 of 3)
612.,2013-07-28 19:07:11,107.08,97%,"Prior to the 1970's, because the United States had long been...",Win (1 of 2)
611.,2013-07-28 19:04:41,104.74,93%,I thought climbing the Devil's Thumb would fix all that was ...,No win (2 of 3)
610.,2013-07-27 13:57:59,117.04,97%,"When I was a kid, you never saw radicchio in the produce sec...",Win (1 of 3)
609.,2013-07-27 13:57:14,104.17,92%,Focus your attention on the Now and tell me what problem you...,No win (2 of 3)
608.,2013-07-27 13:56:21,130.22,98%,"There are perhaps twenty regular posters on the forum, and s...",Win (1 of 3)
607.,2013-07-27 13:55:20,121.34,97%,"The melted mozzarella layer, which we shall designate MML, i...",No win (2 of 3)
606.,2013-07-27 13:54:35,97.40,94%,"Anyway, like I was saying, shrimp is the fruit of the sea. Y...",Win (1 of 3)
605.,2013-07-27 13:54:01,133.28,98%,Music finds a comfortable parallel with that of human langua...,Win (1 of 5)
604.,2013-07-27 00:22:59,98.96,94%,So I'm two inches away from her. Her luscious lips part. Jus...,Win (1 of 2)
603.,2013-07-27 00:22:22,116.30,95%,A giant inverted steel pyramid is perfectly balanced on its ...,No win (1 of 1)
602.,2013-07-27 00:21:25,127.54,97%,Convection also plays a minor role because of the relative t...,No win (3 of 5)
601.,2013-07-27 00:20:11,137.56,100%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",No win (2 of 3)
600.,2013-07-27 00:19:39,118.78,91%,A few light taps upon the pane made him turn to the window. ...,Win (1 of 5)
599.,2013-07-26 22:38:32,115.23,91%,"You have a class of young strong men and women, and they wan...",No win (2 of 3)
598.,2013-07-26 22:37:41,111.58,95%,"They had been given a sign - a powerful, lucid sign - that u...",Win (1 of 2)
597.,2013-07-26 22:36:38,134.10,97%,There are very few things I wish I could change about those ...,Win (1 of 2)
596.,2013-07-26 22:35:48,136.45,99%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 3)
595.,2013-07-26 22:34:14,129.62,96%,A few light taps upon the pane made him turn to the window. ...,Win (1 of 2)
594.,2013-07-26 22:33:36,105.97,91%,"When Betty and Billy fell asleep, he walked down to the kitc...",Win (1 of 2)
