978.,2012-05-29 22:11:06,128.31,95%,"They knew they were privileged to have these choices, but th...",Win (1 of 2)
977.,2012-05-29 22:09:08,125.06,95%,Buddhism addresses two major types of meditation. Vipassana ...,Win (1 of 2)
976.,2012-05-14 19:09:13,138.97,91%,The theory of music emphasizes the elements from which music...,Win (1 of 4)
975.,2012-05-02 16:16:39,152.33,100%,"I rejected those answers; instead, I chose something differe...",Win (1 of 5)
974.,2012-05-02 16:16:06,134.25,98%,"Air-conditioned, odorless, illuminated by buzzing fluorescen...",Win (1 of 2)
973.,2012-05-02 16:15:26,135.76,89%,Well I woke in mid-afternoon cause that's when it all hurts ...,No win (2 of 5)
972.,2012-04-27 22:48:05,163.18,98%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 4)
971.,2012-04-27 22:46:18,150.48,99%,Since every piece of matter in the Universe is in some way a...,Win (1 of 5)
970.,2012-04-25 19:27:08,149.40,100%,At the time when Britain faced a plunge into chaos and darkn...,Win (1 of 2)
969.,2012-04-25 00:51:20,127.85,96%,"Around midafternoon, the snow thinned into sleet, and some u...",Win (1 of 3)
968.,2012-04-25 00:50:48,135.45,97%,Most popular song lyrics have two sections - a verse and a b...,Win (1 of 2)
967.,2012-04-21 01:32:34,132.42,96%,Focus your attention on the Now and tell me what problem you...,Win (1 of 3)
966.,2012-04-21 01:31:56,105.06,97%,So I'm two inches away from her. Her luscious lips part. Jus...,Win (1 of 3)
965.,2012-04-21 01:31:10,144.99,98%,We go waiting for the stars to come showering down. From Mos...,Win (1 of 4)
964.,2012-04-21 01:30:20,137.71,95%,It was one of those days when it's a minute away from snowin...,Win (1 of 4)
963.,2012-04-21 01:29:02,157.63,99%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 3)
962.,2012-04-21 01:26:56,125.49,95%,I'm telling it like it is. Get used to it or put this book d...,Win (1 of 5)
961.,2012-04-21 01:26:09,130.34,97%,Any finite number divided by infinity is as near to nothing ...,Win (1 of 2)
960.,2012-04-21 01:25:18,124.42,98%,The development of a living body of literature became indica...,Win (1 of 2)
959.,2012-04-21 01:24:23,147.64,97%,Let me tell you why you're here. You're here because you kno...,Win (1 of 2)
958.,2012-04-21 01:23:37,131.51,100%,It doesn't mean much to be able to filter out most present-d...,Win (1 of 4)
957.,2012-04-21 01:22:59,140.75,98%,"Good games stay within, but at the outer edge, of the player...",Win (1 of 2)
956.,2012-04-21 01:22:15,151.21,100%,"She's got a smile that, it seems to me, reminds me of childh...",Win (1 of 3)
955.,2012-04-21 01:21:32,136.90,99%,"When we pulled out into the winter night and the real snow, ...",Win (1 of 4)
954.,2012-04-21 01:20:34,142.27,96%,So it's all come back round to breaking apart again. Breakin...,Win (1 of 5)
953.,2012-04-21 01:19:29,158.05,100%,"When the light of life has gone, no change for the meter. Th...",Win (1 of 2)
952.,2012-04-21 01:18:50,119.54,94%,"Imagine this: Here we are, a plane full of grown human being...",No win (1 of 1)
951.,2012-03-06 15:49:45,144.41,98%,By studying the cooling of pizza in the gravity free environ...,Win (1 of 2)
950.,2012-03-06 15:48:19,142.06,97%,"Now you might ask yourself, if by yourself you mean me, ""Ste...",Win (1 of 2)
949.,2012-02-27 03:47:52,125.16,98%,"When the light of life has gone, no change for the meter. Th...",Win (1 of 3)
948.,2012-02-26 01:54:36,149.32,99%,"Double, double, toil and trouble; fire burn, and cauldron bu...",Win (1 of 3)
947.,2012-02-17 21:53:21,164.52,100%,Supermarket aisles are the perfect place to practice your gl...,Win (1 of 2)
946.,2012-02-17 09:25:24,156.01,99%,Let me tell you why you're here. You're here because you kno...,Win (1 of 3)
945.,2012-02-17 09:24:21,139.71,95%,"The creation ends in South Georgia, at the very edge of the ...",No win (1 of 1)
944.,2012-02-17 09:23:30,134.05,91%,"Kid, I've flown from one side of this galaxy to the other, a...",Win (1 of 2)
