162.,2017-02-06 22:09:50,127.90,93%,"With no map to navigate one's life, some of us have stood st...",Win (1 of 2)
161.,2017-02-06 22:07:53,147.60,98%,"And, anyway, it's not about making money, it's about taking ...",Win (1 of 4)
160.,2017-02-06 21:15:53,138.84,95%,The alternative to binge travel - the mini retirement - enta...,No win (2 of 4)
159.,2017-02-06 21:14:46,125.37,94%,"Double, double, toil and trouble; fire burn, and cauldron bu...",No win (2 of 3)
158.,2017-02-06 21:14:03,135.78,95%,"It's been a hard day's night, and I'd been working like a do...",No win (3 of 5)
157.,2017-02-04 14:46:26,125.07,94%,I am fundamentally an optimist. Whether that comes from natu...,No win (2 of 2)
156.,2017-01-12 21:36:26,127.92,98%,And I will look down and see my murmuring bones and the deep...,No win (3 of 4)
155.,2016-11-28 20:18:57,140.26,90%,"For centuries, the battle of morality was fought between tho...",Win (1 of 5)
154.,2016-11-28 20:18:15,147.47,97%,"Many people limit themselves to leading boring, dull lives b...",Win (1 of 3)
153.,2016-11-28 20:17:34,133.53,95%,"I am very proud, revengeful, ambitious, with more offences a...",Win (1 of 4)
152.,2016-11-28 19:42:42,146.80,96%,"What good's a reward if you ain't around to use it? Besides,...",Win (1 of 4)
151.,2016-11-28 17:45:15,133.40,99%,Solving the following riddle will reveal the awful secret be...,Win (1 of 5)
150.,2016-11-28 17:44:48,136.02,99%,"My dog barks some. Mentally you picture my dog, but I have n...",Win (1 of 4)
149.,2016-11-28 17:44:14,140.54,96%,"I took her hand in mine, and we went out of the ruined place...",Win (1 of 3)
148.,2016-11-26 23:03:05,140.31,97%,"I'd been walking for hours and, as usual, I'd lost track of ...",Win (1 of 3)
147.,2016-11-26 19:26:52,156.84,96%,Step out the front door like a ghost into the fog where no o...,Win (1 of 5)
146.,2016-11-26 19:25:46,115.59,88%,The awful thing is that beauty is mysterious as well as terr...,Win (1 of 3)
145.,2016-11-26 19:24:30,160.19,96%,And so with the sunshine and the great bursts of leaves grow...,Win (1 of 2)
144.,2016-11-26 19:23:52,145.18,95%,Wherever they might be they always remember that the past wa...,Win (1 of 3)
143.,2016-11-19 18:07:15,137.52,99%,"I am invisible, understand, simply because people refuse to ...",Win (1 of 2)
142.,2016-11-19 18:06:16,134.50,93%,He rode past me and kept on goin'. Never said nothin' goin' ...,Win (1 of 5)
141.,2016-11-18 18:15:06,135.52,100%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",Win (1 of 5)
140.,2016-11-13 20:51:49,131.93,98%,Remember before when I was talking about smelly garbage stan...,No win (3 of 4)
139.,2016-11-12 13:23:47,147.47,97%,I said that I would see you because I had heard that you wer...,Win (1 of 2)
138.,2016-11-12 13:22:57,125.12,95%,There was a stage and a PA up in western Massachusetts and t...,No win (2 of 4)
137.,2016-11-11 17:02:00,132.21,98%,And that's what this whole thing is about. Calling home. Ins...,Win (1 of 3)
136.,2016-11-11 17:01:23,138.26,97%,She was wearing a pair of my pajamas with the sleeves rolled...,Win (1 of 3)
135.,2016-11-11 16:55:15,131.80,94%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 5)
134.,2016-11-11 16:30:58,126.42,90%,Once you get into the processed foods you have to be a fairl...,No win (2 of 3)
133.,2016-10-25 21:31:06,149.54,100%,There's an old voice in my head that's holding me back. Well...,Win (1 of 4)
132.,2016-10-12 17:35:55,119.39,96%,"The sooner your kids appreciate the value of work, the more ...",No win (2 of 3)
131.,2016-08-31 17:15:39,136.38,99%,"It was too big to be called a sword. Massive, thick, heavy, ...",Win (1 of 3)
130.,2016-05-03 14:57:34,130.84,95%,There are two places on Earth that serve as canaries in the ...,Win (1 of 3)
129.,2016-05-03 14:56:35,145.88,97%,And then he calls me a jerk and says the last guy who though...,Win (1 of 2)
128.,2016-05-02 07:45:37,151.59,100%,"When I was your age, television was called books. And this i...",Win (1 of 2)
127.,2016-05-02 07:45:06,146.98,98%,I must not fear. Fear is the mind killer. Fear is the little...,No win (1 of 1)
126.,2016-05-02 07:38:32,143.86,95%,As much money and life as you could want! The two things mos...,No win (1 of 1)
125.,2016-05-02 07:37:56,143.09,97%,"If we all go for the blonde and block each other, not a sing...",No win (1 of 1)
124.,2016-05-02 07:36:42,151.64,99%,"I never wanted to become someone like him. So secure, conten...",Win (1 of 2)
123.,2016-05-02 07:36:09,145.17,99%,"In the moment when I truly understand my enemy, understand h...",Win (1 of 2)
122.,2016-05-02 07:35:22,152.76,98%,"When we conceive of the sweetest being ever, we are conceivi...",Win (1 of 5)
121.,2016-05-02 07:31:42,143.37,98%,"OK, let me get something straight: this is a journal, not a ...",Win (1 of 4)
120.,2016-05-02 07:30:52,159.63,100%,"You have a class of young strong men and women, and they wan...",Win (1 of 5)
119.,2016-05-02 07:30:10,137.67,91%,Now I want you to think and stop being a smart aleck. A man'...,Win (1 of 2)
118.,2016-05-02 07:27:19,141.16,98%,It's really hard to do nothing totally. Even just sitting he...,Win (1 of 2)
117.,2016-05-02 07:26:05,137.80,99%,"As customers of all races, nationalities, and cultures visit...",Win (1 of 3)
116.,2016-05-02 07:25:11,128.80,94%,"This was the most delicious meal he'd had in recent years, a...",Win (1 of 3)
115.,2016-05-02 07:24:23,128.23,94%,"Comfortable, Mullet? It seems sadly ironic that it's that ti...",Win (1 of 3)
114.,2016-05-02 04:23:18,128.32,93%,Let's face it: there are tons of things in your home and lif...,No win (2 of 2)
113.,2016-05-02 04:22:36,139.62,96%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 5)
112.,2016-05-02 04:22:14,136.83,95%,"I had a dream. There was our world, and the world was dark b...",Win (1 of 2)
111.,2016-05-02 04:21:17,120.49,92%,"The idea of ""Mr. Right"" has been passed down over the genera...",Win (1 of 2)
110.,2016-05-02 04:20:22,143.03,92%,The unknown future rolls toward us. I face it for the first ...,No win (2 of 2)
109.,2016-05-02 04:19:51,119.10,88%,Your faith was strong but you needed proof. You saw her bath...,Win (1 of 2)
108.,2016-05-02 03:50:37,137.46,98%,If there is one thing the history of evolution has taught us...,Win (1 of 2)
107.,2016-05-02 03:50:02,138.82,96%,In order to face down the danger that is stalking us and mov...,Win (1 of 2)
106.,2016-05-02 03:49:14,144.24,95%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 3)
105.,2016-05-02 03:48:41,140.41,98%,Your faith was strong but you needed proof. You saw her bath...,Win (1 of 3)
104.,2016-05-02 03:47:55,155.90,99%,"And you know it's time to go, through the sleet and driving ...",Win (1 of 3)
103.,2016-04-27 01:56:55,141.11,95%,I don't know why he saved my life. Maybe in those last momen...,Win (1 of 2)
102.,2016-04-27 01:03:42,138.34,98%,It is by will alone I set my mind in motion. It is by the ju...,Win (1 of 3)
101.,2016-04-27 01:01:08,154.97,99%,I don't know why he saved my life. Maybe in those last momen...,Win (1 of 2)
100.,2016-04-27 00:50:32,145.56,99%,"People get ready, there's a train coming. You don't need no ...",Win (1 of 4)
99.,2016-04-27 00:49:17,156.97,100%,Remember that humor is written backwards. That means you fir...,Win (1 of 4)
98.,2016-04-27 00:48:56,142.33,95%,How many roads must a man walk down before you call him a ma...,Win (1 of 2)
97.,2016-04-27 00:48:15,143.21,99%,We go waiting for the stars to come showering down. From Mos...,Win (1 of 3)
96.,2016-04-27 00:47:37,153.13,99%,You've got a way to keep me on your side. You give me cause ...,Win (1 of 2)
95.,2016-04-27 00:45:02,149.70,100%,Focus your attention on the Now and tell me what problem you...,Win (1 of 3)
94.,2016-04-27 00:44:24,148.49,98%,Being able to quit things that don't work is integral to bei...,Win (1 of 4)
93.,2016-04-27 00:43:42,144.73,99%,The Inca believed that if one did not give thanks and obedie...,Win (1 of 4)
92.,2016-04-27 00:42:45,141.15,96%,"Some pilots like the excitement of our missions, knowing tha...",Win (1 of 3)
91.,2016-04-27 00:42:11,135.88,95%,When we got to the Mint I parked on the street in front of t...,Win (1 of 4)
90.,2016-04-27 00:33:25,151.22,97%,There is something about yourself that you don't know. Somet...,Win (1 of 4)
89.,2016-04-27 00:32:38,152.26,100%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 3)
88.,2016-04-27 00:19:37,148.63,96%,"The terminator wouldn't stop, it would never leave him. It w...",Win (1 of 3)
87.,2016-04-27 00:18:01,154.69,100%,I am learning about twenty new Italian words a day. Where am...,Win (1 of 5)
86.,2016-04-27 00:17:28,134.57,94%,We go waiting for the stars to come showering down. From Mos...,Win (1 of 5)
85.,2016-04-27 00:16:24,129.59,96%,You're not like the others. I've seen a few; I know. When I ...,Win (1 of 5)
84.,2016-04-25 02:15:16,152.72,98%,Don't take anything personally - nothing others do is becaus...,Win (1 of 2)
83.,2016-04-25 02:07:29,157.77,100%,Humans need to practice what they are learning a good deal b...,Win (1 of 4)
82.,2016-04-23 00:33:30,130.25,98%,"Yes, the newspapers were right: snow was general all over Ir...",Win (1 of 2)
81.,2016-04-23 00:32:30,135.01,93%,"I had a job, I had a girl. I had something going, mister, in...",Win (1 of 2)
80.,2016-04-23 00:31:47,151.57,99%,Remember that humor is written backwards. That means you fir...,Win (1 of 3)
79.,2016-04-23 00:28:37,132.42,94%,But the two men were not lonely at all. At home they were co...,Win (1 of 2)
78.,2016-04-23 00:27:59,120.67,96%,"There is more to color than a swatch in a book, or a pull do...",Win (1 of 2)
77.,2016-04-23 00:26:33,145.83,98%,I never said I would stay to the end - I knew I would leave ...,Win (1 of 3)
76.,2016-04-23 00:25:37,143.82,100%,"I've heard there was a secret chord that David played, and i...",Win (1 of 4)
75.,2016-04-23 00:24:55,159.09,99%,"One day you're in a funk about things, telling a friend that...",Win (1 of 5)
74.,2016-04-23 00:24:08,147.27,99%,"It's a funny thing, but people mostly have it backward. They...",Win (1 of 5)
73.,2016-04-23 00:21:15,133.47,98%,"The only people for me are the mad ones, the ones who are ma...",No win (2 of 3)
72.,2016-04-23 00:20:27,144.73,99%,"Now that I know that I'm breaking to pieces, I'll pull out m...",Win (1 of 2)
71.,2016-04-23 00:19:27,142.92,98%,Writing is hard work. A clear sentence is no accident. Very ...,Win (1 of 3)
70.,2016-04-23 00:18:55,132.35,98%,"I don't believe in an interventionist God, but I know, darli...",No win (2 of 4)
69.,2016-04-23 00:18:16,140.83,98%,Every time I think of you I feel shot right through with a b...,Win (1 of 3)
68.,2016-04-23 00:17:32,134.11,95%,"I'm so glad you came, I'm so glad you remembered, the walkin...",Win (1 of 2)
67.,2016-04-22 23:52:32,138.24,95%,"I never wanted to become someone like him. So secure, conten...",No win (2 of 3)
66.,2016-04-22 23:51:22,141.34,97%,She's got eyes of the bluest skies as if they thought of rai...,No win (2 of 2)
65.,2016-04-22 22:02:10,138.07,99%,Stab a sorry heart with your favorite finger. Paint the whol...,Win (1 of 2)
64.,2016-04-22 20:00:03,142.56,98%,"The brain can be a tool. It can recall phone numbers, solve ...",Win (1 of 4)
63.,2016-04-22 19:59:21,133.67,90%,Rhymes trap you into saying things you don't want to say. A ...,Win (1 of 2)
62.,2016-04-22 19:58:00,135.86,95%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",Win (1 of 4)
61.,2016-04-22 19:57:23,154.07,100%,There's a hole in the world like a great black pit. And the ...,Win (1 of 5)
60.,2016-04-22 19:57:02,137.12,97%,Stab a sorry heart with your favorite finger. Paint the whol...,Win (1 of 3)
59.,2016-04-22 19:56:22,125.09,97%,"Whenever you watch the mind, you withdraw consciousness from...",Win (1 of 2)
58.,2016-04-22 19:55:38,132.95,98%,The truth of the matter is that there are a lot of available...,Win (1 of 5)
57.,2016-04-22 19:55:08,142.90,99%,Don't make assumptions - find the courage to ask questions a...,Win (1 of 2)
56.,2016-04-22 19:54:24,133.73,97%,"People get ready, there's a train coming. You don't need no ...",Win (1 of 2)
55.,2016-04-22 19:53:31,129.00,96%,"We turn away to face the cold, enduring chill, as the day be...",No win (2 of 3)
54.,2016-04-22 19:52:45,130.15,97%,Is it sweeter to exist only in the mind or to exist both in ...,Win (1 of 2)
53.,2016-04-22 19:51:57,135.53,98%,"I'd been walking for hours and, as usual, I'd lost track of ...",Win (1 of 5)
52.,2016-04-22 19:22:17,124.70,98%,"Listen, strange women lyin' in ponds distributin' swords is ...",Win (1 of 5)
51.,2016-04-22 19:21:32,140.62,96%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 3)
50.,2016-04-22 19:19:58,125.74,93%,It's really hard to do nothing totally. Even just sitting he...,Win (1 of 3)
49.,2016-04-22 19:19:27,124.24,97%,"You needn't take it any further, sir. You've proved to me th...",Win (1 of 4)
48.,2016-04-22 19:18:52,150.35,100%,Remember that humor is written backwards. That means you fir...,Win (1 of 3)
47.,2016-04-22 19:18:20,134.46,94%,"The sooner your kids appreciate the value of work, the more ...",Win (1 of 2)
46.,2016-04-22 19:16:10,126.61,93%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",No win (3 of 3)
45.,2016-04-22 19:15:46,139.48,97%,"And you know it's time to go, through the sleet and driving ...",Win (1 of 3)
44.,2016-04-22 19:11:20,137.35,98%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 4)
43.,2016-04-22 19:10:26,134.45,100%,"My friend, I shall be pedagogic, and say you ought to start ...",Win (1 of 3)
42.,2016-04-22 19:08:11,162.17,100%,"You have a class of young strong men and women, and they wan...",Win (1 of 2)
41.,2016-04-22 19:07:23,135.73,98%,All time is all time. It does not change. It does not lend i...,Win (1 of 3)
40.,2016-04-22 19:06:52,140.22,96%,"You have a class of young strong men and women, and they wan...",Win (1 of 3)
39.,2016-04-22 19:05:45,129.14,95%,"When I was your age, television was called books. And this i...",Win (1 of 3)
38.,2016-04-22 19:04:39,131.86,95%,We've known each other for many years but this is the first ...,Win (1 of 3)
37.,2016-04-22 19:03:55,135.09,98%,One essential rule: make sure the joke is the last possible ...,Win (1 of 3)
36.,2016-04-22 19:03:22,155.71,100%,San Francisco in the middle sixties was a very special time ...,Win (1 of 4)
35.,2016-04-22 19:02:48,127.82,96%,"When you are typing on a typewriter, your input appears dire...",Win (1 of 3)
34.,2016-04-22 19:02:01,153.71,98%,"If we all go for the blonde and block each other, not a sing...",Win (1 of 2)
33.,2016-04-22 19:00:53,126.34,92%,Come sail your ships around me and burn your bridges down. W...,No win (3 of 5)
32.,2016-04-22 19:00:07,136.93,96%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",Win (1 of 2)
31.,2016-04-22 18:58:12,142.67,96%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 2)
30.,2016-04-22 18:56:24,142.65,99%,But the two men were not lonely at all. At home they were co...,Win (1 of 3)
29.,2016-04-22 18:54:53,147.77,100%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 3)
28.,2016-04-22 18:45:39,126.31,96%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",Win (1 of 2)
27.,2015-09-17 00:04:23,155.12,99%,There's a piece of Maria in every song that I sing. And the ...,Win (1 of 3)
26.,2015-09-17 00:03:05,135.43,93%,The place to improve the world is first in one's own heart a...,Win (1 of 2)
25.,2015-09-16 23:33:09,144.20,99%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 3)
24.,2015-09-16 23:32:21,141.46,95%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 3)
23.,2015-09-16 23:31:12,143.54,96%,I used to dread getting older because I thought I would not ...,Win (1 of 3)
22.,2015-09-16 23:30:13,135.19,95%,One thing I've learned in the last seven years: in every gam...,No win (2 of 3)
21.,2015-09-16 23:29:14,148.61,100%,"It may seem quite novelistic to you, and I am willing to agr...",Win (1 of 2)
20.,2015-09-16 23:23:56,124.64,97%,These contests provided ample opportunity to demonstrate the...,No win (2 of 3)
19.,2015-09-16 23:23:11,138.65,97%,You've got a way to keep me on your side. You give me cause ...,No win (2 of 3)
18.,2015-09-16 23:21:58,150.31,99%,Music finds a comfortable parallel with that of human langua...,No win (2 of 2)
17.,2015-09-16 23:21:30,146.67,99%,I see in your eyes the same fear that would take the heart o...,No win (2 of 3)
16.,2015-09-16 23:20:02,161.18,100%,"In the casino, the cardinal rule is to keep them playing and...",Win (1 of 4)
15.,2015-09-16 23:07:47,132.56,96%,The shearers' hut had bark walls and a tin roof. The floors ...,No win (2 of 2)
14.,2015-09-16 23:06:19,123.36,96%,Facts can be thought of as objective or subjective. Things a...,No win (2 of 2)
13.,2015-09-16 23:05:10,115.62,93%,"All Ninja are men of peace, and must always remain so or los...",No win (2 of 2)
12.,2015-09-16 23:04:10,146.89,99%,"Burning my bridges and smashing my mirrors, turning to see i...",No win (2 of 2)
11.,2015-09-16 23:03:35,134.49,99%,I've always wondered about this coat business. When I'm in a...,No win (2 of 3)
10.,2015-09-16 22:47:45,153.39,100%,"They say that right after God created man, he took a rib fro...",Win (1 of 2)
9.,2015-09-16 22:46:45,155.36,98%,"I had a job, I had a girl. I had something going, mister, in...",Win (1 of 2)
8.,2015-09-16 22:45:55,125.78,95%,God help the man who ever really loves you. You'd break his ...,No win (2 of 2)
7.,2015-09-16 22:45:23,148.44,97%,"I'm so glad you came, I'm so glad you remembered, to see how...",Win (1 of 2)
6.,2015-09-16 22:44:42,134.36,92%,We live in an age when people do more writing than they have...,No win (2 of 3)
5.,2015-09-16 22:43:47,139.93,95%,"I had a job, I had a girl. I had something going, mister, in...",Win (1 of 3)
4.,2015-09-16 22:39:39,140.13,96%,We live in an age when people do more writing than they have...,No win (2 of 3)
3.,2015-09-16 22:38:55,150.40,97%,We've known each other for many years but this is the first ...,Win (1 of 3)
2.,2015-09-16 21:15:27,141.63,100%,The quick brown fox jumps over the lazy dog.,Win (1 of 4)
1.,2015-09-16 21:14:10,160.61,99%,Being able to quit things that don't work is integral to bei...,Win (1 of 4)
