471.,2017-06-05 05:39:11,114.74,97%,We sit silently and watch the world around us. This has take...,No win (2 of 3)
470.,2017-06-05 05:38:05,111.55,98%,"Dearest creature in creation studying English pronunciation,...",Win (1 of 3)
469.,2017-06-05 05:36:59,121.69,98%,I was assailed by memories of a life that wasn't mine anymor...,No win (2 of 3)
468.,2017-06-05 05:36:19,121.90,99%,You are the most important thing to me now. The most importa...,No win (2 of 3)
467.,2017-06-05 05:35:33,106.34,96%,He soon felt that the fulfillment of his desires gave him on...,No win (3 of 5)
466.,2017-06-05 05:34:51,97.89,96%,He had spent enormous amounts of time at the great libraries...,No win (2 of 3)
465.,2017-06-05 05:33:57,118.13,97%,Nothing in life is easy. But that's no reason to give up. Yo...,Win (1 of 3)
464.,2017-06-05 05:33:35,80.83,96%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",No win (3 of 4)
463.,2017-05-31 07:02:01,114.79,96%,Corn is what feeds the steer that becomes the steak. Corn fe...,No win (2 of 3)
462.,2017-05-31 07:00:39,130.77,97%,"I'm so glad you came, I'm so glad you remembered, the walkin...",Win (1 of 3)
461.,2017-05-31 06:45:30,131.44,94%,It is possible that I already had some presentiment of my fu...,Win (1 of 2)
460.,2017-05-31 06:42:34,141.84,100%,"I'm so glad you came, I'm so glad you remembered, to see how...",Win (1 of 3)
459.,2017-05-01 14:19:55,133.63,97%,"So much of this story is about human will, about what we can...",Win (1 of 4)
458.,2017-05-01 14:19:22,121.66,97%,"Today, you people are no longer maggots. Today, you are Mari...",Win (1 of 3)
457.,2017-05-01 14:18:30,117.21,96%,"The upper class in the United States is a small, exclusive g...",Win (1 of 4)
456.,2017-05-01 14:17:16,128.40,98%,"She's got a smile that, it seems to me, reminds me of childh...",Win (1 of 5)
455.,2017-04-28 15:51:19,115.71,95%,"And I said, I don't care if they lay me off either, because ...",Win (1 of 5)
454.,2017-01-17 01:45:22,118.31,96%,For the first time in a long time I thought about Maman. I f...,Win (1 of 4)
453.,2017-01-17 01:44:27,119.72,93%,"Well, a scavenger hunt is exactly like a treasure hunt, exce...",Win (1 of 3)
452.,2017-01-17 01:43:54,97.62,89%,"I got that sunshine in my pocket, got that good soul in my f...",No win (3 of 3)
451.,2017-01-17 01:43:16,115.08,95%,"In the witch trials, it was nearly impossible to provide com...",No win (2 of 5)
450.,2017-01-13 19:09:35,106.04,87%,"I'm in love with you, and I know that love is just a shout i...",Win (1 of 4)
449.,2017-01-13 19:07:35,122.38,88%,"Certain things, they should stay the way they are. You ought...",No win (2 of 5)
448.,2017-01-11 04:09:40,99.39,93%,Without some flexibility in our definitions we'll remain for...,No win (2 of 4)
447.,2017-01-11 04:08:37,99.51,87%,"But I'm glad you'll see me as I am. Above all, I wouldn't wa...",No win (2 of 3)
446.,2017-01-11 04:07:46,118.08,93%,"Good games stay within, but at the outer edge, of the player...",Win (1 of 3)
445.,2017-01-11 01:12:06,99.48,93%,These contests provided ample opportunity to demonstrate the...,No win (2 of 4)
444.,2017-01-11 01:11:07,112.29,95%,"Never give up, no matter how far behind you are, no matter h...",No win (2 of 3)
443.,2017-01-11 01:10:09,93.90,86%,What? A swallow carrying a coconut? It's not a question of w...,No win (2 of 5)
442.,2017-01-11 01:09:15,104.66,89%,It is not difficult to wield a sword in one hand; the way to...,Win (1 of 2)
441.,2017-01-11 01:08:26,97.16,89%,"I was shaking like a leaf, so without thinking I lit up a ci...",Win (1 of 2)
