118.,2018-02-22 13:11:20,70.31,98%,"Genes don't determine our brains (or our bodies), but they d...",No win (2 of 5)
117.,2018-01-28 11:53:42,68.14,96%,There's a hole in the world like a great black pit. And the ...,No win (3 of 5)
116.,2018-01-28 11:52:43,73.99,98%,You have brains in your head. You have feet in your shoes. Y...,No win (3 of 5)
115.,2018-01-21 18:15:01,75.66,98%,"First, your return to shore was not part of our negotiations...",No win (2 of 5)
114.,2018-01-16 09:31:38,71.93,96%,"She can lead you to love, she can take you or leave you, she...",No win (3 of 5)
113.,2018-01-16 09:30:46,84.46,99%,"Life, liberty, and property do not exist because men have ma...",Win (1 of 4)
112.,2018-01-10 13:48:03,92.34,100%,Come and hold my hand. I want to contact the living. Not sur...,Win (1 of 5)
111.,2018-01-04 13:18:19,74.96,98%,"And now the end is near, and so I face the final curtain. My...",Win (1 of 5)
110.,2017-12-13 16:33:14,72.95,98%,"Remember, if the time should come when you have to make a ch...",No win (3 of 5)
109.,2017-12-02 11:36:18,72.50,98%,"And the Raven, never flitting, still is sitting, still is si...",No win (2 of 4)
108.,2017-07-24 09:17:28,71.71,98%,We were the people who were not in the papers. We lived in t...,Win (1 of 3)
107.,2017-07-24 09:16:06,69.07,98%,Sure is mellow grazin' in the grass. What a trip just watchi...,Win (1 of 5)
106.,2017-07-15 17:14:38,66.94,98%,Punishment and negative reinforcement are opposites. Punishm...,No win (4 of 5)
105.,2017-07-15 17:13:18,69.14,97%,He also swore himself by a binding oath that whatever wife h...,No win (3 of 5)
104.,2017-07-15 13:24:21,67.70,98%,Not only do we come into fairly regular contact with people ...,No win (4 of 5)
103.,2017-07-15 13:23:11,63.17,97%,I had the same room which Finny and I had shared during the ...,No win (5 of 5)
102.,2017-07-14 18:33:12,59.54,98%,"They had been given a sign - a powerful, lucid sign - that u...",No win (4 of 5)
101.,2017-07-14 18:31:35,76.43,98%,We were the people who were not in the papers. We lived in t...,No win (3 of 5)
100.,2017-07-14 18:31:02,61.33,96%,People don't want their lives fixed. Nobody wants their prob...,No win (4 of 5)
99.,2017-07-14 18:29:27,79.07,98%,Pork and beans are actually cooked in the can. One fairly la...,Win (1 of 4)
98.,2017-07-14 18:28:25,60.52,97%,"Sometimes it makes me sad, though... Andy being gone. I have...",No win (3 of 4)
97.,2017-07-12 00:11:08,56.55,99%,Scientists hypothesize that Austronesians from the Philippin...,No win (5 of 5)
96.,2017-07-12 00:09:20,68.29,99%,Caddy got the box and set it on the floor and opened it. It ...,No win (2 of 5)
95.,2017-07-10 00:02:59,78.46,99%,"It's a sunny, woodsy day in Lumberton, so get those chainsaw...",Win (1 of 2)
94.,2017-07-10 00:02:01,81.23,99%,"Now that you're on someone else's shoulders, the winter wind...",No win (2 of 4)
93.,2017-07-08 22:39:09,72.35,98%,"Imagine this: Here we are, a plane full of grown human being...",No win (2 of 4)
92.,2017-07-03 00:07:02,71.52,98%,"My name is Turkish. Funny name for an Englishman, I know. My...",No win (2 of 4)
91.,2017-07-03 00:05:54,72.44,98%,"It may seem quite novelistic to you, and I am willing to agr...",No win (4 of 5)
90.,2017-06-29 23:49:24,69.08,98%,The hallway is luxurious and tasteful. Tapestries and painti...,No win (2 of 5)
89.,2017-06-29 23:48:35,71.24,98%,"People get ready, there's a train coming. You don't need no ...",No win (5 of 5)
88.,2017-06-29 23:46:43,90.57,100%,"Was it all put into words, or did both understand that they ...",Win (1 of 5)
87.,2017-06-29 23:45:47,76.54,98%,"It's a sad, sad situation, and it's getting more and more ab...",No win (3 of 5)
86.,2017-06-25 16:08:43,72.26,98%,"For a time, pink was preferred for boys, because it was ""a d...",No win (3 of 5)
85.,2017-06-25 16:07:30,66.97,97%,"When I was a kid, you never saw radicchio in the produce sec...",No win (3 of 3)
84.,2017-06-25 16:06:08,76.29,98%,"Far from being accidental details, the properties of nature'...",No win (2 of 3)
83.,2017-06-22 22:49:03,79.75,100%,The number of servings per day that is right for you depends...,Win (1 of 5)
82.,2017-06-22 22:47:32,76.26,98%,"They say that right after God created man, he took a rib fro...",Win (1 of 5)
81.,2017-06-22 22:46:42,80.84,98%,"What you need to learn, children, is the difference between ...",Win (1 of 5)
80.,2017-06-18 12:59:20,76.10,98%,There are negotiations being made that are going to answer a...,No win (4 of 5)
79.,2017-06-18 12:53:25,80.17,98%,"And you can fly high as a kite if you want to, faster than l...",No win (4 of 5)
78.,2017-06-07 00:00:32,81.05,98%,What's the use you learning to do right when it's troublesom...,Win (1 of 5)
77.,2017-06-06 15:37:33,79.00,99%,There's sometimes a buggy. How many drivers does a buggy hav...,No win (4 of 5)
76.,2017-06-05 01:00:09,74.86,98%,The truth of the matter is that there are a lot of available...,Win (1 of 4)
75.,2017-06-05 00:58:53,83.96,99%,"I'm in love with you, and I know that love is just a shout i...",No win (3 of 5)
74.,2017-06-04 01:19:39,73.03,98%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",No win (2 of 5)
73.,2017-06-04 01:17:56,69.13,97%,"As customers of all races, nationalities, and cultures visit...",Win (1 of 2)
72.,2017-06-02 01:32:26,75.93,95%,Not only do we come into fairly regular contact with people ...,No win (4 of 5)
71.,2017-06-02 01:31:31,69.86,98%,Scientists hypothesize that Austronesians from the Philippin...,No win (2 of 5)
70.,2017-06-02 01:29:00,81.24,99%,Daddy's flown across the ocean. Leaving just a memory. A sna...,No win (2 of 4)
69.,2017-06-02 01:27:46,80.98,97%,I would say he has quite a few problems. His energy seems to...,No win (2 of 4)
68.,2017-05-24 16:21:05,70.44,97%,Some have a positive vocation for breaking open safes: from ...,No win (2 of 5)
67.,2017-05-24 16:19:17,81.96,99%,Is it really necessary to send that email? The more emails y...,Win (1 of 5)
66.,2017-05-22 22:13:48,69.06,93%,"Brother, I'm not depressed and haven't lost spirit. Life eve...",No win (4 of 5)
65.,2017-05-22 00:54:28,76.41,98%,"Some pilots like the excitement of our missions, knowing tha...",Win (1 of 3)
64.,2017-05-22 00:53:01,71.69,95%,"Duty bound, Aeneas, though he struggled with desire to calm ...",Win (1 of 5)
63.,2017-04-01 13:04:27,76.31,97%,"Ticking away the moments that make up a dull day, you fritte...",No win (3 of 5)
62.,2017-04-01 13:03:35,68.74,93%,But sometimes illumination comes to our rescue at the very m...,No win (3 of 5)
61.,2017-04-01 00:59:06,67.64,98%,"So ran the speech. Burdened and sick at heart, he feigned ho...",No win (3 of 5)
60.,2017-03-31 00:48:44,76.65,99%,"If he needs a million acres to make him feel rich, seems to ...",Win (1 of 5)
59.,2017-03-30 15:39:53,76.31,99%,The Swarms have crushed the meager human resistance and laid...,Win (1 of 4)
58.,2017-03-30 15:13:20,74.81,99%,What good are prayers and shrines to a person mad with love?...,No win (3 of 3)
57.,2017-03-30 15:10:41,71.45,98%,But speculations on the structure of the universe also move ...,Win (1 of 4)
56.,2017-03-30 01:43:10,67.25,97%,They discussed its ramifications. Possession of grain alcoho...,Win (1 of 5)
55.,2017-03-30 01:40:31,72.46,97%,"One man, one family driven from the land; this rusty car cre...",No win (3 of 5)
54.,2017-03-30 01:39:40,78.62,99%,I came here to protect my son. I didn't come here to see you...,Win (1 of 5)
53.,2017-03-30 01:38:52,67.83,97%,"Tyrone: ""I don't want that dog dribbling on my seats."" Vinny...",Win (1 of 4)
52.,2017-03-30 01:37:58,69.52,98%,We began to recognize in them a strange obsession. After all...,Win (1 of 5)
51.,2017-03-30 01:36:47,64.11,97%,"Double, double, toil and trouble; fire burn, and cauldron bu...",No win (2 of 5)
50.,2016-12-21 18:04:20,63.74,98%,"When you are typing on a typewriter, your input appears dire...",No win (3 of 5)
49.,2016-12-21 18:03:13,59.70,94%,"To feel it so like myself, indeed, so brotherly, made me rea...",No win (3 of 4)
48.,2016-10-24 19:52:20,58.06,96%,Some have a positive vocation for breaking open safes: from ...,Win (1 of 5)
47.,2016-10-24 19:50:34,60.93,99%,"Imagine a vast sheet of paper on which straight Lines, Trian...",Win (1 of 3)
46.,2016-10-11 11:33:42,50.60,98%,Involuntarily I glanced seaward - and distinguished nothing ...,No win (3 of 5)
45.,2016-10-08 22:08:42,54.37,95%,If there is one thing the history of evolution has taught us...,No win (4 of 5)
44.,2016-10-08 22:07:36,57.27,97%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",Win (1 of 5)
43.,2016-10-01 11:25:54,46.42,97%,"They had been given a sign - a powerful, lucid sign - that u...",No win (5 of 5)
42.,2016-10-01 11:23:57,51.75,96%,Remembering you running soft through the night. You were big...,No win (4 of 5)
41.,2016-10-01 11:22:56,49.17,94%,These contests provided ample opportunity to demonstrate the...,No win (2 of 3)
40.,2016-09-28 18:14:26,51.12,97%,Stab a sorry heart with your favorite finger. Paint the whol...,No win (3 of 5)
39.,2016-09-28 17:38:30,57.14,99%,I remember when we used to sit in the government yard in Tre...,No win (2 of 3)
38.,2016-09-28 17:37:04,52.26,99%,Hacking will begin killing people soon. Already there are me...,No win (4 of 5)
37.,2016-09-17 20:39:35,48.87,100%,One thing I've learned in the last seven years: in every gam...,No win (2 of 3)
36.,2016-09-17 20:38:33,44.75,98%,"Whether you're a student, secretary, office administrator, m...",No win (5 of 5)
35.,2016-09-17 20:37:16,50.10,96%,"We are going to die, and that makes us the lucky ones. Most ...",No win (4 of 4)
34.,2016-09-17 20:35:26,53.64,100%,"Love is a command, not just a feeling. Somehow, in the roman...",No win (2 of 3)
33.,2016-09-17 20:34:31,50.57,97%,It was hard to toss things I had once thought were valuable ...,Win (1 of 3)
32.,2016-09-17 16:03:25,52.69,98%,"The boy has not a real choice, has he? Self-interest, the fe...",Win (1 of 4)
31.,2016-09-15 01:39:36,42.03,92%,One scientist I met recently told me he reckoned that the av...,No win (4 of 5)
30.,2016-09-14 14:04:54,47.05,98%,Aztec rule was based upon a system of tribute and fear over ...,No win (3 of 5)
29.,2016-09-14 13:56:12,42.84,98%,"King, eh? Very nice. And how'd you get that, eh? By exploiti...",Win (1 of 3)
28.,2016-09-14 13:55:00,50.23,99%,I have my books and my poetry to protect me; I am shielded i...,Win (1 of 4)
27.,2016-09-14 13:52:58,52.20,97%,"We turn away to face the cold, enduring chill, as the day be...",No win (3 of 5)
26.,2016-09-14 13:51:37,53.41,98%,You've got a way to keep me on your side. You give me cause ...,Win (1 of 5)
25.,2016-09-13 15:55:30,42.53,96%,I've flown seven million miles. And I've been waiting on peo...,No win (3 of 4)
24.,2016-09-13 10:25:44,49.84,99%,A freedom fighter learns the hard way that it is the oppress...,No win (2 of 5)
23.,2016-09-13 10:24:18,40.63,99%,When is a legend a legend? Why is a myth a myth? How old and...,No win (3 of 5)
22.,2016-09-13 10:23:20,38.12,91%,"Throughout my academic career, I'd given some pretty good ta...",No win (3 of 4)
21.,2016-09-12 23:14:57,41.75,96%,Let me tell you why you're here. You're here because you kno...,No win (2 of 5)
20.,2016-09-10 11:24:37,39.00,97%,Always do your best - your best is going to change from mome...,No win (3 of 5)
19.,2016-09-10 11:22:56,43.43,97%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",No win (2 of 5)
18.,2016-09-10 11:21:34,36.32,96%,The beginner writes just twenty pieces. The professional wri...,No win (3 of 4)
17.,2016-09-10 11:20:08,41.42,98%,I just want to tell you how I'm feeling. Gotta make you unde...,No win (4 of 4)
16.,2016-09-10 11:18:33,36.57,98%,"To evaluate an option from the other side's point of view, c...",No win (3 of 4)
15.,2016-09-10 11:16:45,38.62,98%,Data is by definition easy to copy. And the Internet makes c...,No win (2 of 2)
14.,2016-09-09 23:11:29,37.85,95%,"Trudging slowly over wet sand, back to the bench where your ...",Win (1 of 2)
13.,2016-09-09 23:09:52,35.75,99%,"It's a funny thing, but people mostly have it backward. They...",No win (4 of 4)
12.,2016-09-09 23:07:50,35.23,92%,Three hidden keys open three secret gates wherein the errant...,No win (4 of 5)
11.,2016-09-09 17:04:41,40.33,99%,"He was rough around the edges. He'd been to school, but neve...",No win (4 of 5)
10.,2016-09-09 17:02:26,43.00,98%,"Races are not won in the first corner; however, they are oft...",No win (3 of 5)
9.,2016-09-09 17:00:57,42.79,94%,"However we choose to feed ourselves, we eat by the grace of ...",No win (4 of 5)
8.,2016-09-05 14:07:00,40.03,96%,I can and do say that nothing human beings have ever before ...,Win (1 of 4)
7.,2016-09-05 14:05:04,38.47,93%,"Hope you're feeling better now, hope you got my letter, how ...",No win (2 of 3)
6.,2016-09-05 14:02:23,42.03,96%,"In fact, the mere act of opening the box will determine the ...",No win (2 of 5)
5.,2016-09-05 14:00:30,36.75,97%,One just can't imagine what prison is like from outside. You...,No win (2 of 3)
4.,2016-09-05 13:00:07,36.10,94%,"I rejected those answers; instead, I chose something differe...",No win (4 of 5)
3.,2016-09-05 12:56:54,39.48,98%,"I'll miss the sea, but a person needs new experiences. They ...",No win (5 of 5)
2.,2016-09-05 12:53:23,52.12,98%,"As happens sometimes, a moment settled and hovered and remai...",No win (2 of 3)
1.,2016-09-05 12:51:16,41.22,98%,We live in an age when people do more writing than they have...,No win (3 of 5)
