149.,2017-02-24 16:34:11,116.75,95%,I had the same room which Finny and I had shared during the ...,No win (2 of 4)
148.,2017-02-24 16:33:19,128.89,93%,"For the sake of all that we ourselves hold dear, is it unthi...",Win (1 of 3)
147.,2017-02-24 16:30:57,117.23,90%,I had the impression of being abandoned by everyone when the...,No win (2 of 3)
146.,2017-01-22 06:41:27,110.87,87%,The treatment of atoms with more than one electron requires ...,No win (2 of 2)
145.,2017-01-22 06:40:35,113.24,89%,"This goodly frame, the earth, seems to me a sterile promonto...",No win (2 of 3)
144.,2017-01-22 06:39:12,160.47,100%,"Do you smell that? Napalm, son. Nothing else in the world sm...",Win (1 of 4)
143.,2017-01-22 06:38:41,129.29,86%,For one who contradicts emptiness there would be nothing tha...,Win (1 of 5)
142.,2017-01-22 06:38:09,153.20,100%,"Because they're at the bottom of the scale, nerds are a safe...",Win (1 of 3)
141.,2017-01-22 06:37:30,132.08,93%,"I sing the body electric, the armies of those I love engirth...",Win (1 of 3)
140.,2017-01-22 06:36:50,125.62,94%,At first they had tried to keep the finding quiet. After all...,Win (1 of 4)
139.,2017-01-22 06:35:58,151.91,99%,We passionately long that there may be another life in which...,Win (1 of 5)
138.,2017-01-22 06:35:18,140.56,93%,Let me tell you why you're here. You're here because you kno...,Win (1 of 5)
137.,2017-01-22 06:34:34,114.18,92%,It is no worse because I write of it. It would be no better ...,Win (1 of 3)
136.,2017-01-15 21:13:50,92.73,93%,Scientists hypothesize that Austronesians from the Philippin...,No win (2 of 3)
135.,2017-01-15 21:12:52,142.18,99%,"Above all, don't lie to yourself. The man who lies to himsel...",Win (1 of 5)
134.,2017-01-15 21:12:16,107.37,88%,The Inca believed that if one did not give thanks and obedie...,Win (1 of 3)
133.,2017-01-15 21:11:32,124.44,88%,"We want a good life with a nose for things, the fresh wind a...",Win (1 of 4)
132.,2016-07-19 20:32:35,134.25,87%,Being able to quit things that don't work is integral to bei...,Win (1 of 3)
131.,2016-07-19 20:31:38,156.51,97%,"Burning my bridges and smashing my mirrors, turning to see i...",Win (1 of 3)
130.,2016-07-19 20:30:47,129.34,93%,Since every piece of matter in the Universe is in some way a...,No win (2 of 2)
129.,2016-03-24 20:03:22,126.58,90%,Paper as we know it today was invented in China in around 10...,Win (1 of 3)
128.,2016-03-24 20:02:33,153.23,96%,"But no matter how effective the lesson was, I never really u...",Win (1 of 3)
127.,2016-03-24 20:01:51,121.78,87%,And that's what this whole thing is about. Calling home. Ins...,Win (1 of 5)
126.,2016-03-24 20:01:01,147.87,93%,One thing I've learned in the last seven years: in every gam...,Win (1 of 5)
125.,2015-08-20 17:26:39,91.99,85%,"Whether you're a student, secretary, office administrator, m...",No win (2 of 4)
124.,2015-08-20 17:24:55,108.94,96%,Even the best-designed chair won't make up for bad posture. ...,Win (1 of 3)
123.,2015-08-20 17:24:16,137.08,92%,"Keying text quickly is important, but it is more important t...",Win (1 of 2)
122.,2015-08-20 17:23:45,109.27,92%,"As the netted bag says, this potato was grown in Idaho, that...",No win (3 of 3)
121.,2015-08-20 17:22:44,145.79,93%,Don't make assumptions - find the courage to ask questions a...,Win (1 of 3)
