113.,2013-10-17 06:27:56,122.23,91%,Remember that humor is written backwards. That means you fir...,No win (2 of 4)
112.,2013-10-17 06:26:32,134.62,100%,Stab a sorry heart with your favorite finger. Paint the whol...,Win (1 of 2)
111.,2013-10-17 06:25:35,126.62,97%,There's a hole in the world like a great black pit. And the ...,Win (1 of 2)
110.,2013-10-11 03:14:46,132.94,98%,To an outsider's ear it sounds absurdly wild and ridiculous ...,Win (1 of 4)
109.,2013-10-11 03:14:18,139.65,99%,"On a manual typewriter, strike the key with a nice sharp str...",Win (1 of 2)
108.,2013-10-11 03:13:34,128.69,95%,I've always wondered about this coat business. When I'm in a...,Win (1 of 4)
107.,2013-10-11 03:12:56,132.99,96%,Yet the web of thought has no such creases and is more like ...,Win (1 of 3)
106.,2013-10-11 03:12:09,105.44,82%,"A computer needs a manager to administer its operations, jus...",Win (1 of 3)
105.,2013-10-11 03:11:28,124.90,95%,"Tis but thy name that is my enemy. Thou art thyself, though ...",Win (1 of 3)
104.,2013-10-11 03:10:37,112.23,90%,It is greatly to America's advantage that it is a congenial ...,Win (1 of 3)
103.,2013-10-10 04:41:33,104.50,99%,"But suddenly, I viddied that thinking was for the gloopy one...",Win (1 of 2)
102.,2013-10-10 04:39:52,136.30,97%,The only preventive thing I do is wash clothes after buying ...,Win (1 of 2)
101.,2013-09-08 00:00:02,154.92,100%,Don't take anything personally - nothing others do is becaus...,Win (1 of 3)
100.,2013-09-07 23:59:27,129.36,95%,"Burning my bridges and smashing my mirrors, turning to see i...",Win (1 of 4)
99.,2013-09-07 23:58:52,127.17,94%,It doesn't mean much to be able to filter out most present-d...,No win (2 of 4)
98.,2013-09-07 23:57:57,124.06,93%,The most precious treasures we have in life are the images w...,Win (1 of 3)
97.,2013-09-07 23:55:44,122.13,92%,Data is by definition easy to copy. And the Internet makes c...,Win (1 of 3)
96.,2013-09-07 23:54:15,130.52,91%,"After removal from the oven, the pizza is sliced and plated ...",Win (1 of 2)
95.,2013-09-07 23:53:32,131.15,95%,"In general, many of these targets are easier marks if you ar...",Win (1 of 3)
94.,2013-09-07 23:52:42,102.33,94%,The inner surface of the cell wall touches the cytoplasmic m...,Win (1 of 2)
93.,2013-09-07 23:51:23,117.45,87%,I've been thinking lots about my life and how quick I'd wash...,No win (2 of 3)
92.,2013-09-07 23:50:44,121.90,90%,We live in a charmed world. If we have money we can buy lite...,Win (1 of 2)
91.,2013-09-07 23:49:49,102.59,80%,"But suddenly, I viddied that thinking was for the gloopy one...",No win (3 of 3)
90.,2013-09-05 23:54:17,164.99,100%,"The time I waited seemed endless, and I felt doubts and fear...",Win (1 of 3)
89.,2013-09-05 23:48:40,120.68,92%,Overhead the albatross hangs motionless upon the air and dee...,Win (1 of 4)
88.,2013-09-05 23:48:04,128.83,93%,"The melted mozzarella layer, which we shall designate MML, i...",Win (1 of 2)
87.,2013-09-05 23:47:24,129.24,95%,A total of twenty-five friends were headed from San Francisc...,Win (1 of 5)
86.,2013-09-05 23:46:29,123.07,92%,"The National Rifle Association says that, ""Guns don't kill p...",Win (1 of 3)
85.,2013-09-05 23:45:43,124.89,88%,"They knew they were privileged to have these choices, but th...",No win (2 of 4)
