297.,2011-05-18 18:37:02,124.37,95%,She's got eyes of the bluest skies as if they thought of rai...,Win (1 of 3)
296.,2011-05-18 18:30:43,131.35,98%,"On a manual typewriter, strike the key with a nice sharp str...",Win (1 of 2)
295.,2011-05-18 18:30:01,123.85,92%,Every time I think of you I feel shot right through with a b...,No win (2 of 2)
294.,2011-05-18 18:27:56,147.07,99%,I can already hear your tune calling me across the room. Whe...,Win (1 of 3)
293.,2011-05-18 18:26:57,132.59,96%,Stab a sorry heart with your favorite finger. Paint the whol...,Win (1 of 3)
292.,2011-05-18 18:25:49,134.42,97%,How many roads must a man walk down before you call him a ma...,No win (2 of 4)
291.,2011-05-18 18:24:44,144.04,99%,"The terminator wouldn't stop, it would never leave him. It w...",Win (1 of 2)
290.,2011-05-18 18:23:39,108.82,89%,"When the light of life has gone, no change for the meter. Th...",Win (1 of 4)
289.,2011-05-18 18:22:59,123.04,94%,"I'm so glad you came, I'm so glad you remembered, to see how...",Win (1 of 3)
288.,2011-05-18 18:22:06,136.56,93%,There is something about yourself that you don't know. Somet...,Win (1 of 2)
287.,2011-05-18 18:21:10,135.59,96%,I can already hear your tune calling me across the room. Whe...,Win (1 of 2)
286.,2011-05-18 18:19:55,133.04,93%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 4)
285.,2011-05-18 18:19:04,129.05,97%,"A computer needs a manager to administer its operations, jus...",Win (1 of 2)
284.,2011-05-18 18:18:00,125.29,99%,If you're working out in front of a mirror and watching your...,No win (2 of 3)
283.,2011-05-18 18:15:55,137.77,99%,"Throughout my academic career, I'd given some pretty good ta...",Win (1 of 3)
282.,2011-05-18 18:14:48,123.81,93%,"We turn away to face the cold, enduring chill, as the day be...",Win (1 of 3)
281.,2010-09-23 01:51:05,115.63,100%,And I will strike down upon thee with great vengeance and fu...,Win (1 of 3)
280.,2010-09-23 01:49:36,123.39,100%,There are very few things I wish I could change about those ...,Win (1 of 4)
279.,2010-07-26 06:04:14,149.48,100%,How many roads must a man walk down before you call him a ma...,Win (1 of 3)
278.,2010-04-24 22:33:34,124.41,100%,Lucid but wholly false recollections can easily be induced b...,Win (1 of 2)
277.,2010-04-24 22:32:35,137.53,100%,"Combat for a naval aviator is fought in short, violent burst...",Win (1 of 3)
276.,2010-04-24 22:31:28,129.18,100%,"They say that right after God created man, he took a rib fro...",Win (1 of 2)
275.,2010-04-24 22:29:51,165.67,100%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 2)
274.,2010-04-24 22:28:56,153.65,100%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 3)
273.,2010-04-24 17:25:08,141.27,100%,If you're working out in front of a mirror and watching your...,Win (1 of 3)
272.,2010-04-24 17:24:16,121.82,100%,"Keying text quickly is important, but it is more important t...",No win (3 of 3)
271.,2010-04-24 17:22:32,117.94,100%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 3)
270.,2010-04-24 17:21:42,141.60,100%,The place to improve the world is first in one's own heart a...,Win (1 of 3)
269.,2010-04-24 17:20:01,136.09,100%,It was hard to toss things I had once thought were valuable ...,Win (1 of 3)
268.,2010-04-24 17:18:59,134.31,100%,Gardeners know how to grow top-notch crops. They determine w...,Win (1 of 2)
267.,2010-04-24 17:18:00,123.54,100%,"When you are typing on a typewriter, your input appears dire...",Win (1 of 3)
266.,2010-04-24 17:17:03,144.47,100%,"There is no pain, you are receding. A distant ship smoke on ...",Win (1 of 3)
265.,2010-04-24 04:55:18,155.36,100%,Being able to quit things that don't work is integral to bei...,Win (1 of 3)
264.,2010-04-24 04:54:25,140.55,100%,To an outsider's ear it sounds absurdly wild and ridiculous ...,Win (1 of 4)
263.,2010-04-24 04:53:56,117.21,100%,"Often, we assume that a familiar situation will be but a rep...",Win (1 of 4)
262.,2010-04-24 04:53:19,135.67,100%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 4)
261.,2010-04-24 04:52:43,146.44,100%,"To evaluate an option from the other side's point of view, c...",Win (1 of 4)
260.,2010-04-24 04:52:01,146.05,100%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 4)
259.,2010-04-24 04:50:56,118.11,100%,"That fear had been inside him for many years, it had lived w...",No win (2 of 4)
258.,2010-04-24 04:50:13,131.08,100%,Paper as we know it today was invented in China in around 10...,Win (1 of 3)
257.,2010-04-24 04:49:22,152.85,100%,"Well, the way they make shows is, they make one show. That s...",Win (1 of 2)
256.,2010-04-24 04:47:38,147.80,100%,It's the possibility of having a dream come true that makes ...,Win (1 of 3)
255.,2010-04-24 04:47:01,129.52,100%,"Whether they use the title or not, many lyrics have evocativ...",Win (1 of 2)
254.,2010-04-24 04:45:58,133.65,100%,"I know that the idea of raising well-rounded, smarter kids c...",Win (1 of 4)
253.,2010-04-23 04:36:27,138.29,100%,"No matter how bad things are, you can always make things wor...",Win (1 of 2)
252.,2010-04-23 03:30:37,142.84,100%,"No matter how bad things are, you can always make things wor...",Win (1 of 2)
251.,2010-04-23 03:29:38,133.63,100%,"I don't want tickets, I need you to find me a painting, a cl...",Win (1 of 2)
250.,2010-04-23 03:28:03,118.44,100%,"Some pilots like the excitement of our missions, knowing tha...",No win (2 of 3)
249.,2010-04-23 03:26:04,141.02,100%,Lucid but wholly false recollections can easily be induced b...,Win (1 of 4)
248.,2010-04-23 03:25:19,127.10,100%,"When we conceive of the sweetest being ever, we are conceivi...",Win (1 of 3)
247.,2010-04-23 03:19:27,137.32,100%,Music finds a comfortable parallel with that of human langua...,Win (1 of 3)
246.,2010-04-23 03:18:30,114.30,100%,Lucid but wholly false recollections can easily be induced b...,No win (2 of 3)
245.,2010-04-23 03:17:26,135.32,100%,"People get ready, there's a train coming. You don't need no ...",Win (1 of 3)
244.,2010-04-23 03:16:35,147.64,100%,"The time I waited seemed endless, and I felt doubts and fear...",Win (1 of 2)
243.,2010-04-23 03:16:01,127.62,100%,"What about Tony? You know, Bullet Tooth Tony. He'll find you...",Win (1 of 3)
242.,2010-04-23 03:15:26,118.04,100%,"Every craft and every investigation, and likewise every acti...",No win (2 of 4)
241.,2010-04-23 03:14:35,106.09,100%,"In short order, Carter then proceeded to kill any chance he ...",No win (2 of 2)
240.,2010-04-23 03:13:40,136.63,100%,"People get ready, there's a train coming. You don't need no ...",Win (1 of 4)
239.,2010-04-23 03:12:44,135.43,100%,The odds are that you will generally meet the worst of them....,Win (1 of 3)
238.,2010-04-23 03:11:56,131.33,100%,"When we conceive of the sweetest being ever, we are conceivi...",Win (1 of 3)
237.,2010-04-23 03:10:43,151.47,100%,There is a theory which states that if anybody ever discover...,Win (1 of 4)
236.,2010-04-23 03:09:40,112.53,100%,"And in the world a heart of darkness, a firezone, where poet...",No win (4 of 4)
235.,2010-04-23 03:07:54,140.63,100%,The most precious treasures we have in life are the images w...,Win (1 of 4)
234.,2010-04-23 03:06:12,107.65,100%,"There was me, that is Alex, and my three droogs, that is Pet...",Win (1 of 2)
233.,2010-04-23 03:04:37,113.72,100%,"Because they're at the bottom of the scale, nerds are a safe...",No win (2 of 3)
232.,2010-04-23 03:03:33,157.30,100%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 3)
231.,2010-04-23 03:03:05,125.54,100%,I don't know why he saved my life. Maybe in those last momen...,Win (1 of 3)
