756.,2015-11-29 07:22:20,62.16,94%,"May your hands always be busy, may your feet always be swift...",Win (1 of 5)
755.,2015-11-29 07:21:18,66.48,97%,It is greatly to America's advantage that it is a congenial ...,Win (1 of 5)
754.,2015-11-29 07:20:13,63.06,97%,He had spent enormous amounts of time at the great libraries...,No win (3 of 4)
753.,2015-11-29 07:18:59,65.64,98%,"Common knowledge has bicyclists always riding into the wind,...",No win (2 of 5)
752.,2015-11-29 07:17:35,62.50,95%,"The idea of ""Mr. Right"" has been passed down over the genera...",No win (3 of 4)
751.,2015-11-29 07:16:09,72.89,97%,But speculations on the structure of the universe also move ...,Win (1 of 3)
750.,2015-11-29 07:15:04,60.51,91%,There's sometimes a buggy. How many drivers does a buggy hav...,Win (1 of 2)
749.,2015-11-29 07:13:54,69.41,95%,If you spend too much time trying to find out what is good o...,No win (2 of 3)
748.,2015-11-29 07:12:58,56.76,94%,"Webster defines intelligence as, ""the ability to apprehend i...",No win (2 of 3)
747.,2015-11-29 07:11:24,70.29,96%,At first they had tried to keep the finding quiet. After all...,Win (1 of 3)
746.,2015-11-29 07:10:01,70.47,98%,Paranoia is a survival trait when you run in my circles. It ...,Win (1 of 4)
745.,2015-11-29 07:09:00,63.76,95%,Many wines have more than 14 percent alcohol because the win...,Win (1 of 5)
744.,2015-11-29 07:07:27,66.43,98%,The pickpockets' profession demands extraordinary nimbleness...,No win (2 of 4)
743.,2015-11-29 07:06:34,63.25,90%,We go waiting for the stars to come showering down. From Mos...,No win (3 of 4)
742.,2015-11-29 07:05:34,62.94,95%,"In the late 1960s, a growing number of people became concern...",No win (2 of 3)
741.,2015-11-24 17:30:16,52.86,92%,"Radiation could be precisely determined, in principle, if we...",No win (3 of 4)
740.,2015-11-24 17:28:29,57.63,97%,"Bullet Tooth Tony: ""A bookie's got blagged last night."" Avi:...",No win (3 of 3)
739.,2015-11-24 17:26:41,64.80,96%,"Ezekiel twenty-five, seventeen: The path of the righteous ma...",Win (1 of 2)
738.,2015-11-24 17:25:26,62.78,95%,We live in an age when people do more writing than they have...,No win (3 of 5)
737.,2015-11-24 17:24:13,70.12,98%,If you spend too much time trying to find out what is good o...,No win (4 of 5)
736.,2015-11-24 17:23:12,66.11,96%,Focus your attention on the Now and tell me what problem you...,No win (5 of 5)
735.,2015-11-24 17:22:09,59.92,94%,We don't read and write poetry because it's cute. We read an...,No win (3 of 3)
734.,2015-11-24 17:20:51,68.62,99%,Who has a safety deposit box full of money and six passports...,No win (4 of 5)
