694.,2015-09-02 12:58:10,89.03,92%,Stab a sorry heart with your favorite finger. Paint the whol...,No win (3 of 4)
693.,2015-09-02 12:56:55,83.56,98%,"At 211 degrees, water is hot. At 212 degrees, it boils. And ...",Win (1 of 2)
692.,2015-09-02 12:55:36,98.80,99%,From compositional considerations the tomato layer would be ...,No win (2 of 4)
691.,2015-09-02 12:53:57,100.42,99%,"The problem is, Willie, is that Charles and yourself are not...",Win (1 of 4)
690.,2015-09-02 12:53:19,83.49,95%,He had spent enormous amounts of time at the great libraries...,No win (2 of 5)
689.,2015-09-02 12:49:11,88.61,96%,"A long time ago, I was in Burma, my friends and I were worki...",No win (3 of 5)
688.,2015-09-02 12:47:40,92.96,97%,Sholes consulted with an educator who helped him analyze the...,No win (3 of 4)
687.,2015-09-02 12:46:25,90.46,94%,"Burning my bridges and smashing my mirrors, turning to see i...",No win (3 of 3)
686.,2015-09-02 12:44:31,84.94,94%,"Around midafternoon, the snow thinned into sleet, and some u...",Win (1 of 5)
685.,2015-09-02 12:43:42,76.09,94%,Parisian French is different from Provincial French and Germ...,No win (4 of 5)
684.,2015-09-02 12:42:44,86.00,92%,Every time I think of you I feel shot right through with a b...,No win (3 of 4)
683.,2015-09-02 12:41:33,97.41,98%,In order to face down the danger that is stalking us and mov...,No win (3 of 3)
682.,2012-07-06 19:28:55,104.30,99%,He canceled all his commitments and pulled together the most...,Win (1 of 3)
681.,2010-10-08 13:41:23,103.75,100%,With the coming of Dean Moriarty began the part of my life y...,No win (2 of 4)
680.,2010-10-08 13:40:15,109.73,100%,Popularity is only partially about individual attractiveness...,No win (2 of 4)
679.,2010-10-08 12:46:03,100.23,100%,"The time I waited seemed endless, and I felt doubts and fear...",No win (2 of 2)
678.,2010-10-08 12:45:20,110.01,100%,"It was a marvelous night, the sort of night one only experie...",No win (2 of 3)
677.,2010-10-08 12:44:36,104.10,100%,"If you really want to hear about it, the first thing you'll ...",No win (2 of 5)
676.,2010-10-08 12:43:45,95.31,100%,"This was the most delicious meal he'd had in recent years, a...",No win (2 of 4)
675.,2010-09-30 16:53:52,123.20,100%,"I went to the woods because I wished to live deliberately, t...",No win (2 of 3)
674.,2010-09-30 16:52:44,116.46,100%,She's got eyes of the bluest skies as if they thought of rai...,Win (1 of 5)
673.,2010-09-30 16:52:06,105.63,100%,"Many people limit themselves to leading boring, dull lives b...",No win (2 of 3)
672.,2010-09-30 16:51:15,95.41,100%,"The Orient was almost a European invention, and had been sin...",No win (2 of 3)
671.,2010-09-30 16:50:30,110.33,100%,The odds are that you will generally meet the worst of them....,Win (1 of 4)
