248.,2017-04-27 18:15:55,133.07,97%,"When the light of life has gone, no change for the meter. Th...",Win (1 of 5)
247.,2017-04-27 18:00:50,128.02,97%,"Life is not suffering; it's just that you will suffer it, ra...",Win (1 of 2)
246.,2017-04-27 17:56:08,123.27,96%,"Let's sort the buyers from the spiers, the needy from the gr...",No win (2 of 5)
245.,2016-10-12 20:18:24,122.80,97%,Once you get into the processed foods you have to be a fairl...,Win (1 of 2)
244.,2016-10-12 20:13:07,122.97,98%,I am learning about twenty new Italian words a day. Where am...,Win (1 of 3)
243.,2016-10-12 20:12:23,122.34,97%,Punishment and negative reinforcement are opposites. Punishm...,No win (2 of 5)
242.,2016-10-12 20:10:40,119.67,97%,We don't need no education. We don't need no thought control...,No win (3 of 5)
241.,2016-10-12 20:06:40,130.06,100%,"Well, it just so happens, this hacienda comes with its very ...",Win (1 of 3)
240.,2016-10-12 20:05:16,126.08,96%,"What really knocks me out is a book that, when you're all do...",No win (2 of 3)
239.,2016-10-07 18:57:44,123.02,99%,A problem in communication is that people don't smile enough...,Win (1 of 3)
238.,2016-10-07 18:51:01,131.83,100%,Because some roads you shouldn't go down. Because maps used ...,Win (1 of 3)
237.,2016-10-07 18:50:36,117.57,98%,I'll be the number two guy here in about six weeks. How? Nam...,Win (1 of 4)
236.,2016-10-06 20:05:06,124.09,99%,"The time I waited seemed endless, and I felt doubts and fear...",No win (2 of 5)
235.,2016-10-06 20:04:34,120.73,97%,"Samatha is a state in which the mind is brought to rest, foc...",No win (3 of 4)
234.,2016-10-06 20:03:30,126.81,97%,There is a theory which states that if anybody ever discover...,No win (3 of 3)
233.,2016-10-06 20:01:23,114.58,96%,"They say, ""Find a purpose in your life and live it."" But, so...",Win (1 of 3)
232.,2016-10-06 20:00:54,116.21,99%,The Swarms have crushed the meager human resistance and laid...,Win (1 of 3)
231.,2016-10-05 17:03:10,122.44,97%,"Keying text quickly is important, but it is more important t...",Win (1 of 5)
230.,2016-10-05 17:02:03,110.66,99%,"Say my name, say my name. If no one is around you, say, ""Bab...",Win (1 of 5)
229.,2016-10-05 16:59:47,117.29,98%,Overhead the albatross hangs motionless upon the air and dee...,Win (1 of 4)
228.,2016-10-05 16:59:13,118.24,96%,If I'm curt with you it's because time is a factor. I think ...,Win (1 of 4)
227.,2016-01-15 17:56:39,126.76,100%,"I'm so glad you came, I'm so glad you remembered, the walkin...",No win (3 of 3)
226.,2016-01-15 17:51:19,126.02,99%,"With no map to navigate one's life, some of us have stood st...",Win (1 of 3)
225.,2016-01-15 17:49:48,107.79,97%,When beetles fight these battles in a bottle with their padd...,Win (1 of 4)
224.,2016-01-15 17:49:07,118.75,100%,"Let me put it this way, Mr. Amor. The 9000 series is the mos...",Win (1 of 3)
223.,2016-01-08 17:21:29,112.80,97%,It is by will alone I set my mind in motion. It is by the ju...,Win (1 of 4)
222.,2016-01-08 17:16:25,130.62,100%,"I went to the woods because I wished to live deliberately, t...",No win (2 of 5)
221.,2016-01-08 17:15:36,112.48,97%,"When you are typing on a typewriter, your input appears dire...",No win (4 of 5)
220.,2016-01-08 17:10:02,122.87,97%,"My mom, especially, challenged us on everything. She'd use w...",No win (2 of 5)
219.,2016-01-08 16:34:04,133.82,100%,"Ever since I was a child, folks have thought they had me peg...",Win (1 of 5)
218.,2016-01-08 16:33:37,107.28,93%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 4)
217.,2016-01-08 16:32:35,116.91,98%,"He started running, up and up, until he hurled himself into ...",Win (1 of 4)
216.,2016-01-08 16:24:48,130.86,100%,We go waiting for the stars to come showering down. From Mos...,Win (1 of 5)
215.,2016-01-08 16:24:15,113.97,97%,Quality humor doesn't just deliver one gag and then tax the ...,No win (2 of 5)
214.,2016-01-08 16:23:33,108.28,98%,"According to the popular story, the keyboard invented by Aug...",No win (2 of 4)
213.,2016-01-08 16:19:49,122.11,98%,Don't bother trying to explain your emotions. Live everythin...,Win (1 of 5)
212.,2016-01-07 22:38:36,132.66,100%,"When I was your age, television was called books. And this i...",Win (1 of 3)
211.,2016-01-07 22:37:33,131.75,99%,"Well, the way they make shows is, they make one show. That s...",Win (1 of 3)
210.,2016-01-07 19:30:40,122.66,99%,I've flown seven million miles. And I've been waiting on peo...,No win (2 of 5)
209.,2016-01-07 19:25:43,123.04,99%,Jay made up for the lack of glamour in his assignment by hav...,No win (2 of 4)
208.,2016-01-07 19:24:54,113.16,96%,The number one challenge I've seen with myself and with othe...,No win (2 of 3)
207.,2016-01-07 19:19:33,130.28,100%,"My darling, you have to be standing up in order to be able t...",Win (1 of 5)
206.,2016-01-07 19:09:43,133.03,100%,"Life is not suffering; it's just that you will suffer it, ra...",Win (1 of 5)
205.,2016-01-07 19:09:12,119.37,99%,"Listen up, maggots. You are not special. You are not a beaut...",Win (1 of 5)
204.,2016-01-07 19:04:26,123.97,97%,The place to improve the world is first in one's own heart a...,Win (1 of 2)
203.,2016-01-07 18:55:06,121.55,99%,"I rejected those answers; instead, I chose something differe...",Win (1 of 5)
202.,2016-01-07 18:54:24,96.22,96%,So I'm two inches away from her. Her luscious lips part. Jus...,Win (1 of 5)
201.,2016-01-07 18:53:07,115.71,96%,"You ask Raymond what he does for a living and he says, ""I br...",No win (2 of 2)
200.,2016-01-07 18:51:58,118.93,98%,"Warmer water increases the moisture content of storms, and w...",Win (1 of 2)
199.,2016-01-07 18:47:31,127.54,99%,The odds are that you will generally meet the worst of them....,Win (1 of 3)
198.,2016-01-07 18:46:57,118.45,94%,"One day you're in a funk about things, telling a friend that...",No win (2 of 4)
197.,2016-01-07 18:37:47,127.26,98%,If you're working out in front of a mirror and watching your...,No win (2 of 3)
196.,2016-01-07 18:30:47,99.07,96%,The basic concept is simple: a satellite in geosynchronous o...,Win (1 of 5)
195.,2016-01-07 18:26:18,121.30,99%,We've arranged a global civilization in which most crucial e...,Win (1 of 5)
194.,2016-01-07 18:22:11,127.31,100%,Commas and periods always go inside quotation marks. Colons ...,Win (1 of 3)
193.,2016-01-07 18:18:29,125.82,100%,"Well, it just so happens, this hacienda comes with its very ...",Win (1 of 3)
192.,2016-01-07 18:12:16,136.07,100%,"It's a funny thing, but people mostly have it backward. They...",Win (1 of 5)
191.,2016-01-07 18:09:10,129.37,99%,You have two choices: you can keep running and hiding and bl...,Win (1 of 4)
190.,2016-01-07 17:58:29,130.45,100%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 5)
189.,2016-01-07 17:57:51,117.90,97%,We go waiting for the stars to come showering down. From Mos...,No win (2 of 2)
188.,2016-01-07 17:57:12,111.74,97%,"Our world, with its rules of causality, has trained us to be...",No win (2 of 2)
187.,2016-01-07 17:52:02,121.65,97%,"Baby, ever wondered why I could make you laugh and cry? Ecli...",Win (1 of 2)
186.,2016-01-07 17:47:30,104.38,97%,"It's a sunny, woodsy day in Lumberton, so get those chainsaw...",No win (1 of 1)
185.,2016-01-07 17:46:46,115.94,98%,What? A swallow carrying a coconut? It's not a question of w...,Win (1 of 3)
184.,2016-01-07 17:45:51,116.13,98%,Being able to quit things that don't work is integral to bei...,No win (2 of 5)
183.,2016-01-07 17:45:19,110.06,98%,Facts can be thought of as objective or subjective. Things a...,Win (1 of 3)
182.,2016-01-07 17:41:14,124.80,98%,"Let me get this straight. You think that your client, one of...",Win (1 of 5)
181.,2016-01-07 17:37:57,113.18,98%,"After the grapes are crushed, yeasts (tiny one-celled organi...",Win (1 of 3)
180.,2016-01-07 17:37:05,111.78,98%,"Double, double, toil and trouble; fire burn, and cauldron bu...",No win (2 of 3)
179.,2016-01-07 17:23:22,125.01,98%,"Right, I am going to tell you how this works. You're going i...",Win (1 of 2)
178.,2016-01-07 17:18:03,126.30,100%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 5)
177.,2016-01-07 17:17:36,106.37,97%,Parisian French is different from Provincial French and Germ...,Win (1 of 4)
176.,2016-01-07 17:16:51,118.96,97%,"Whenever you watch the mind, you withdraw consciousness from...",No win (2 of 3)
175.,2016-01-07 17:05:10,62.37,95%,"It's a blue savanna song: somewhere cross the desert, someti...",No win (2 of 2)
174.,2015-07-22 01:16:34,117.70,98%,"No matter how bad things are, you can always make things wor...",No win (2 of 3)
173.,2015-07-22 01:15:20,131.06,100%,I've been looking so long at these pictures of you that I al...,Win (1 of 3)
172.,2015-07-22 01:14:41,123.87,100%,Paper as we know it today was invented in China in around 10...,Win (1 of 2)
171.,2015-07-22 01:13:00,125.87,98%,"Your face has fallen sad now, for you know the time is nigh....",No win (2 of 3)
170.,2015-07-22 01:10:33,101.97,98%,"That day, for no particular reason, I decided to go for a li...",Win (1 of 3)
169.,2015-07-22 01:09:39,121.46,99%,"The less you do with the controls, the less chance of error....",No win (2 of 2)
168.,2015-07-22 01:08:07,109.51,96%,And I don't believe in the existence of angels but looking a...,No win (2 of 4)
167.,2015-07-22 01:07:12,117.20,98%,"But pure, unadulterated feelings are dangerous in their own ...",Win (1 of 4)
166.,2015-07-22 01:06:01,127.63,99%,The ultimate way to compose is to be able to keyboard as fas...,No win (2 of 4)
165.,2015-07-22 01:05:11,114.56,98%,For it is not enough to have a good mind; the main thing is ...,Win (1 of 3)
164.,2015-07-22 01:04:20,108.61,97%,"It's a blue savanna song: somewhere cross the desert, someti...",Win (1 of 5)
163.,2014-03-15 18:51:59,125.12,100%,"They say that right after God created man, he took a rib fro...",No win (2 of 3)
162.,2014-03-15 18:51:28,109.36,98%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",No win (3 of 3)
161.,2014-03-15 18:49:22,126.45,99%,Now I want you to think and stop being a smart aleck. A man'...,No win (2 of 5)
160.,2013-02-15 21:13:43,125.15,100%,Facts can be thought of as objective or subjective. Things a...,No win (2 of 3)
159.,2013-02-15 21:12:48,124.04,98%,"Look and think as far ahead as possible. Often, a driver's n...",Win (1 of 5)
158.,2013-02-15 21:12:06,127.34,99%,Quality humor doesn't just deliver one gag and then tax the ...,Win (1 of 3)
157.,2013-02-15 21:11:18,117.21,96%,Focus your attention on the Now and tell me what problem you...,Win (1 of 3)
156.,2013-02-15 21:10:31,117.36,98%,This business is filled to the brim with unrealistic people ...,Win (1 of 3)
