443.,2015-07-30 22:24:48,82.50,89%,Yet the web of thought has no such creases and is more like ...,No win (4 of 4)
442.,2015-07-30 22:24:02,110.05,96%,"Gentlemen: You have undertaken to cheat me. I won't sue you,...",Win (1 of 4)
441.,2015-07-30 22:23:38,78.79,91%,"Keying text quickly is important, but it is more important t...",No win (2 of 5)
440.,2015-07-30 22:23:01,93.35,92%,"Padre, these are subtleties! We are not concerned with motiv...",No win (3 of 4)
439.,2015-07-30 22:21:16,112.30,94%,I've been thinking lots about my life and how quick I'd wash...,No win (2 of 2)
438.,2014-02-20 22:35:12,134.84,97%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 4)
437.,2014-02-20 22:34:29,104.50,90%,"Today, computers have taken this ancient art out of the craf...",Win (1 of 3)
436.,2014-02-20 22:30:42,120.47,95%,"A zealot might be, for instance, an individual with a person...",Win (1 of 4)
435.,2014-02-20 22:29:48,131.07,98%,All the blue light reflections that color my mind when I sle...,Win (1 of 5)
434.,2014-02-20 22:29:14,112.41,95%,"So, I'm tending bar there at Ecklund & Swedlin's last Tu...",No win (3 of 3)
433.,2013-11-12 17:46:05,129.71,97%,"Hello, hello, hello, is there anybody in there? Just nod if ...",Win (1 of 3)
432.,2013-05-09 19:52:20,124.68,94%,It's the possibility of having a dream come true that makes ...,No win (2 of 3)
431.,2013-03-09 16:44:20,96.45,92%,"Tis but thy name that is my enemy. Thou art thyself, though ...",No win (3 of 3)
430.,2013-03-09 16:43:17,106.85,93%,I suddenly had the impression that I had been left all alone...,No win (2 of 2)
429.,2013-03-09 16:41:26,128.19,98%,There are two places on Earth that serve as canaries in the ...,No win (2 of 5)
428.,2013-03-09 16:40:19,118.65,96%,"Whenever you watch the mind, you withdraw consciousness from...",No win (2 of 3)
427.,2012-09-29 23:12:32,123.56,94%,"Because they're at the bottom of the scale, nerds are a safe...",Win (1 of 5)
426.,2012-09-29 23:11:30,113.01,93%,"Warmer water increases the moisture content of storms, and w...",Win (1 of 3)
425.,2012-03-14 20:53:29,133.44,95%,Popularity is only partially about individual attractiveness...,Win (1 of 2)
424.,2012-03-14 20:46:52,102.32,88%,I can already hear your tune calling me across the room. Whe...,Win (1 of 2)
423.,2012-03-14 20:45:05,113.46,94%,"Under the headline ""Wonderful Typing,"" the New York Times re...",Win (1 of 2)
422.,2012-03-03 11:55:33,113.66,95%,There are two places on Earth that serve as canaries in the ...,Win (1 of 2)
