918.,2015-05-14 03:50:58,34.39,93%,"Allow me first to apologize for this interruption. I do, lik...",No win (2 of 4)
917.,2015-05-14 03:49:29,38.33,94%,"When the light of life has gone, no change for the meter. Th...",No win (3 of 5)
916.,2015-05-14 03:47:52,34.93,94%,"I had a job, I had a girl. I had something going, mister, in...",No win (4 of 4)
915.,2015-05-14 03:46:03,30.48,96%,"Air-conditioned, odorless, illuminated by buzzing fluorescen...",Win (1 of 5)
914.,2015-05-14 00:43:49,39.46,94%,Step out the front door like a ghost into the fog where no o...,No win (3 of 5)
913.,2015-05-14 00:42:07,34.91,93%,Ideology: the process of making ideas. Certain artisans were...,No win (3 of 4)
912.,2015-05-14 00:37:22,46.18,99%,We don't need no education. We don't need no thought control...,Win (1 of 4)
911.,2015-05-14 00:36:16,33.49,93%,"The world of typing has changed. In the 1970s, every busines...",No win (4 of 5)
910.,2015-05-14 00:34:19,39.82,95%,"While you were sleeping, you tossed, you turned. You rolled ...",No win (3 of 4)
909.,2015-05-14 00:33:12,38.77,96%,Stab a sorry heart with your favorite finger. Paint the whol...,No win (2 of 5)
908.,2015-05-14 00:31:02,48.15,99%,"The problem is, Willie, is that Charles and yourself are not...",Win (1 of 4)
907.,2015-05-14 00:30:04,41.96,99%,"Well, it just so happens, this hacienda comes with its very ...",No win (2 of 5)
906.,2015-05-14 00:28:42,37.54,96%,The only message I got was from the company that holds my st...,No win (2 of 3)
905.,2015-05-14 00:26:58,37.96,94%,"Like painting, most software is intended for a human audienc...",No win (2 of 5)
904.,2015-05-14 00:25:43,43.55,97%,Many rivers to cross but I can't seem to find my way over. W...,No win (2 of 4)
903.,2015-05-14 00:24:39,33.35,94%,"My dog barks some. Mentally you picture my dog, but I have n...",No win (3 of 4)
902.,2015-05-14 00:19:23,39.27,97%,All the blue light reflections that color my mind when I sle...,No win (2 of 2)
901.,2015-05-14 00:17:48,35.27,96%,"This was the most delicious meal he'd had in recent years, a...",No win (2 of 4)
900.,2015-05-14 00:15:58,35.36,95%,"It was an effect of light: quick sunlight dappling, yellow l...",No win (3 of 5)
899.,2015-05-14 00:14:34,38.70,97%,"Because most of the 150,000 tons of gold ever mined is still...",No win (2 of 4)
898.,2015-05-14 00:13:11,37.87,92%,"And you know it's time to go, through the sleet and driving ...",No win (5 of 5)
897.,2015-05-14 00:11:40,41.03,96%,"When we conceive of the sweetest being ever, we are conceivi...",No win (4 of 5)
896.,2015-05-14 00:10:05,41.13,97%,"Do you smell that? Napalm, son. Nothing else in the world sm...",Win (1 of 3)
895.,2015-05-14 00:08:40,38.09,95%,"King, eh? Very nice. And how'd you get that, eh? By exploiti...",Win (1 of 4)
894.,2015-05-14 00:07:19,39.77,97%,"They had been given a sign - a powerful, lucid sign - that u...",No win (3 of 4)
893.,2015-05-14 00:05:01,40.02,97%,We have a criminal jury system which is superior to any in t...,No win (3 of 5)
892.,2015-05-14 00:03:52,37.69,95%,I see in your eyes the same fear that would take the heart o...,No win (2 of 3)
891.,2015-05-13 23:58:07,37.95,97%,"I'm so glad you came, I'm so glad you remembered, to see how...",No win (3 of 5)
890.,2015-05-13 23:56:48,39.75,96%,San Francisco in the middle sixties was a very special time ...,No win (3 of 5)
