365.,2013-08-28 20:57:08,143.37,89%,"It's a sunny, woodsy day in Lumberton, so get those chainsaw...",Win (1 of 3)
364.,2013-08-28 20:56:18,148.37,88%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 3)
363.,2013-08-28 20:55:36,136.94,86%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 2)
362.,2012-12-08 21:51:09,161.79,98%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",Win (1 of 3)
361.,2012-12-08 21:48:11,157.63,91%,"Some pilots like the excitement of our missions, knowing tha...",Win (1 of 4)
360.,2012-12-08 21:47:36,168.54,95%,"Get it straight buster - I'm not here to say please, I'm her...",Win (1 of 2)
359.,2012-12-08 21:46:01,149.05,88%,There is something about yourself that you don't know. Somet...,Win (1 of 2)
358.,2012-12-08 21:44:53,154.15,92%,"Never give up, no matter how far behind you are, no matter h...",Win (1 of 2)
357.,2012-12-08 21:43:37,165.69,94%,"If we all go for the blonde and block each other, not a sing...",Win (1 of 2)
356.,2012-12-08 21:42:14,147.78,94%,"After the grapes are crushed, yeasts (tiny one-celled organi...",Win (1 of 2)
355.,2012-12-08 21:40:46,158.04,92%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 2)
354.,2012-12-08 21:37:46,160.92,93%,I remember when we used to sit in the government yard in Tre...,Win (1 of 2)
353.,2012-12-08 21:35:28,158.86,92%,You have to be a fairly determined ecological detective to f...,Win (1 of 2)
352.,2012-12-07 19:56:08,156.71,91%,For it is not enough to have a good mind; the main thing is ...,Win (1 of 2)
351.,2012-12-07 19:53:55,157.24,89%,Sometimes you concentrate more on racing the cars around you...,Win (1 of 2)
350.,2012-12-07 19:52:17,159.85,97%,Good games offer players a set of challenging problems and t...,Win (1 of 2)
349.,2012-12-07 19:48:56,169.61,95%,We go waiting for the stars to come showering down. From Mos...,Win (1 of 3)
348.,2012-12-07 12:39:01,163.40,95%,Come sail your ships around me and burn your bridges down. W...,Win (1 of 2)
347.,2012-12-07 12:38:14,160.16,94%,"The Orient was almost a European invention, and had been sin...",Win (1 of 3)
346.,2012-12-07 12:37:21,156.01,96%,It takes more than a calorie of fossil fuel energy to produc...,Win (1 of 4)
345.,2012-12-07 12:36:20,139.31,81%,"When she returns to the forum page, her post is there. It is...",No win (2 of 2)
344.,2012-12-07 12:35:39,163.78,95%,At the time when Britain faced a plunge into chaos and darkn...,Win (1 of 3)
343.,2012-12-07 12:34:27,149.61,86%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 3)
342.,2012-12-07 12:33:29,134.76,83%,"Run to the bedroom, in the suitcase on the left, you'll find...",Win (1 of 3)
341.,2012-12-07 12:32:06,169.78,95%,The great edifice of variety and choice that is an American ...,Win (1 of 3)
340.,2012-12-07 12:29:43,130.13,87%,From compositional considerations the tomato layer would be ...,No win (2 of 3)
339.,2012-12-07 12:28:21,159.91,95%,The evidence in the standard history of Qwerty versus Dvorak...,Win (1 of 3)
338.,2012-12-06 22:53:24,149.42,90%,Maybe what I think Tasty Wheat tasted like actually tasted l...,Win (1 of 3)
337.,2012-12-06 22:50:25,161.87,89%,Since every piece of matter in the Universe is in some way a...,Win (1 of 3)
336.,2012-12-06 22:48:05,166.36,93%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 3)
335.,2012-12-06 22:46:48,171.69,95%,So what's in this for you? Should you rush out in search of ...,Win (1 of 4)
334.,2012-12-06 22:40:31,151.80,86%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 3)
333.,2012-12-06 22:39:32,130.93,89%,His soul swooned slowly as he heard the snow falling faintly...,Win (1 of 2)
332.,2012-12-06 18:38:51,151.04,95%,"There is no physical separation after the slicing, so that e...",Win (1 of 2)
331.,2012-12-06 18:37:56,154.59,91%,"To evaluate an option from the other side's point of view, c...",No win (2 of 3)
330.,2012-12-06 18:35:26,169.99,98%,"A computer needs a manager to administer its operations, jus...",Win (1 of 2)
329.,2012-12-06 18:34:35,137.94,83%,"Burning my bridges and smashing my mirrors, turning to see i...",Win (1 of 2)
328.,2012-12-06 18:33:07,148.19,82%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 3)
327.,2012-12-06 18:31:27,161.06,93%,"Contrary to the feminist cant, there are many things we can ...",Win (1 of 4)
326.,2012-12-06 18:29:20,144.28,85%,"O clear intelligence, force beyond all measure! Gentlemen, I...",Win (1 of 2)
325.,2012-12-06 18:26:13,168.19,93%,The streets were cleared by a Critical Mass bike ride and we...,Win (1 of 2)
324.,2012-12-06 15:24:41,138.87,83%,The place to improve the world is first in one's own heart a...,No win (2 of 4)
323.,2012-12-06 15:23:59,153.88,91%,"The time I waited seemed endless, and I felt doubts and fear...",Win (1 of 2)
322.,2012-12-06 15:22:26,119.94,85%,"If I leave here tomorrow, would you still remember me? For I...",No win (2 of 2)
321.,2012-12-06 15:21:38,164.57,98%,"Well, it just so happens, this hacienda comes with its very ...",Win (1 of 5)
320.,2012-12-06 15:20:50,142.32,88%,Danger is a topic you're often asked about as a sprinter. Th...,Win (1 of 4)
319.,2012-12-06 15:18:49,146.40,87%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 3)
318.,2012-12-06 15:18:11,146.87,89%,And I will strike down upon thee with great vengeance and fu...,Win (1 of 2)
317.,2012-12-06 15:17:28,165.61,99%,"The melted mozzarella layer, which we shall designate MML, i...",Win (1 of 2)
316.,2012-12-06 15:16:58,147.75,80%,"For centuries, the battle of morality was fought between tho...",Win (1 of 2)
315.,2012-12-06 15:14:51,160.12,91%,Groups of illegal miners smuggle themselves down in freight ...,Win (1 of 4)
314.,2012-12-06 15:10:40,140.10,85%,We've known each other for many years but this is the first ...,Win (1 of 3)
313.,2012-12-06 15:09:46,143.02,86%,"One respondent said ""For women - a lot of games are crap - t...",Win (1 of 3)
312.,2012-12-06 15:08:35,158.88,84%,"Whether they use the title or not, many lyrics have evocativ...",Win (1 of 3)
311.,2012-12-06 15:06:04,168.54,95%,"They knew they were privileged to have these choices, but th...",Win (1 of 3)
310.,2012-12-06 15:05:08,147.37,92%,The truth of the matter is that there are a lot of available...,Win (1 of 4)
309.,2012-12-06 14:59:15,170.40,94%,In order to face down the danger that is stalking us and mov...,Win (1 of 2)
308.,2012-12-06 14:58:31,140.25,87%,Is it really necessary to send that email? The more emails y...,Win (1 of 3)
307.,2012-12-06 14:57:53,146.39,87%,Is it sweeter to exist only in the mind or to exist both in ...,Win (1 of 3)
306.,2012-12-06 14:57:13,163.74,95%,"Often, we assume that a familiar situation will be but a rep...",Win (1 of 4)
305.,2012-12-06 14:56:25,171.10,99%,Typing competitions provided another test of the Qwerty keyb...,Win (1 of 5)
304.,2012-12-06 14:55:36,127.09,85%,"The result has been the emergence of what some call the ""win...",Win (1 of 2)
303.,2012-12-06 14:53:32,160.60,91%,"Some pilots like the excitement of our missions, knowing tha...",Win (1 of 4)
302.,2012-11-03 22:56:39,143.32,94%,I know that you weren't bored that day because there was a l...,Win (1 of 2)
301.,2012-11-03 22:56:02,155.97,95%,The basis of the Aztecs' success in creating a great state a...,No win (2 of 2)
300.,2012-11-03 22:55:18,149.99,93%,There's a hole in the world like a great black pit. And the ...,Win (1 of 3)
299.,2012-11-03 22:54:53,123.21,88%,"They had been given a sign - a powerful, lucid sign - that u...",No win (1 of 1)
298.,2012-11-03 22:53:48,142.11,96%,"Around midafternoon, the snow thinned into sleet, and some u...",Win (1 of 2)
297.,2012-10-24 23:58:39,156.49,96%,"You found paradise in America. You had a good trade, made a ...",Win (1 of 4)
296.,2012-10-24 23:57:40,152.56,94%,I don't believe in painted roses or bleeding hearts while bu...,No win (2 of 2)
295.,2012-10-24 23:56:57,131.21,89%,"In the late 1960s, a growing number of people became concern...",Win (1 of 3)
