468.,2014-06-01 00:42:35,124.43,97%,"There are men who possess a peculiarly strong visual memory,...",Win (1 of 4)
467.,2014-06-01 00:41:49,132.24,99%,"Life is not suffering; it's just that you will suffer it, ra...",Win (1 of 5)
466.,2014-06-01 00:38:09,138.56,98%,The time has come for man to set himself a goal. The time ha...,Win (1 of 4)
465.,2014-06-01 00:36:50,137.66,97%,I've seen things you people wouldn't believe. Attack ships o...,Win (1 of 3)
464.,2014-06-01 00:34:49,125.57,97%,Stab a sorry heart with your favorite finger. Paint the whol...,No win (2 of 3)
463.,2014-06-01 00:33:04,130.58,97%,One thing I've learned in the last seven years: in every gam...,No win (3 of 3)
462.,2014-06-01 00:30:33,136.01,98%,There is a theory which states that if anybody ever discover...,Win (1 of 3)
461.,2013-07-08 23:58:15,133.69,96%,There's a hole in the world like a great black pit. And the ...,Win (1 of 3)
460.,2013-03-24 02:55:25,140.46,98%,Remembering you running soft through the night. You were big...,Win (1 of 2)
459.,2013-03-24 02:54:42,122.01,95%,We began to recognize in them a strange obsession. After all...,Win (1 of 3)
458.,2013-03-24 02:53:01,127.55,98%,All the blue light reflections that color my mind when I sle...,Win (1 of 3)
457.,2013-03-24 02:51:47,123.44,95%,One essential rule: make sure the joke is the last possible ...,Win (1 of 4)
456.,2012-03-20 02:01:14,143.81,100%,In order to face down the danger that is stalking us and mov...,Win (1 of 5)
455.,2012-02-16 02:55:59,122.59,96%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 3)
454.,2012-02-16 02:55:07,134.64,98%,"Historically, most wines contained less than 14 percent alco...",Win (1 of 2)
453.,2012-02-16 02:51:04,143.86,97%,Now I want you to think and stop being a smart aleck. A man'...,Win (1 of 2)
452.,2012-02-16 02:49:08,124.77,97%,I don't know why he saved my life. Maybe in those last momen...,No win (2 of 5)
451.,2012-02-16 02:48:13,124.66,94%,"I went to the woods because I wished to live deliberately, t...",Win (1 of 3)
450.,2012-02-16 02:46:19,129.42,95%,Too often writers believe that they can emphasize words by p...,Win (1 of 3)
449.,2012-02-16 02:45:17,131.31,97%,"The sooner your kids appreciate the value of work, the more ...",Win (1 of 2)
448.,2012-02-16 02:44:38,124.43,95%,Facts can be thought of as objective or subjective. Things a...,Win (1 of 2)
447.,2011-10-25 08:08:41,136.36,98%,Come sail your ships around me and burn your bridges down. W...,Win (1 of 5)
446.,2011-09-09 06:42:45,114.88,93%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 2)
445.,2011-09-04 06:46:14,127.00,97%,It doesn't mean much to be able to filter out most present-d...,Win (1 of 2)
444.,2011-09-02 09:45:08,138.54,97%,Is it sweeter to exist only in the mind or to exist both in ...,Win (1 of 2)
443.,2011-09-02 09:44:25,123.43,97%,There was a stage and a PA up in western Massachusetts and t...,Win (1 of 2)
442.,2011-09-02 09:41:23,106.84,93%,"The goal of the true seeker is to become a sage, or superior...",No win (2 of 4)
441.,2011-09-02 09:40:32,111.32,93%,"Milt, with the excellent timing of a master comedy writer, w...",Win (1 of 3)
440.,2011-09-02 09:38:13,118.19,96%,I don't believe in painted roses or bleeding hearts while bu...,No win (2 of 5)
439.,2011-09-02 09:35:14,144.50,98%,There is something about yourself that you don't know. Somet...,Win (1 of 3)
438.,2011-09-02 09:33:54,133.03,99%,I think you're gonna find - when all this stuff is over and ...,Win (1 of 2)
437.,2011-09-02 09:31:23,123.00,95%,The unknown future rolls toward us. I face it for the first ...,No win (2 of 4)
436.,2011-09-02 09:29:58,130.02,96%,Most popular song lyrics have two sections - a verse and a b...,No win (2 of 3)
435.,2011-09-02 09:28:06,126.17,97%,Many rivers to cross but I can't seem to find my way over. W...,Win (1 of 4)
434.,2011-09-02 09:26:25,121.78,93%,But the two men were not lonely at all. At home they were co...,Win (1 of 3)
433.,2011-09-02 09:24:53,133.63,98%,Images of broken light which dance before me like a million ...,Win (1 of 3)
432.,2011-07-17 08:36:56,130.62,96%,But the two men were not lonely at all. At home they were co...,Win (1 of 3)
431.,2011-07-17 08:28:14,134.12,99%,"The melted mozzarella layer, which we shall designate MML, i...",Win (1 of 4)
430.,2011-07-17 08:25:31,137.39,97%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 3)
429.,2011-07-16 10:06:38,136.95,98%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 3)
428.,2011-07-16 09:58:25,137.12,96%,"Often, we assume that a familiar situation will be but a rep...",No win (1 of 1)
427.,2011-07-16 09:54:30,133.34,98%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 4)
426.,2011-07-16 09:49:30,140.84,97%,We began to recognize in them a strange obsession. After all...,Win (1 of 3)
425.,2011-07-16 09:47:32,139.46,97%,I've seen things you people wouldn't believe. Attack ships o...,Win (1 of 2)
424.,2011-07-16 09:46:25,155.54,99%,The most precious treasures we have in life are the images w...,Win (1 of 3)
423.,2011-07-16 09:45:32,138.61,94%,"But older than me now, more constant, more real, and the fur...",Win (1 of 3)
422.,2011-07-16 09:44:44,126.72,96%,"When Betty and Billy fell asleep, he walked down to the kitc...",Win (1 of 3)
421.,2011-07-16 09:42:40,140.85,97%,I've been looking so long at these pictures of you that I al...,Win (1 of 3)
420.,2011-07-16 09:40:57,134.52,97%,Consider this: Is the pious being loved by the gods because ...,Win (1 of 3)
