422.,2018-03-10 12:14:32,104.97,97%,"More than anyone I'd ever met, he seemed to participate in l...",No win (2 of 2)
421.,2018-03-10 12:13:00,92.66,98%,The truth of the matter is that there are a lot of available...,No win (2 of 2)
420.,2018-03-10 12:11:45,110.94,100%,"Finally, don't expect your cooking to taste exactly like res...",Win (1 of 2)
419.,2018-02-26 23:21:57,103.49,97%,I'm not the protagonist of a novel or anything... I'm a coll...,Win (1 of 2)
418.,2018-02-26 23:20:16,86.16,97%,But there is virtually no relationship between being an expe...,Win (1 of 2)
417.,2018-02-26 23:18:03,112.70,98%,You know what nobody's mentioned? Is that this is supposed t...,Win (1 of 3)
416.,2018-02-26 23:16:33,94.20,98%,Facts can be thought of as objective or subjective. Things a...,Win (1 of 2)
415.,2018-02-26 23:15:12,105.14,98%,Here's what I think happened: the old man heard the fight be...,Win (1 of 2)
414.,2018-02-26 23:13:18,105.25,98%,Much of my life had been devoted to trying not to cry in fro...,Win (1 of 2)
413.,2018-02-26 23:11:05,79.07,95%,"I remembered the line from the Hindu scripture, the Bhagavad...",Win (1 of 3)
412.,2018-02-26 23:09:23,104.61,99%,"By now, I assume you know your father's been accused of a ve...",Win (1 of 3)
411.,2018-02-26 23:08:08,109.79,98%,"I'll tell you a riddle. You're waiting for a train, a train ...",Win (1 of 3)
410.,2018-02-26 23:06:51,100.21,97%,The day is made up of 24 hours and an infinite number of mom...,Win (1 of 3)
409.,2018-02-26 23:05:51,99.67,97%,"Brother, I've seen all kinds of dishonesty in my day, but th...",Win (1 of 3)
408.,2018-02-26 23:04:30,96.63,98%,I went to a party at the local county jail; all the cons wer...,Win (1 of 3)
407.,2018-02-26 23:02:24,108.99,98%,Perhaps however the most satisfactory definition of a rock i...,Win (1 of 3)
406.,2018-02-26 23:01:12,95.93,98%,"Apart from the excruciating pain, this is great! I've been w...",Win (1 of 2)
405.,2018-02-26 23:00:12,111.08,98%,Maybe he is different but that doesn't mean that he's guilty...,Win (1 of 2)
404.,2018-02-26 22:58:50,102.87,98%,"You are the true master of death, because the true master do...",No win (3 of 3)
403.,2017-09-17 17:00:40,97.05,97%,"Here it is at last, the first 150-minute trailer. ""Armageddo...",Win (1 of 2)
402.,2017-09-17 16:59:09,90.76,98%,"Excellent. He's enterprising, aggressive, outgoing, young, b...",Win (1 of 3)
