305.,2018-01-05 05:03:43,104.93,97%,Out in California they're gonna have some warm weather tomor...,No win (3 of 4)
304.,2018-01-05 05:03:06,130.69,98%,"If you're reading this, you've gotten out. And if you've com...",No win (2 of 4)
303.,2018-01-05 04:59:46,142.70,99%,"I'm a good man, food on the table, working two jobs, ready w...",Win (1 of 3)
302.,2018-01-05 04:58:50,132.29,99%,"Dear Daddy, I write you in spite of years of silence. You cl...",No win (2 of 4)
301.,2017-01-24 20:15:47,161.78,100%,"I'm going to improvise. Listen, there's something you should...",Win (1 of 5)
300.,2017-01-24 20:14:27,168.06,100%,The weird thing about houses is that they almost always look...,No win (2 of 4)
299.,2016-10-26 18:29:52,136.19,95%,"One respondent said ""For women - a lot of games are crap - t...",Win (1 of 2)
298.,2016-06-06 19:39:33,145.44,98%,"I'd been walking for hours and, as usual, I'd lost track of ...",Win (1 of 4)
297.,2016-06-06 19:37:24,156.16,100%,"And you know it's time to go, through the sleet and driving ...",Win (1 of 5)
296.,2015-03-27 18:46:56,111.82,86%,But speculations on the structure of the universe also move ...,Win (1 of 5)
295.,2015-02-23 01:54:18,102.87,84%,"Ticking away the moments that make up a dull day, you fritte...",No win (4 of 4)
294.,2014-11-27 05:30:55,89.92,81%,At the time when Britain faced a plunge into chaos and darkn...,No win (3 of 4)
293.,2014-11-27 05:29:55,112.59,87%,Unlike the other four senses located in the logical regions ...,Win (1 of 5)
292.,2014-11-27 05:29:01,138.40,93%,"Hello, hello, hello, is there anybody in there? Just nod if ...",Win (1 of 3)
291.,2014-11-27 05:27:18,114.93,85%,"Keying text quickly is important, but it is more important t...",Win (1 of 3)
290.,2014-11-27 05:26:27,122.83,92%,"The world of typing has changed. In the 1970s, every busines...",No win (2 of 2)
289.,2014-11-27 05:25:40,126.77,95%,The wine list looks so imposing that you finally give up lab...,Win (1 of 2)
288.,2014-06-15 07:16:25,103.63,91%,"Finally, gentlemen, there are people with an hereditary anim...",Win (1 of 5)
287.,2014-06-15 07:15:11,123.72,95%,The basic concept is simple: a satellite in geosynchronous o...,Win (1 of 4)
286.,2014-06-11 01:48:03,120.19,92%,"A zealot might be, for instance, an individual with a person...",Win (1 of 4)
285.,2014-06-11 01:47:20,115.54,87%,I've been thinking lots about my life and how quick I'd wash...,No win (2 of 3)
284.,2014-06-11 01:46:26,91.50,83%,"Keying text quickly is important, but it is more important t...",No win (3 of 3)
283.,2014-06-11 01:45:02,112.25,92%,So it's all come back round to breaking apart again. Breakin...,No win (1 of 1)
282.,2014-06-11 01:44:06,89.42,80%,"Keying text quickly is important, but it is more important t...",No win (2 of 3)
281.,2014-06-11 01:43:28,72.81,78%,I suddenly had the impression that I had been left all alone...,No win (1 of 1)
280.,2014-06-08 21:37:00,148.28,94%,The place to improve the world is first in one's own heart a...,Win (1 of 2)
279.,2014-01-24 15:56:02,138.63,97%,"A lot of people, especially this one psychoanalyst guy they ...",Win (1 of 3)
278.,2014-01-24 15:54:47,133.22,97%,"I was shaking like a leaf, so without thinking I lit up a ci...",No win (2 of 4)
277.,2014-01-24 15:54:01,124.31,93%,It is by will alone I set my mind in motion. It is by the ju...,No win (2 of 2)
276.,2014-01-24 15:52:45,173.43,100%,Don't take anything personally - nothing others do is becaus...,Win (1 of 2)
275.,2014-01-24 15:48:58,159.39,100%,Remember that humor is written backwards. That means you fir...,Win (1 of 4)
274.,2014-01-24 15:48:06,137.14,97%,Commas and periods always go inside quotation marks. Colons ...,Win (1 of 2)
273.,2014-01-23 20:50:00,132.17,96%,So it's all come back round to breaking apart again. Breakin...,Win (1 of 4)
272.,2014-01-23 20:49:05,130.01,98%,"But suddenly, I viddied that thinking was for the gloopy one...",Win (1 of 2)
271.,2014-01-23 20:48:21,117.75,93%,"Every craft and every investigation, and likewise every acti...",No win (2 of 2)
270.,2014-01-23 20:47:06,143.62,97%,"All Ninja are men of peace, and must always remain so or los...",Win (1 of 2)
269.,2014-01-23 20:44:52,173.01,100%,I've been thinking lots about my life and how quick I'd wash...,Win (1 of 3)
268.,2014-01-23 20:43:15,159.78,99%,"Thirdly, however, these wars could now be waged with the new...",Win (1 of 2)
267.,2014-01-23 20:42:32,107.81,94%,"The idea of ""Mr. Right"" has been passed down over the genera...",No win (2 of 3)
266.,2014-01-23 20:41:34,119.15,94%,The treatment of atoms with more than one electron requires ...,Win (1 of 5)
265.,2014-01-23 20:39:31,114.70,92%,We began to recognize in them a strange obsession. After all...,Win (1 of 2)
264.,2013-12-22 00:22:14,124.04,96%,Mac knew the score even if Aunt Ella didn't. Shot through th...,No win (2 of 2)
263.,2013-12-22 00:20:55,99.56,87%,"It may seem quite novelistic to you, and I am willing to agr...",No win (2 of 4)
262.,2013-12-21 01:21:32,111.46,96%,In 1969 four computers located around the country were in co...,Win (1 of 2)
261.,2013-12-21 01:19:31,110.90,94%,"Finally, gentlemen, there are people with an hereditary anim...",Win (1 of 2)
260.,2013-12-21 01:18:03,102.93,89%,"If you really want to hear about it, the first thing you'll ...",Win (1 of 2)
259.,2013-12-21 01:16:36,124.34,92%,Sometimes you concentrate more on racing the cars around you...,Win (1 of 2)
258.,2013-12-21 01:15:09,101.33,90%,"""This man right here,"" McGuinness said, pointing at Kenna, ""...",Win (1 of 2)
