700.,2014-02-18 13:26:17,106.00,89%,Images of broken light which dance before me like a million ...,No win (3 of 3)
699.,2014-02-18 13:25:38,130.68,98%,The time has come for man to set himself a goal. The time ha...,Win (1 of 4)
698.,2014-02-18 13:24:38,104.66,94%,"A lot of people, especially this one psychoanalyst guy they ...",Win (1 of 3)
697.,2014-01-13 11:05:48,113.74,93%,"A lot of people, especially this one psychoanalyst guy they ...",Win (1 of 3)
696.,2014-01-13 11:04:47,104.20,91%,"If I leave here tomorrow, would you still remember me? For I...",Win (1 of 3)
695.,2014-01-13 11:01:24,101.80,92%,Gardeners know how to grow top-notch crops. They determine w...,Win (1 of 2)
694.,2014-01-13 11:00:37,126.30,96%,"That fear had been inside him for many years, it had lived w...",Win (1 of 3)
693.,2014-01-13 10:59:59,125.63,95%,So what's in this for you? Should you rush out in search of ...,Win (1 of 3)
692.,2014-01-13 10:59:09,124.89,96%,"And in the world a heart of darkness, a firezone, where poet...",Win (1 of 4)
691.,2014-01-02 09:31:57,117.27,94%,It is possible that I already had some presentiment of my fu...,No win (2 of 3)
690.,2014-01-02 09:31:19,118.28,96%,We began to recognize in them a strange obsession. After all...,Win (1 of 2)
689.,2014-01-02 09:30:34,117.55,95%,Who has a safety deposit box full of money and six passports...,Win (1 of 4)
688.,2014-01-02 09:29:47,115.04,93%,"After removal from the oven, the pizza is sliced and plated ...",Win (1 of 2)
687.,2013-12-24 15:25:34,114.01,95%,Being able to quit things that don't work is integral to bei...,No win (3 of 4)
686.,2013-12-24 15:24:58,139.21,96%,"Your face has fallen sad now, for you know the time is nigh....",No win (2 of 3)
685.,2013-12-24 15:20:32,112.87,91%,"Look and think as far ahead as possible. Often, a driver's n...",No win (3 of 4)
684.,2013-12-24 15:19:51,134.46,96%,I will need my spectacles and a clear head. Today I broke my...,Win (1 of 4)
683.,2013-12-24 15:19:27,112.05,91%,"The less you do with the controls, the less chance of error....",No win (3 of 3)
682.,2013-12-24 15:18:46,136.68,98%,"But suddenly, I viddied that thinking was for the gloopy one...",Win (1 of 2)
681.,2013-12-24 15:18:07,126.62,94%,"Let me get this straight. You think that your client, one of...",No win (2 of 3)
680.,2013-12-24 15:17:30,101.19,88%,I thought climbing the Devil's Thumb would fix all that was ...,No win (2 of 2)
679.,2013-12-23 10:22:59,84.41,84%,You could choke a dozen donkeys on that! And you're haggling...,No win (2 of 2)
678.,2013-12-23 10:22:22,115.42,92%,All that year the animals worked like slaves. But they were ...,No win (2 of 3)
677.,2013-12-23 10:21:38,141.97,99%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",Win (1 of 3)
676.,2013-12-23 08:59:22,130.47,94%,Don't take anything personally - nothing others do is becaus...,No win (2 of 3)
675.,2013-12-23 08:58:32,101.45,92%,"The result has been the emergence of what some call the ""win...",Win (1 of 5)
674.,2013-12-23 08:57:32,147.50,99%,I don't know why he saved my life. Maybe in those last momen...,Win (1 of 3)
673.,2013-12-23 08:39:33,108.05,93%,We began to recognize in them a strange obsession. After all...,No win (2 of 4)
