457.,2013-04-30 21:56:47,133.20,95%,And I don't believe in the existence of angels but looking a...,Win (1 of 2)
456.,2013-04-30 21:55:47,116.52,91%,Since every piece of matter in the Universe is in some way a...,No win (2 of 4)
455.,2013-01-30 04:01:07,148.63,98%,We've arranged a global civilization in which most crucial e...,Win (1 of 2)
454.,2013-01-30 01:34:09,135.97,92%,"This planet has, or rather had, a problem, which was this: m...",Win (1 of 4)
453.,2013-01-30 01:32:56,134.80,93%,We've known each other for many years but this is the first ...,No win (1 of 1)
452.,2013-01-30 01:31:52,143.73,96%,There are still some places where you can get all you can ea...,Win (1 of 3)
451.,2013-01-29 02:24:19,121.80,91%,You've got a way to keep me on your side. You give me cause ...,Win (1 of 4)
450.,2013-01-29 01:14:08,119.38,94%,"It may seem quite novelistic to you, and I am willing to agr...",Win (1 of 2)
449.,2013-01-28 21:01:07,122.48,94%,"It may seem quite novelistic to you, and I am willing to agr...",Win (1 of 3)
448.,2013-01-28 20:54:47,152.77,97%,In order to face down the danger that is stalking us and mov...,Win (1 of 3)
447.,2013-01-28 20:53:59,157.89,100%,Good games offer players a set of challenging problems and t...,Win (1 of 3)
446.,2013-01-28 20:52:54,139.14,98%,"Air-conditioned, odorless, illuminated by buzzing fluorescen...",Win (1 of 3)
445.,2013-01-28 20:52:08,133.21,96%,I'm telling it like it is. Get used to it or put this book d...,Win (1 of 2)
444.,2013-01-28 20:51:16,147.59,99%,The inner surface of the cell wall touches the cytoplasmic m...,Win (1 of 3)
443.,2013-01-28 20:50:33,147.30,97%,"When the light of life has gone, no change for the meter. Th...",Win (1 of 2)
442.,2013-01-28 20:50:01,132.85,98%,You could choke a dozen donkeys on that! And you're haggling...,No win (1 of 1)
441.,2013-01-28 20:49:28,135.62,93%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 3)
440.,2013-01-28 20:48:15,136.17,93%,Remembering you running soft through the night. You were big...,Win (1 of 3)
439.,2013-01-28 20:47:02,150.74,95%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 4)
438.,2013-01-28 20:45:24,137.58,95%,"If you don't get what you want, you suffer; if you get what ...",Win (1 of 4)
437.,2013-01-28 20:44:38,147.47,97%,"If we all go for the blonde and block each other, not a sing...",Win (1 of 4)
436.,2013-01-28 20:43:56,153.16,100%,"Whether they use the title or not, many lyrics have evocativ...",Win (1 of 3)
435.,2013-01-28 20:42:48,158.27,98%,"For centuries, the battle of morality was fought between tho...",Win (1 of 3)
434.,2013-01-28 19:49:07,137.60,97%,Some have a positive vocation for breaking open safes: from ...,Win (1 of 3)
433.,2013-01-28 19:45:49,132.84,97%,"Well, it just so happens, this hacienda comes with its very ...",No win (2 of 3)
432.,2013-01-28 19:45:02,146.12,97%,I said that I would see you because I had heard that you wer...,Win (1 of 4)
431.,2013-01-28 19:44:18,147.06,97%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 5)
430.,2013-01-28 19:43:50,115.48,91%,Even the best-designed chair won't make up for bad posture. ...,No win (2 of 4)
429.,2013-01-28 19:43:07,134.22,93%,"In the casino, the cardinal rule is to keep them playing and...",Win (1 of 5)
428.,2013-01-28 19:42:35,113.71,92%,"Do you smell that? Napalm, son. Nothing else in the world sm...",No win (2 of 2)
427.,2013-01-28 19:02:23,152.20,98%,Supermarket aisles are the perfect place to practice your gl...,Win (1 of 2)
426.,2013-01-28 19:01:38,128.13,92%,So it's all come back round to breaking apart again. Breakin...,No win (2 of 5)
425.,2013-01-28 19:00:27,134.19,94%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 2)
424.,2013-01-28 18:59:41,145.54,99%,The great edifice of variety and choice that is an American ...,Win (1 of 4)
423.,2013-01-28 18:59:05,129.98,94%,I must not fear. Fear is the mind killer. Fear is the little...,Win (1 of 3)
422.,2013-01-28 18:42:37,144.70,96%,"The only people for me are the mad ones, the ones who are ma...",Win (1 of 3)
421.,2013-01-28 18:41:53,123.24,92%,There are two places on Earth that serve as canaries in the ...,No win (2 of 3)
420.,2013-01-28 18:40:38,144.61,98%,The basic concept is simple: a satellite in geosynchronous o...,Win (1 of 3)
419.,2013-01-28 18:39:58,149.90,96%,If you're working out in front of a mirror and watching your...,Win (1 of 3)
418.,2013-01-28 18:39:22,134.83,94%,"The creation ends in South Georgia, at the very edge of the ...",Win (1 of 3)
