232.,2015-07-30 17:08:33,79.01,94%,Commas and periods always go inside quotation marks. Colons ...,Win (1 of 4)
231.,2015-07-30 16:56:26,77.42,89%,Any finite number divided by infinity is as near to nothing ...,No win (3 of 3)
230.,2015-07-30 16:55:16,59.17,81%,"I don't want tickets, I need you to find me a painting, a cl...",No win (3 of 3)
229.,2015-07-30 16:50:29,69.65,89%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",No win (4 of 4)
228.,2015-03-12 18:46:30,94.01,94%,Groups of illegal miners smuggle themselves down in freight ...,No win (3 of 4)
227.,2015-03-12 18:45:40,101.08,96%,The streets were cleared by a Critical Mass bike ride and we...,Win (1 of 4)
226.,2015-03-12 18:44:40,96.43,97%,"She was a genius of sadness, immersing herself in it, separa...",Win (1 of 4)
225.,2015-03-12 18:43:05,85.14,91%,"Picking up the pieces, half alive in a nine 'til five, vacan...",No win (4 of 4)
224.,2015-03-12 18:42:15,113.38,98%,I drew the blankets over my head and tried to think of Chris...,Win (1 of 4)
223.,2015-03-12 18:41:20,96.32,95%,"With no map to navigate one's life, some of us have stood st...",Win (1 of 3)
222.,2015-03-12 18:40:26,80.88,91%,"But older than me now, more constant, more real, and the fur...",No win (4 of 4)
221.,2015-03-12 18:39:41,86.75,94%,"Often, we assume that a familiar situation will be but a rep...",No win (2 of 4)
220.,2015-03-12 18:38:52,104.17,96%,"Some pilots like the excitement of our missions, knowing tha...",No win (2 of 4)
219.,2015-03-12 18:38:08,85.45,90%,"Let me get this straight. You think that your client, one of...",No win (2 of 2)
218.,2015-03-12 18:37:17,97.43,94%,Overhead the albatross hangs motionless upon the air and dee...,No win (3 of 3)
217.,2015-03-12 18:36:34,100.55,93%,We all know people who are very bright but who do not always...,No win (3 of 3)
216.,2015-03-12 18:35:34,96.40,95%,"Well, the way they make shows is, they make one show. That s...",No win (2 of 3)
215.,2015-03-12 18:34:32,95.50,93%,The place to improve the world is first in one's own heart a...,No win (4 of 4)
214.,2015-03-12 18:33:26,85.10,94%,Jay made up for the lack of glamour in his assignment by hav...,Win (1 of 3)
213.,2015-03-12 18:32:20,84.21,91%,The basis of the Aztecs' success in creating a great state a...,Win (1 of 3)
212.,2015-03-12 18:31:20,87.09,90%,There's a hole in the world like a great black pit. And the ...,Win (1 of 4)
211.,2015-03-12 18:30:40,98.14,94%,I think you're gonna find - when all this stuff is over and ...,Win (1 of 4)
210.,2015-03-12 18:29:46,94.29,92%,"Every craft and every investigation, and likewise every acti...",No win (2 of 3)
209.,2015-03-12 18:28:24,103.79,96%,"The idea of ""Mr. Right"" has been passed down over the genera...",No win (2 of 5)
208.,2015-03-12 18:27:20,89.60,92%,"This planet has, or rather had, a problem, which was this: m...",No win (2 of 5)
207.,2015-03-12 18:26:15,62.14,84%,"O clear intelligence, force beyond all measure! Gentlemen, I...",No win (4 of 5)
206.,2015-03-12 18:25:24,85.50,93%,"Common knowledge has bicyclists always riding into the wind,...",No win (2 of 5)
205.,2015-03-12 18:24:13,81.21,94%,"When I was a kid, you never saw radicchio in the produce sec...",No win (3 of 5)
204.,2015-03-12 18:18:05,83.52,96%,The pathology of setting a deadline to the earliest articula...,No win (2 of 3)
203.,2015-03-12 18:16:58,81.74,96%,"One respondent said ""For women - a lot of games are crap - t...",No win (3 of 4)
202.,2015-03-12 18:15:18,50.46,89%,"Hi, and welcome to the future. San Dimas, California, 2688. ...",No win (4 of 5)
201.,2014-06-04 16:48:54,101.54,97%,Supermarket aisles are the perfect place to practice your gl...,No win (2 of 5)
200.,2014-06-04 16:48:02,97.67,95%,The beginner writes just twenty pieces. The professional wri...,No win (2 of 4)
199.,2014-06-04 16:47:22,100.35,95%,"In the casino, the cardinal rule is to keep them playing and...",No win (2 of 3)
198.,2014-06-04 16:46:39,112.95,96%,Although his voice was also broken by uncertainty and his ha...,No win (2 of 5)
197.,2014-06-04 16:46:06,102.87,95%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",No win (3 of 4)
196.,2014-06-04 16:45:27,90.41,97%,"Whenever you watch the mind, you withdraw consciousness from...",No win (2 of 4)
195.,2014-06-04 16:44:34,94.06,93%,Music finds a comfortable parallel with that of human langua...,No win (2 of 4)
194.,2014-06-04 16:43:57,103.95,98%,"Look, you should admit to yourself that Microsoft will miss ...",Win (1 of 3)
193.,2014-06-04 16:42:58,80.17,91%,"Let's sort the buyers from the spiers, the needy from the gr...",No win (2 of 3)
192.,2014-06-04 16:41:49,97.77,94%,"Some pilots like the excitement of our missions, knowing tha...",No win (2 of 3)
191.,2014-06-04 16:41:06,94.82,96%,The wine list looks so imposing that you finally give up lab...,Win (1 of 3)
190.,2014-06-04 16:40:02,104.72,96%,There are still some places where you can get all you can ea...,Win (1 of 3)
189.,2014-06-04 16:38:15,90.99,94%,These contests provided ample opportunity to demonstrate the...,Win (1 of 3)
188.,2014-06-04 16:37:18,82.90,92%,"However, let us leave aside the philosophical, social, and e...",Win (1 of 3)
187.,2014-06-04 16:36:04,85.27,91%,Even the best-designed chair won't make up for bad posture. ...,No win (3 of 3)
186.,2014-06-04 16:35:19,90.22,94%,"A computer needs a manager to administer its operations, jus...",No win (2 of 2)
185.,2014-06-04 16:34:42,107.47,99%,"On a manual typewriter, strike the key with a nice sharp str...",Win (1 of 3)
184.,2014-06-04 13:19:39,99.41,98%,Rhymes trap you into saying things you don't want to say. A ...,No win (2 of 2)
183.,2014-06-04 13:18:44,102.42,97%,But the two men were not lonely at all. At home they were co...,Win (1 of 5)
182.,2014-06-04 13:17:57,78.76,92%,Step out the front door like a ghost into the fog where no o...,No win (2 of 5)
181.,2014-06-04 13:16:57,66.22,96%,"Under the headline ""Wonderful Typing,"" the New York Times re...",No win (1 of 1)
180.,2014-06-04 13:15:42,99.82,98%,Remember that humor is written backwards. That means you fir...,No win (3 of 3)
179.,2014-06-04 13:10:40,93.94,98%,"But suddenly, I viddied that thinking was for the gloopy one...",No win (2 of 4)
178.,2014-06-04 13:09:51,92.63,95%,"Contrary to the feminist cant, there are many things we can ...",No win (3 of 5)
177.,2014-06-04 13:09:07,94.41,96%,"But suddenly, I viddied that thinking was for the gloopy one...",Win (1 of 3)
176.,2014-06-03 03:11:24,106.06,98%,The treatment of atoms with more than one electron requires ...,No win (1 of 1)
175.,2014-06-03 03:10:00,88.15,94%,"A little boy went out to play. When he opened his door, he s...",No win (3 of 3)
174.,2014-06-03 03:09:23,88.13,93%,I still see things that are not here. I just choose not to a...,No win (2 of 4)
173.,2014-05-27 21:50:10,107.76,96%,It is by will alone I set my mind in motion. It is by the ju...,Win (1 of 3)
172.,2014-05-27 21:49:22,85.16,90%,"The melted mozzarella layer, which we shall designate MML, i...",No win (3 of 3)
171.,2014-05-27 21:48:39,104.26,98%,It doesn't mean much to be able to filter out most present-d...,No win (2 of 5)
170.,2014-05-27 21:47:58,96.95,94%,One thing I've learned in the last seven years: in every gam...,No win (3 of 4)
