156.,2012-09-10 05:10:21,140.78,96%,Remember that humor is written backwards. That means you fir...,Win (1 of 4)
155.,2012-09-10 05:09:59,134.04,97%,I can already hear your tune calling me across the room. Whe...,Win (1 of 2)
154.,2012-05-06 08:32:55,126.77,97%,"O clear intelligence, force beyond all measure! Gentlemen, I...",Win (1 of 2)
153.,2012-05-06 08:32:19,120.69,95%,Your faith was strong but you needed proof. You saw her bath...,No win (2 of 3)
152.,2012-05-06 08:31:32,118.92,96%,I had the impression of being abandoned by everyone when the...,No win (1 of 1)
151.,2012-05-06 08:30:27,123.24,99%,"Oh bliss! Bliss and heaven! Oh, it was gorgeousness and gorg...",No win (3 of 3)
150.,2012-05-06 08:27:59,117.39,97%,"Samatha is a state in which the mind is brought to rest, foc...",Win (1 of 4)
149.,2012-05-06 08:27:20,129.98,99%,"Keying text quickly is important, but it is more important t...",Win (1 of 2)
148.,2012-05-06 08:26:51,111.66,93%,The only preventive thing I do is wash clothes after buying ...,No win (2 of 3)
147.,2012-05-06 08:25:57,122.78,96%,I never said I would stay to the end - I knew I would leave ...,Win (1 of 5)
146.,2012-05-06 08:25:11,118.66,97%,He canceled all his commitments and pulled together the most...,Win (1 of 3)
145.,2012-05-06 08:24:30,119.62,95%,"A zealot might be, for instance, an individual with a person...",Win (1 of 3)
144.,2012-05-06 08:20:43,127.18,97%,"The terminator wouldn't stop, it would never leave him. It w...",No win (3 of 3)
143.,2012-05-06 08:19:41,134.89,97%,"I hope that whoever you are, you escape this place. I hope t...",Win (1 of 3)
142.,2012-05-06 08:02:43,124.05,97%,A few light taps upon the pane made him turn to the window. ...,Win (1 of 4)
141.,2012-05-06 08:02:06,122.92,94%,If I'm curt with you it's because time is a factor. I think ...,No win (2 of 4)
140.,2012-05-05 13:00:22,122.49,95%,"Historically, most wines contained less than 14 percent alco...",Win (1 of 2)
139.,2012-05-03 07:31:13,124.40,96%,Few smart kids can spare the attention that popularity requi...,Win (1 of 3)
138.,2012-05-03 07:30:10,132.17,98%,The alternative to binge travel - the mini retirement - enta...,Win (1 of 3)
137.,2011-11-30 05:17:35,126.51,98%,"Get it straight buster - I'm not here to say please, I'm her...",No win (1 of 1)
136.,2011-11-30 05:17:05,127.85,95%,"Ticking away the moments that make up a dull day, you fritte...",No win (1 of 1)
135.,2011-11-30 05:14:09,138.51,100%,For it is not enough to have a good mind; the main thing is ...,No win (1 of 1)
134.,2011-11-30 05:13:36,136.95,99%,In order to face down the danger that is stalking us and mov...,No win (1 of 1)
133.,2011-11-30 05:12:52,154.60,100%,"Ticking away the moments that make up a dull day, you fritte...",No win (1 of 1)
132.,2011-11-30 05:12:29,119.50,95%,"Let me get this straight. You think that your client, one of...",No win (1 of 1)
131.,2011-11-30 05:11:59,100.60,91%,Your faith was strong but you needed proof. You saw her bath...,No win (1 of 1)
130.,2011-11-30 05:10:55,133.62,99%,Any finite number divided by infinity is as near to nothing ...,Win (1 of 2)
129.,2011-11-21 10:21:35,112.26,93%,She's got eyes of the bluest skies as if they thought of rai...,Win (1 of 2)
128.,2011-11-21 10:19:18,112.65,96%,The only message I got was from the company that holds my st...,Win (1 of 3)
127.,2011-11-21 10:18:28,130.30,98%,Let me tell you why you're here. You're here because you kno...,Win (1 of 3)
126.,2011-11-21 10:16:59,120.02,98%,There are two places on Earth that serve as canaries in the ...,Win (1 of 3)
125.,2011-11-21 10:16:14,123.72,98%,The Inca believed that if one did not give thanks and obedie...,No win (1 of 1)
124.,2011-11-21 10:14:33,116.09,97%,"Finally, gentlemen, there are people with an hereditary anim...",No win (2 of 3)
123.,2011-11-21 10:12:16,139.41,99%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 5)
122.,2011-11-09 06:37:28,120.38,96%,I had the impression of being abandoned by everyone when the...,Win (1 of 2)
121.,2011-11-09 06:35:42,123.34,99%,"In short order, Carter then proceeded to kill any chance he ...",No win (2 of 3)
120.,2011-11-09 06:34:19,118.15,96%,The basis of the Aztecs' success in creating a great state a...,No win (1 of 1)
119.,2011-11-08 21:58:28,123.73,95%,"Today, you people are no longer maggots. Today, you are Mari...",Win (1 of 4)
118.,2011-11-08 21:57:09,147.65,100%,"The melted mozzarella layer, which we shall designate MML, i...",Win (1 of 3)
117.,2011-11-04 18:50:20,100.71,88%,"When I was your age, television was called books. And this i...",No win (3 of 3)
116.,2011-11-04 18:48:32,128.94,97%,"One day you're in a funk about things, telling a friend that...",Win (1 of 5)
115.,2011-11-04 18:47:51,113.66,94%,"This planet has, or rather had, a problem, which was this: m...",Win (1 of 2)
114.,2011-11-04 18:45:59,125.70,99%,"As the netted bag says, this potato was grown in Idaho, that...",Win (1 of 2)
113.,2011-11-03 04:15:42,121.91,96%,The example of painting can teach us not only how to manage ...,No win (2 of 3)
112.,2011-11-01 11:58:40,106.27,94%,Facts can be thought of as objective or subjective. Things a...,Win (1 of 3)
111.,2011-11-01 11:56:32,121.99,97%,I remember when we used to sit in the government yard in Tre...,Win (1 of 3)
110.,2011-11-01 11:53:42,132.40,98%,Let's face it: there are tons of things in your home and lif...,Win (1 of 3)
109.,2011-11-01 05:25:25,99.34,92%,"Milt, with the excellent timing of a master comedy writer, w...",No win (1 of 1)
108.,2011-11-01 05:24:25,114.32,94%,"There is no physical separation after the slicing, so that e...",Win (1 of 3)
107.,2011-11-01 05:23:46,106.12,93%,The development of a living body of literature became indica...,Win (1 of 2)
106.,2011-11-01 05:22:39,123.65,97%,Ideology: the process of making ideas. The work was generall...,Win (1 of 2)
105.,2011-11-01 05:21:34,128.49,97%,It is possible that I already had some presentiment of my fu...,Win (1 of 2)
104.,2011-10-14 21:41:21,111.60,95%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 4)
103.,2011-10-14 21:40:44,117.99,94%,"If we all go for the blonde and block each other, not a sing...",No win (2 of 3)
102.,2011-10-14 21:39:25,109.54,96%,"A lot of people, especially this one psychoanalyst guy they ...",No win (3 of 3)
101.,2011-10-14 21:38:20,111.26,96%,"Whether you're a student, secretary, office administrator, m...",Win (1 of 2)
100.,2011-10-14 21:37:33,129.69,98%,Once you get into the processed foods you have to be a fairl...,Win (1 of 2)
99.,2011-10-14 21:36:54,101.26,92%,Quality humor doesn't just deliver one gag and then tax the ...,No win (2 of 3)
98.,2011-10-14 21:36:07,123.66,97%,I said that I would see you because I had heard that you wer...,Win (1 of 2)
97.,2011-10-14 21:35:09,118.66,98%,I had the impression of being abandoned by everyone when the...,Win (1 of 2)
96.,2011-10-14 21:34:05,116.12,95%,"Often, we assume that a familiar situation will be but a rep...",Win (1 of 3)
95.,2011-10-14 21:33:23,124.87,96%,"In the casino, the cardinal rule is to keep them playing and...",Win (1 of 3)
94.,2011-10-14 21:32:35,99.82,94%,"The idea of ""Mr. Right"" has been passed down over the genera...",No win (2 of 2)
93.,2011-10-14 21:31:34,111.74,96%,"When I was a kid, you never saw radicchio in the produce sec...",No win (2 of 2)
92.,2011-10-14 21:30:44,124.48,96%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 3)
91.,2011-10-07 20:34:55,76.06,86%,"Wilkinson County was a recipient of one of the new ""separate...",No win (2 of 2)
90.,2011-10-03 09:09:15,88.30,81%,Good games offer players a set of challenging problems and t...,No win (2 of 2)
89.,2011-10-03 07:33:10,140.57,100%,"The sooner your kids appreciate the value of work, the more ...",Win (1 of 3)
88.,2011-10-03 07:32:21,108.61,94%,"Keying text quickly is important, but it is more important t...",Win (1 of 3)
87.,2011-10-03 07:31:42,121.07,95%,We sit silently and watch the world around us. This has take...,Win (1 of 4)
86.,2011-10-03 07:30:43,127.08,97%,Few smart kids can spare the attention that popularity requi...,Win (1 of 2)
85.,2011-10-03 07:29:54,109.64,94%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 3)
84.,2011-10-03 07:28:03,123.68,99%,"You just couldn't let me go, could you? This is what happens...",Win (1 of 2)
83.,2011-10-03 07:27:16,116.82,96%,"According to the popular story, the keyboard invented by Aug...",Win (1 of 4)
82.,2011-10-02 12:03:56,118.19,93%,"Whether they use the title or not, many lyrics have evocativ...",Win (1 of 2)
81.,2011-10-02 11:26:02,112.82,94%,Remembering you running soft through the night. You were big...,No win (2 of 4)
80.,2011-10-02 11:25:24,134.53,100%,She's got eyes of the bluest skies as if they thought of rai...,Win (1 of 2)
79.,2011-10-02 11:24:48,115.51,97%,"Hello, hello, hello, is there anybody in there? Just nod if ...",Win (1 of 4)
78.,2011-10-02 11:24:06,114.06,92%,Once you get into the processed foods you have to be a fairl...,Win (1 of 2)
77.,2011-10-02 11:22:41,110.08,95%,"He was rough around the edges. He'd been to school, but neve...",No win (1 of 1)
76.,2011-10-02 11:21:37,106.57,91%,There are very few things I wish I could change about those ...,Win (1 of 2)
75.,2011-10-02 11:20:48,109.57,94%,I thought climbing the Devil's Thumb would fix all that was ...,Win (1 of 3)
74.,2011-10-02 11:20:10,119.17,94%,"Never give up, no matter how far behind you are, no matter h...",Win (1 of 3)
73.,2011-10-02 11:19:16,124.42,98%,"When Betty and Billy fell asleep, he walked down to the kitc...",Win (1 of 2)
72.,2011-10-02 11:18:28,113.74,94%,"The goal of the true seeker is to become a sage, or superior...",Win (1 of 2)
71.,2011-10-02 11:17:36,107.48,96%,"The melted mozzarella layer, which we shall designate MML, i...",Win (1 of 3)
70.,2011-10-02 11:17:01,116.89,97%,The problem we now face is that this thin layer of atmospher...,Win (1 of 4)
69.,2011-10-02 11:16:05,110.02,96%,In 1873 the Sholes & Glidden Type Writer became the firs...,Win (1 of 3)
68.,2011-09-12 10:28:46,122.87,95%,"A computer needs a manager to administer its operations, jus...",Win (1 of 3)
67.,2011-09-12 10:26:44,127.53,98%,Supermarket aisles are the perfect place to practice your gl...,Win (1 of 5)
