151.,2015-07-04 08:26:30,134.36,90%,"Life is not suffering; it's just that you will suffer it, ra...",Win (1 of 2)
150.,2015-07-04 08:25:58,124.65,86%,I used to dread getting older because I thought I would not ...,Win (1 of 4)
149.,2015-07-04 08:25:29,144.78,93%,"If we all go for the blonde and block each other, not a sing...",Win (1 of 2)
148.,2015-07-04 08:24:44,170.49,100%,The quick brown fox jumps over the lazy dog.,Win (1 of 2)
147.,2015-07-04 08:24:27,147.97,95%,"My friend, I shall be pedagogic, and say you ought to start ...",Win (1 of 2)
146.,2015-07-04 08:23:45,155.19,94%,Your faith was strong but you needed proof. You saw her bath...,Win (1 of 2)
145.,2015-07-04 08:23:14,142.21,96%,"I'm so glad you came, I'm so glad you remembered, the walkin...",Win (1 of 2)
144.,2015-07-04 08:22:50,154.17,94%,We live in an age when people do more writing than they have...,No win (1 of 1)
143.,2015-07-04 08:22:10,158.51,96%,"And I said, I don't care if they lay me off either, because ...",Win (1 of 2)
142.,2015-07-04 08:21:26,160.55,95%,There comes a point when you just love someone. Not because ...,Win (1 of 3)
141.,2015-07-04 08:20:39,143.43,92%,"When we pulled out into the winter night and the real snow, ...",No win (1 of 1)
140.,2015-07-04 08:19:49,146.51,90%,"But it is important to know this, to know your roots. To kno...",Win (1 of 2)
139.,2015-07-04 08:19:11,162.20,99%,Don't bother trying to explain your emotions. Live everythin...,Win (1 of 2)
138.,2015-07-04 08:18:45,130.45,90%,Who has a safety deposit box full of money and six passports...,Win (1 of 3)
137.,2015-07-04 08:18:09,166.18,98%,The great edifice of variety and choice that is an American ...,Win (1 of 4)
136.,2015-07-04 08:17:25,156.05,93%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 4)
135.,2015-07-04 08:16:41,160.83,96%,"My mom, especially, challenged us on everything. She'd use w...",Win (1 of 2)
134.,2015-07-04 08:15:56,147.49,96%,The feeling of having no power over people and events is gen...,Win (1 of 2)
133.,2015-07-04 08:15:11,141.51,93%,I don't know why he saved my life. Maybe in those last momen...,Win (1 of 2)
132.,2015-07-04 08:14:30,145.45,91%,The most precious treasures we have in life are the images w...,Win (1 of 2)
131.,2015-07-04 08:13:49,150.90,94%,"You found paradise in America. You had a good trade, made a ...",Win (1 of 4)
130.,2015-07-04 08:12:57,141.22,93%,"Today, computers have taken this ancient art out of the craf...",No win (1 of 1)
129.,2015-07-04 08:12:14,158.77,97%,"My friend, I shall be pedagogic, and say you ought to start ...",No win (1 of 1)
128.,2015-06-22 13:17:01,141.70,94%,All the blue light reflections that color my mind when I sle...,Win (1 of 3)
127.,2015-06-22 03:47:35,138.67,98%,Instead of hiring workers during the peak hog kill in the wi...,No win (1 of 1)
126.,2015-06-16 16:12:02,150.72,96%,"Ergonomics is a term that combines the Greek word ergon, mea...",Win (1 of 2)
125.,2015-06-16 16:11:31,132.76,90%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",Win (1 of 2)
124.,2015-06-16 16:10:51,160.71,96%,A freedom fighter learns the hard way that it is the oppress...,Win (1 of 3)
123.,2015-06-16 16:10:19,150.46,90%,I've been looking so long at these pictures of you that I al...,Win (1 of 3)
122.,2015-06-16 16:09:49,141.49,92%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 3)
121.,2015-06-16 16:09:17,152.14,97%,At first they had tried to keep the finding quiet. After all...,Win (1 of 2)
120.,2015-06-16 16:08:35,161.50,100%,"Samatha is a state in which the mind is brought to rest, foc...",Win (1 of 2)
119.,2015-06-16 16:07:59,155.74,94%,"For centuries, the battle of morality was fought between tho...",Win (1 of 2)
118.,2015-06-16 16:07:17,163.76,98%,"But, pray how could that which I spoke so many years ago, an...",Win (1 of 2)
117.,2015-06-16 16:06:40,141.38,97%,"It was an effect of light: quick sunlight dappling, yellow l...",Win (1 of 2)
116.,2015-06-16 16:05:29,145.65,90%,The theory of music emphasizes the elements from which music...,Win (1 of 4)
115.,2015-06-16 16:04:48,128.16,90%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",No win (3 of 4)
114.,2015-04-13 03:50:52,180.66,99%,"It's a funny thing, but people mostly have it backward. They...",Win (1 of 4)
113.,2015-04-13 03:50:25,161.34,99%,"I'm so glad you came, I'm so glad you remembered, to see how...",Win (1 of 4)
112.,2015-04-13 03:48:18,154.19,94%,"Despair comes slowly, crawling its way up inside you until i...",Win (1 of 3)
111.,2015-01-05 18:15:30,133.01,93%,I will need my spectacles and a clear head. Today I broke my...,Win (1 of 2)
110.,2015-01-05 18:14:58,143.83,92%,Quality humor doesn't just deliver one gag and then tax the ...,Win (1 of 4)
109.,2015-01-05 18:14:22,152.03,99%,"What good's a reward if you ain't around to use it? Besides,...",Win (1 of 4)
108.,2015-01-05 18:13:45,126.07,94%,"According to the popular story, the keyboard invented by Aug...",Win (1 of 3)
107.,2015-01-05 18:12:49,139.21,95%,"Historian James C. Cobb has described southern identity as ""...",Win (1 of 2)
106.,2015-01-05 18:12:12,155.88,95%,"The terminator wouldn't stop, it would never leave him. It w...",Win (1 of 4)
105.,2015-01-05 18:11:29,136.07,92%,"A computer needs a manager to administer its operations, jus...",Win (1 of 4)
104.,2015-01-05 18:10:57,119.78,95%,"So, I'm tending bar there at Ecklund & Swedlin's last Tu...",No win (2 of 3)
103.,2015-01-05 18:09:57,132.69,91%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 3)
102.,2015-01-05 18:09:09,152.31,98%,"He was rough around the edges. He'd been to school, but neve...",Win (1 of 2)
101.,2015-01-05 18:08:12,137.61,94%,"Life is not suffering; it's just that you will suffer it, ra...",Win (1 of 3)
100.,2015-01-05 18:07:38,152.37,98%,Many rivers to cross but I can't seem to find my way over. W...,Win (1 of 2)
99.,2015-01-05 18:07:02,141.42,96%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 3)
98.,2015-01-05 18:06:24,93.35,80%,"That's Tommy. He tells people he was named after a gun, but ...",No win (3 of 3)
97.,2015-01-05 18:05:49,137.75,95%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 2)
96.,2015-01-05 18:05:14,130.33,89%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 2)
95.,2015-01-05 18:04:38,141.24,90%,Being able to quit things that don't work is integral to bei...,Win (1 of 4)
94.,2015-01-05 18:04:04,133.57,89%,Images of broken light which dance before me like a million ...,Win (1 of 3)
93.,2015-01-05 18:03:26,139.50,93%,"She's got a smile that, it seems to me, reminds me of childh...",Win (1 of 3)
92.,2015-01-05 18:02:47,132.87,97%,It is greatly to America's advantage that it is a congenial ...,Win (1 of 3)
91.,2015-01-05 18:02:07,116.75,86%,Unlike the other four senses located in the logical regions ...,Win (1 of 3)
90.,2015-01-05 18:01:28,139.42,91%,The alternative to binge travel - the mini retirement - enta...,Win (1 of 5)
89.,2015-01-05 18:00:57,161.53,97%,"When she returns to the forum page, her post is there. It is...",Win (1 of 3)
88.,2015-01-05 18:00:14,143.74,90%,"People get ready, there's a train coming. You don't need no ...",Win (1 of 3)
87.,2015-01-05 17:59:33,133.25,89%,It was hard to toss things I had once thought were valuable ...,Win (1 of 3)
86.,2015-01-05 17:58:43,134.24,93%,I had a friend who was a heavy drinker. If somebody asked hi...,No win (1 of 1)
85.,2015-01-05 17:58:06,153.72,98%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 2)
84.,2015-01-05 17:57:16,152.63,96%,Since every piece of matter in the Universe is in some way a...,Win (1 of 2)
83.,2015-01-05 17:56:33,136.53,94%,Who has a safety deposit box full of money and six passports...,Win (1 of 3)
82.,2015-01-05 17:55:56,129.87,90%,I've been looking so long at these pictures of you that I al...,Win (1 of 5)
81.,2015-01-05 17:55:28,136.48,93%,The development of a living body of literature became indica...,Win (1 of 2)
80.,2014-11-09 16:21:01,145.23,94%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 3)
79.,2014-11-09 16:20:27,125.84,85%,I never said I would stay to the end - I knew I would leave ...,No win (2 of 3)
78.,2014-11-09 16:18:36,122.67,91%,"Disillusion is the greatest gift I can give you. But, becaus...",Win (1 of 2)
77.,2014-11-09 16:15:54,128.30,87%,Mac knew the score even if Aunt Ella didn't. Shot through th...,No win (2 of 3)
76.,2014-08-21 17:40:47,138.92,93%,"When I was your age, television was called books. And this i...",No win (3 of 3)
75.,2014-08-21 17:40:15,144.27,97%,"Prior to the 1970's, because the United States had long been...",No win (2 of 3)
74.,2014-08-21 17:39:22,154.89,98%,Too often writers believe that they can emphasize words by p...,Win (1 of 4)
73.,2014-08-21 17:37:44,135.15,88%,The only preventive thing I do is wash clothes after buying ...,Win (1 of 3)
72.,2014-08-21 17:37:03,145.38,95%,The basis of the Aztecs' success in creating a great state a...,No win (1 of 1)
71.,2014-08-21 17:36:00,130.54,93%,Typing competitions provided another test of the Qwerty keyb...,No win (2 of 3)
70.,2014-08-21 17:34:33,143.55,92%,There is a theory which states that if anybody ever discover...,No win (2 of 2)
69.,2014-08-21 17:33:53,154.76,99%,"Pulp: 1. A soft, moist, shapeless mass or matter. 2. A magaz...",Win (1 of 3)
68.,2014-05-19 03:34:23,137.70,90%,The only preventive thing I do is wash clothes after buying ...,Win (1 of 3)
67.,2014-05-19 03:33:36,143.53,93%,"There is no physical separation after the slicing, so that e...",No win (1 of 1)
66.,2014-05-19 03:32:57,132.55,95%,"Run to the bedroom, in the suitcase on the left, you'll find...",No win (1 of 1)
65.,2014-05-19 03:31:58,166.26,95%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 4)
64.,2014-05-19 03:31:18,101.77,82%,"Ergonomics is a term that combines the Greek word ergon, mea...",No win (1 of 1)
63.,2014-05-19 03:30:37,137.42,93%,We began to recognize in them a strange obsession. After all...,Win (1 of 4)
62.,2014-05-19 03:29:58,132.46,96%,I know that you weren't bored that day because there was a l...,Win (1 of 3)
61.,2014-05-19 03:28:57,166.06,97%,Once you get into the processed foods you have to be a fairl...,Win (1 of 5)
60.,2014-05-19 03:28:12,157.31,97%,I must not fear. Fear is the mind killer. Fear is the little...,Win (1 of 3)
59.,2014-05-19 03:27:29,117.50,93%,"Listen, strange women lyin' in ponds distributin' swords is ...",Win (1 of 4)
58.,2014-05-19 03:26:51,153.53,99%,I will need my spectacles and a clear head. Today I broke my...,Win (1 of 4)
57.,2014-05-19 03:26:24,134.72,96%,To an outsider's ear it sounds absurdly wild and ridiculous ...,Win (1 of 5)
56.,2014-05-19 03:25:48,155.87,97%,"I had a dream. There was our world, and the world was dark b...",Win (1 of 5)
55.,2014-05-19 03:25:09,130.05,96%,"Often, we assume that a familiar situation will be but a rep...",Win (1 of 2)
54.,2014-05-19 03:24:30,138.67,91%,"I had a job, I had a girl. I had something going, mister, in...",Win (1 of 3)
53.,2014-05-19 03:23:43,121.39,93%,"Anyway, like I was saying, shrimp is the fruit of the sea. Y...",No win (1 of 1)
52.,2014-05-12 15:32:07,151.71,99%,In 1873 the Sholes & Glidden Type Writer became the firs...,Win (1 of 4)
51.,2014-05-12 15:31:24,155.19,97%,"Whenever you watch the mind, you withdraw consciousness from...",Win (1 of 2)
50.,2014-05-12 15:30:47,116.37,89%,Many rivers to cross but I can't seem to find my way over. W...,No win (2 of 3)
