494.,2018-01-25 22:04:58,131.36,98%,Though understanding the meaning of actions is not directed ...,Win (1 of 5)
493.,2018-01-25 22:03:38,98.45,97%,"We feel that to reveal embarrassing or private things, we ha...",No win (4 of 5)
492.,2018-01-25 22:02:47,117.75,99%,Now wait a minute. Wait a minute. There's only one thing you...,No win (5 of 5)
491.,2018-01-25 22:02:09,98.97,97%,"As a victim, the Savage possessed, for Bernard, this enormou...",No win (2 of 3)
490.,2018-01-25 22:01:14,145.19,100%,As the United States assumed greater status as a power in wo...,Win (1 of 3)
489.,2018-01-25 21:41:32,151.84,99%,"Our minds are born festering with sin. Some are so blighted,...",Win (1 of 4)
488.,2018-01-25 21:32:30,142.08,98%,"Living in the limelight, the universal dream for those who w...",Win (1 of 5)
487.,2018-01-25 21:26:08,101.16,96%,"You're right, I did lose a million dollars last year. I expe...",No win (2 of 3)
486.,2018-01-25 21:25:17,116.64,97%,"Oh, supercalifragilisticexpialidocious! Even though the soun...",Win (1 of 3)
485.,2018-01-25 21:23:53,159.45,100%,Sometimes you never feel meaner than the moment you stop bei...,Win (1 of 3)
484.,2018-01-25 21:22:30,120.07,98%,"My son, from whence this madness, this neglect of my command...",Win (1 of 3)
483.,2018-01-25 21:21:29,115.73,96%,There is something about yourself that you don't know.,Win (1 of 3)
482.,2018-01-25 21:19:33,123.46,99%,Popularity is only partially about individual attractiveness...,Win (1 of 2)
481.,2018-01-25 21:18:49,138.97,99%,These college kids out here - they're never gonna get old or...,Win (1 of 2)
480.,2018-01-25 21:16:58,121.42,98%,Me? Not at all. Remember: I'll do the talking. You sit there...,Win (1 of 5)
479.,2018-01-25 21:16:19,130.31,99%,"But you'd have to walk a thousand miles in my shoes, just to...",No win (2 of 3)
478.,2018-01-25 21:15:28,146.14,100%,Culture was the seed of proliferation but it's gotten melded...,Win (1 of 5)
477.,2018-01-25 21:14:47,124.63,98%,She was feeling the pressure of the world outside and she wa...,No win (2 of 4)
476.,2018-01-25 21:12:46,148.30,100%,"She can kill with a smile, she can wound with her eyes, she ...",Win (1 of 4)
475.,2018-01-24 14:28:06,128.17,98%,"With no map to navigate one's life, some of us have stood st...",Win (1 of 4)
474.,2018-01-24 14:27:21,134.06,98%,I'm not exactly the expert on this sort of thing - for that ...,Win (1 of 3)
473.,2018-01-24 14:26:31,131.85,99%,"I'm happy here. You know, someone once told me my life is a ...",Win (1 of 4)
472.,2018-01-24 14:25:40,124.24,97%,"My hours of leisure I spent in reading the best authors, anc...",No win (3 of 5)
471.,2018-01-24 14:24:59,119.13,97%,"Bobby, my uncle loves you. He needs you. So you're gonna get...",No win (3 of 4)
470.,2018-01-24 14:24:23,151.40,100%,"Look Dave, I can see you're really upset about this. I hones...",Win (1 of 5)
469.,2018-01-24 14:23:48,134.29,99%,"To be fair, English is full of booby traps for the unwary fo...",No win (3 of 4)
468.,2018-01-24 14:23:03,117.89,98%,"Am I glad to see you! The Princess... and I... and, well, ev...",No win (3 of 3)
467.,2018-01-24 14:21:03,158.32,100%,Therefore a man shall leave his father and mother and be joi...,No win (2 of 5)
466.,2018-01-24 12:19:13,133.70,98%,"It seems to me that the best relationships, the ones that la...",Win (1 of 2)
465.,2018-01-24 12:18:17,130.38,99%,"These mist-covered mountains are a home now for me, but my h...",Win (1 of 3)
464.,2018-01-24 12:17:48,109.04,97%,"Nothing, nothing mattered, and I knew why. So did he. Throug...",No win (2 of 4)
463.,2018-01-24 12:16:30,127.00,99%,The great edifice of variety and choice that is an American ...,Win (1 of 3)
462.,2018-01-24 12:15:48,146.48,99%,I don't think we'd have any alternatives. There isn't a sing...,Win (1 of 5)
461.,2018-01-24 12:15:16,133.72,97%,This is a promise with a catch. Only if you're looking can i...,Win (1 of 5)
460.,2018-01-24 12:13:35,132.60,99%,"With the lights out, it's less dangerous. Here we are now, e...",Win (1 of 4)
459.,2018-01-24 12:13:03,131.90,99%,"We all have too many wheels, screws and valves to judge each...",No win (2 of 4)
458.,2018-01-24 12:12:07,120.93,98%,So you think you can stone me and spit in my eye? So you thi...,Win (1 of 3)
457.,2018-01-24 12:10:58,112.91,96%,"If this were Russia, yeah sure. Everyone would go to one San...",Win (1 of 5)
456.,2018-01-24 12:10:14,112.43,97%,Through error you come to the truth! I am a man because I er...,Win (1 of 3)
455.,2018-01-24 12:09:43,137.73,99%,"As if that blind rage had washed me clean, rid me of hope; f...",Win (1 of 3)
