545.,2013-06-10 15:29:07,65.80,94%,"No matter how bad things are, you can always make things wor...",No win (2 of 5)
544.,2013-06-10 15:28:22,60.53,93%,"That's Tommy. He tells people he was named after a gun, but ...",No win (2 of 5)
543.,2013-06-10 15:27:42,46.53,89%,The pickpockets' profession demands extraordinary nimbleness...,No win (3 of 3)
542.,2013-06-10 15:26:40,60.27,94%,Typing competitions provided another test of the Qwerty keyb...,Win (1 of 5)
541.,2013-06-10 15:25:18,67.10,94%,"The time I waited seemed endless, and I felt doubts and fear...",No win (3 of 5)
540.,2013-05-24 12:45:02,55.55,94%,"According to the popular story, the keyboard invented by Aug...",No win (2 of 3)
539.,2013-05-24 12:42:11,66.18,97%,The chemistry of an element is determined by the manner in w...,Win (1 of 4)
538.,2013-05-24 12:41:23,49.31,92%,"Whether you're a student, secretary, office administrator, m...",No win (3 of 4)
537.,2013-05-24 12:39:32,62.66,93%,"I rejected those answers; instead, I chose something differe...",No win (3 of 5)
536.,2013-05-24 12:37:47,60.91,94%,A giant inverted steel pyramid is perfectly balanced on its ...,No win (2 of 5)
535.,2013-05-24 12:36:27,61.64,93%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 5)
534.,2013-05-24 12:22:21,66.74,94%,We were playing checkers. I used to kid her once in a while ...,No win (4 of 5)
533.,2013-05-24 12:21:03,69.30,93%,And I don't believe in the existence of angels but looking a...,Win (1 of 3)
532.,2013-05-24 12:18:51,63.63,97%,"And today, Lady Liberty is under attack from the cable chann...",No win (4 of 5)
531.,2013-05-24 12:17:43,67.88,94%,So it's all come back round to breaking apart again. Breakin...,No win (3 of 5)
530.,2013-05-24 12:16:26,57.38,94%,The theory of music emphasizes the elements from which music...,No win (4 of 5)
529.,2013-05-24 12:15:10,68.99,99%,From compositional considerations the tomato layer would be ...,No win (2 of 4)
528.,2013-05-24 12:13:14,63.74,97%,What? A swallow carrying a coconut? It's not a question of w...,Win (1 of 3)
527.,2013-05-24 12:11:25,63.00,92%,"But, pray how could that which I spoke so many years ago, an...",No win (2 of 5)
526.,2013-05-24 12:09:58,55.56,94%,"The result has been the emergence of what some call the ""win...",No win (3 of 3)
525.,2013-05-24 12:08:26,57.10,90%,Yet the web of thought has no such creases and is more like ...,No win (2 of 3)
524.,2013-05-24 12:07:22,53.67,92%,"In May 1980, Fidel Castro opened the harbor at Mariel, Cuba ...",No win (2 of 4)
523.,2013-05-20 14:33:31,76.19,97%,Come sail your ships around me and burn your bridges down. W...,No win (3 of 5)
522.,2013-05-20 14:32:16,61.89,95%,When considering the cultural significance of this intriguin...,No win (2 of 5)
521.,2013-05-20 14:31:23,64.43,95%,Remember that humor is written backwards. That means you fir...,No win (2 of 5)
520.,2013-05-20 14:28:49,70.61,99%,Remembering you running soft through the night. You were big...,No win (2 of 5)
519.,2013-05-20 14:28:01,53.96,95%,"Oh bliss! Bliss and heaven! Oh, it was gorgeousness and gorg...",Win (1 of 4)
518.,2013-05-20 14:26:52,56.07,91%,"I was shaking like a leaf, so without thinking I lit up a ci...",No win (5 of 5)
517.,2013-05-20 14:25:16,60.78,97%,There's a piece of Maria in every song that I sing. And the ...,No win (5 of 5)
516.,2013-05-20 14:23:37,51.88,93%,"In short order, Carter then proceeded to kill any chance he ...",No win (4 of 4)
515.,2013-05-20 14:22:04,46.46,86%,"No man is an island, entire of itself; every man is a piece ...",No win (3 of 5)
514.,2013-05-20 14:20:04,53.15,92%,"The boy has not a real choice, has he? Self-interest, the fe...",No win (2 of 5)
513.,2013-05-20 14:18:52,63.13,96%,"O clear intelligence, force beyond all measure! Gentlemen, I...",No win (2 of 5)
512.,2013-05-20 14:18:01,58.86,90%,"The problem is, Willie, is that Charles and yourself are not...",Win (1 of 4)
