597.,2018-02-16 15:03:32,124.17,98%,"In a 32-bit world, you're a 2-bit user. You've got your own ...",No win (2 of 3)
596.,2018-02-16 14:45:50,133.59,98%,"I've seen it watching me, that misty thing without a face. I...",Win (1 of 5)
595.,2018-02-15 18:23:08,118.93,98%,"During the twenties, when Prohibition was at its height, vas...",Win (1 of 4)
594.,2018-02-15 18:22:28,133.07,98%,"Actually, it's more of a behavioral observation. Like, say t...",Win (1 of 3)
593.,2018-02-15 18:21:43,131.91,98%,Although reflection mapping can be used to produce a number ...,Win (1 of 5)
592.,2018-02-15 18:20:56,134.57,99%,Within some disciplines prediction and practical application...,No win (2 of 5)
591.,2018-02-06 01:57:13,134.98,99%,"He guessed as well as he could, and crawled along for a good...",Win (1 of 2)
590.,2018-01-11 16:18:15,125.01,97%,"Walked out this morning, I don't believe what I saw: a hundr...",Win (1 of 4)
589.,2018-01-10 09:56:23,134.10,98%,"Yeah, I read that too. Were you gonna plagiarize the whole t...",Win (1 of 3)
588.,2017-12-05 19:15:49,134.63,97%,"Then you compared a woman's love to Hell, to barren land whe...",No win (2 of 3)
587.,2017-12-05 19:13:37,141.11,99%,"A lot of people, especially this one psychoanalyst guy they ...",Win (1 of 4)
586.,2017-12-05 19:12:52,139.66,98%,I know now that it's over. I knew it then. There would be no...,Win (1 of 5)
585.,2017-12-05 19:12:22,110.50,98%,"To protect you both from the Emperor, you were hidden from y...",No win (2 of 5)
584.,2017-12-04 20:19:57,135.19,99%,I feel sorry for you. What it must feel like to want to pull...,Win (1 of 4)
583.,2017-12-04 20:19:12,132.06,98%,Society is commonly too cheap. We meet at very short interva...,Win (1 of 4)
582.,2017-12-04 13:30:28,130.91,97%,As I walk through the valley where I harvest my grain I take...,Win (1 of 3)
581.,2017-12-04 13:29:53,143.96,98%,"Often, we assume that a familiar situation will be but a rep...",Win (1 of 5)
580.,2017-12-04 13:29:18,133.47,98%,I was having this awful nightmare that I was 32. And then I ...,No win (2 of 3)
579.,2017-12-04 13:28:44,148.87,99%,Tears are handy for washing away troubling and sad feelings....,Win (1 of 5)
578.,2017-12-04 13:27:56,123.31,98%,"Radiation could be precisely determined, in principle, if we...",Win (1 of 4)
577.,2017-12-04 13:26:56,155.30,99%,Before he leaves the camp he stops. He scans the world outsi...,Win (1 of 3)
576.,2017-12-04 13:26:14,140.69,98%,"Don't you know what it means to me to be a Marine, Dad? Ever...",Win (1 of 3)
575.,2017-12-04 13:25:40,132.96,98%,"Warmer water increases the moisture content of storms, and w...",Win (1 of 5)
574.,2017-12-04 13:24:54,109.82,98%,"The Mexican embassy on Washington, DC's Pennsylvania Avenue ...",Win (1 of 3)
573.,2017-12-04 13:24:06,132.03,98%,So you think you can stone me and spit in my eye? So you thi...,Win (1 of 3)
572.,2017-12-04 13:23:17,140.19,99%,The passage of time in prisons is not in a cell of brick and...,Win (1 of 3)
571.,2017-12-04 13:21:50,129.11,99%,"In the early days of paperback books, the paper used was ver...",Win (1 of 2)
570.,2017-12-04 13:21:07,139.49,98%,I don't understand you people! I mean all these picky little...,Win (1 of 4)
569.,2017-12-04 13:20:18,151.09,99%,"It's a thousand pages, give or take a few. I'll be writing m...",Win (1 of 2)
568.,2017-12-04 13:19:07,139.11,99%,"Why, if I had a brain I could... I could wile away the hours...",Win (1 of 4)
567.,2017-12-04 13:18:29,131.99,98%,Deserves it! I daresay he does. Many that live deserve death...,Win (1 of 5)
566.,2017-12-04 13:17:50,123.99,98%,We may formulate the general principle that the tempo is cor...,Win (1 of 3)
565.,2017-12-04 13:16:05,105.61,97%,The Canadians were glad to keep mum. The scheme would boost ...,No win (2 of 4)
564.,2017-12-04 13:15:22,137.69,98%,"She came into a room; she stood, as he had often seen her, i...",Win (1 of 3)
