802.,2015-05-20 15:41:36,121.43,89%,Even the best-designed chair won't make up for bad posture. ...,No win (2 of 4)
801.,2015-05-20 15:41:02,98.71,89%,"Prior to the 1970's, because the United States had long been...",Win (1 of 5)
800.,2015-05-20 15:40:00,127.48,97%,"The only people for me are the mad ones, the ones who are ma...",No win (2 of 5)
799.,2015-04-23 20:45:55,126.01,94%,Everything we hold dear likewise resolves into its original ...,Win (1 of 3)
798.,2015-04-13 16:23:27,139.11,99%,I drew the blankets over my head and tried to think of Chris...,Win (1 of 3)
797.,2015-04-13 16:22:09,151.70,92%,The example of painting can teach us not only how to manage ...,Win (1 of 3)
796.,2015-03-26 19:03:39,128.24,94%,Your faith was strong but you needed proof. You saw her bath...,No win (3 of 3)
795.,2015-03-26 18:38:11,135.08,97%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 3)
794.,2015-03-26 18:35:37,146.35,99%,"And you know it's time to go, through the sleet and driving ...",Win (1 of 4)
793.,2015-03-26 18:34:40,146.37,100%,"You have a class of young strong men and women, and they wan...",Win (1 of 3)
792.,2015-03-26 18:33:58,142.23,99%,"When the light of life has gone, no change for the meter. Th...",Win (1 of 2)
791.,2015-03-26 18:33:17,135.64,96%,"The less you do with the controls, the less chance of error....",Win (1 of 2)
790.,2015-03-26 18:32:18,128.13,94%,"A computer needs a manager to administer its operations, jus...",Win (1 of 2)
789.,2015-03-26 18:31:24,127.10,93%,I am learning about twenty new Italian words a day. Where am...,Win (1 of 4)
788.,2015-03-26 18:30:48,128.98,95%,Popularity is only partially about individual attractiveness...,Win (1 of 3)
787.,2015-03-26 18:29:53,132.14,98%,It doesn't mean much to be able to filter out most present-d...,Win (1 of 3)
786.,2015-03-26 18:29:17,133.87,99%,Language is one of the keys to being human. It allows us to ...,No win (2 of 5)
785.,2015-03-26 18:28:37,111.20,93%,I suddenly had the impression that I had been left all alone...,Win (1 of 3)
784.,2015-03-26 18:27:53,128.40,95%,We live in a charmed world. If we have money we can buy lite...,Win (1 of 2)
783.,2015-03-26 18:26:58,126.80,98%,I had a friend who was a heavy drinker. If somebody asked hi...,Win (1 of 3)
782.,2014-12-06 12:18:03,135.28,99%,"In general, many of these targets are easier marks if you ar...",Win (1 of 4)
781.,2014-12-06 12:17:21,119.28,97%,Three changes occur while the stacked disk structure equilib...,Win (1 of 3)
780.,2014-12-06 12:16:22,108.15,92%,We all know people who are very bright but who do not always...,No win (3 of 3)
779.,2014-11-23 16:22:16,129.54,97%,It doesn't mean much to be able to filter out most present-d...,Win (1 of 2)
778.,2014-11-23 16:21:12,128.15,98%,"Good evening, London. Allow me first to apologize for this i...",Win (1 of 2)
777.,2014-04-01 20:13:51,131.86,98%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 3)
776.,2014-04-01 20:12:56,120.69,98%,Yet the web of thought has no such creases and is more like ...,Win (1 of 4)
775.,2014-04-01 20:12:04,123.51,93%,Every time I think of you I feel shot right through with a b...,Win (1 of 4)
774.,2014-04-01 20:11:18,110.91,91%,"Air-conditioned, odorless, illuminated by buzzing fluorescen...",No win (2 of 3)
773.,2014-04-01 20:10:31,122.34,99%,I will need my spectacles and a clear head. Today I broke my...,No win (2 of 4)
772.,2014-04-01 20:09:38,129.86,95%,"When Betty and Billy fell asleep, he walked down to the kitc...",Win (1 of 3)
771.,2014-04-01 13:02:28,135.65,99%,Instead of hiring workers during the peak hog kill in the wi...,Win (1 of 2)
