587.,2018-01-25 18:43:30,99.87,94%,"No matter where you stand on the long path, right now, try v...",No win (4 of 5)
586.,2018-01-25 18:43:04,114.71,99%,"A computer needs a manager to administer its operations, jus...",Win (1 of 5)
585.,2018-01-25 18:39:22,100.10,97%,The time has come for man to set himself a goal. The time ha...,No win (5 of 5)
584.,2018-01-25 18:38:26,89.32,97%,Dictionaries are designed to appear authoritative. They're t...,Win (1 of 5)
583.,2018-01-25 18:37:32,111.07,98%,Droll thing life is - that mysterious arrangement of mercile...,Win (1 of 4)
582.,2018-01-19 17:55:03,108.37,96%,I felt the urge to reassure him that I was like everybody el...,No win (2 of 5)
581.,2018-01-19 17:46:50,115.34,99%,You've undoubtedly noticed how some authors go to so much tr...,Win (1 of 4)
580.,2018-01-19 17:45:03,84.04,97%,"No, it is impossible; it is impossible to convey the life-se...",No win (2 of 3)
579.,2018-01-19 17:43:14,124.41,96%,You are what you are and you are where you are because of wh...,No win (2 of 5)
578.,2018-01-19 17:41:22,91.89,99%,"In the past, all a King had to do was look respectable in un...",No win (3 of 3)
577.,2018-01-19 17:38:09,101.36,95%,"I have already told you, I have no further stocks of Veritas...",No win (2 of 5)
576.,2018-01-19 17:30:13,109.90,99%,"There are times, sir, when men of good conscience cannot bli...",Win (1 of 5)
575.,2018-01-19 17:08:54,97.92,99%,"You're right, Mom. I shouldn't let this bother me. I'm in te...",Win (1 of 5)
574.,2018-01-19 16:59:36,129.02,99%,"Hope you're feeling better now, hope you got my letter, how ...",No win (2 of 2)
573.,2017-12-28 14:33:41,102.84,98%,"You see, I feel sorrier for you than I do for him. Because y...",Win (1 of 3)
572.,2017-12-28 14:32:48,128.92,99%,There's a feeling I get when I look to the west and my spiri...,Win (1 of 5)
571.,2017-12-28 14:32:10,129.43,99%,"Both ways set out from the senses and particulars, and rest ...",Win (1 of 5)
570.,2017-12-28 14:31:15,108.72,99%,And his dad's smile faded just a bit - the prodigy could rea...,No win (3 of 5)
569.,2017-12-28 14:30:31,108.98,99%,"You get a shiver in the dark, it's a-raining in the park but...",Win (1 of 4)
568.,2017-12-28 14:29:43,94.45,97%,Informal manufacturing activities often have strong domestic...,Win (1 of 2)
567.,2017-12-28 14:28:47,114.04,98%,We're all taught from a young age that there are only two ch...,Win (1 of 5)
566.,2017-12-28 14:27:52,89.01,96%,I'll talk about whomever I want. She loved her children - I ...,No win (2 of 4)
565.,2017-12-28 14:26:55,112.77,98%,Danger is a topic you're often asked about as a sprinter. Th...,Win (1 of 4)
564.,2017-12-28 14:25:58,105.41,98%,The problem was the industry wasn't measured by who has the ...,Win (1 of 5)
563.,2017-12-28 14:25:08,101.36,98%,You can tell me that your dog ran away then tell me that it ...,Win (1 of 4)
562.,2017-12-28 14:24:21,103.74,98%,Under the lights when everything goes. Nowhere to hide when ...,No win (3 of 3)
561.,2017-12-28 14:23:55,85.76,98%,"So let me get this straight. Wait, I'm the rookie? But my fe...",No win (2 of 4)
560.,2017-12-28 14:23:19,100.76,98%,One of the few things I still miss from my Midwest childhood...,No win (2 of 2)
559.,2017-12-28 14:21:58,108.75,98%,The only preventive thing I do is wash clothes after buying ...,No win (3 of 4)
558.,2017-12-28 14:21:15,130.16,99%,"Using the laser guide, you can steer your rocket past the gu...",No win (2 of 4)
557.,2017-12-28 14:20:37,99.86,97%,I don't want you to think of this as just a film - some proc...,No win (2 of 4)
556.,2017-12-28 14:19:33,90.27,98%,"If all else perished, and he remained, I should still contin...",No win (3 of 5)
555.,2017-12-28 14:18:57,91.37,98%,My name is Percy Jackson. I'm twelve years old. Until a few ...,No win (2 of 5)
554.,2017-12-28 14:18:15,97.26,98%,Although reflection mapping can be used to produce a number ...,No win (2 of 3)
553.,2017-12-28 14:16:50,92.06,96%,"Walked out this morning, I don't believe what I saw: a hundr...",Win (1 of 5)
552.,2017-12-28 14:16:14,89.65,98%,Even the best-designed chair won't make up for bad posture. ...,No win (2 of 4)
551.,2017-12-28 13:41:22,117.78,98%,It's a fallen situation when all eyes are turned in and a lo...,No win (4 of 5)
550.,2017-12-28 13:40:44,110.78,98%,"In the early days of paperback books, the paper used was ver...",Win (1 of 3)
549.,2017-12-28 13:39:54,122.28,99%,"He's got a two day head start on you, which is more than he ...",Win (1 of 4)
548.,2017-12-28 13:39:13,97.26,98%,Social change is the restructuring of human social instituti...,Win (1 of 4)
547.,2017-12-28 13:38:00,70.78,97%,"I know what you're thinking, how the heck does a fifty-two y...",No win (5 of 5)
546.,2017-12-28 13:37:00,101.58,98%,There are very few things I wish I could change about those ...,No win (2 of 5)
545.,2017-12-28 13:36:08,89.66,98%,"Dan, let me tell you something. In this envelope are all the...",No win (2 of 4)
544.,2017-12-28 13:35:14,91.89,98%,In groups where there are high levels of emotional and socia...,No win (1 of 1)
543.,2017-12-28 13:34:27,112.88,99%,Your inner child will be happy to know that when it comes to...,Win (1 of 3)
542.,2017-12-28 13:33:32,79.90,97%,You don't think I'd sacrifice this one? Let me explain somet...,No win (3 of 4)
541.,2017-12-28 13:32:29,92.87,98%,I can't see the rationality. The world's not my responsibili...,Win (1 of 5)
540.,2017-12-28 13:31:42,115.46,99%,"There's a sort of evil out there. Something very, very stran...",Win (1 of 5)
539.,2017-12-28 13:31:01,69.66,97%,"Pulp: 1. A soft, moist, shapeless mass or matter. 2. A magaz...",No win (2 of 4)
538.,2017-12-28 13:30:17,90.20,98%,"Of the Cold War era's myriad development projects, none has ...",Win (1 of 5)
537.,2017-12-28 13:29:25,74.62,97%,"Mr. Hodge began explaining the point of the hike, something ...",No win (4 of 5)
536.,2017-12-28 13:28:13,91.48,99%,You are the most important thing to me now. The most importa...,No win (4 of 5)
535.,2017-12-28 13:27:43,83.72,96%,"There's no sunshine, this impossible year. Only black days a...",No win (2 of 5)
534.,2017-12-28 13:26:33,100.14,98%,Fly me to the moon and let me play among the stars. Let me s...,Win (1 of 3)
533.,2017-12-28 13:25:38,75.78,97%,Inadequate ventilation of poultry houses results in a build-...,No win (2 of 3)
532.,2017-12-28 13:22:13,83.43,97%,"I took her to a supermarket. I don't know why, but I had to ...",Win (1 of 4)
531.,2017-12-28 13:21:14,90.47,98%,"Mr. and Mrs. Dursley, of number four, Privet Drive, were pro...",Win (1 of 2)
530.,2017-12-28 13:20:24,105.21,98%,"He always seemed to women different from what he was, and th...",No win (2 of 3)
529.,2017-12-28 12:57:46,103.54,98%,"The man who reviews his own life, as I do mine, in going on ...",No win (2 of 5)
528.,2017-12-28 12:56:59,105.68,98%,"The world of typing has changed. In the 1970s, every busines...",No win (2 of 3)
527.,2017-12-28 12:56:15,98.81,97%,Three shiny steel doors stand at the centre of the hallway. ...,No win (3 of 5)
526.,2017-12-28 12:55:31,104.73,97%,The one place where a man ought to get a square deal is in a...,No win (2 of 4)
525.,2017-12-28 12:54:20,111.90,98%,"We spent as much money as we could, and got as little for it...",Win (1 of 4)
524.,2017-12-28 12:53:20,115.85,99%,So now the sadness comes - the revelation. There is a depres...,No win (3 of 5)
523.,2017-12-28 12:52:18,119.37,97%,She may be the face I can't forget. The trace of pleasure or...,Win (1 of 5)
522.,2017-12-28 12:51:37,76.82,98%,"There is no hate, only joy. For you are beloved by the godde...",No win (2 of 5)
521.,2017-12-28 12:50:50,85.77,97%,"IBM is like Switzerland: conservative, a little dull, yet pr...",No win (2 of 4)
520.,2017-03-11 15:47:31,91.25,89%,"In the early days of radio astronomy, many radio sources wer...",No win (2 of 5)
519.,2017-03-11 15:46:12,133.77,98%,Mom says each of us has a veil between ourselves and the res...,No win (2 of 5)
518.,2017-03-11 15:45:04,115.11,91%,"She seemed to know, to accept, to welcome her position, the ...",No win (2 of 5)
517.,2017-03-11 15:43:59,144.81,99%,I don't like work - no man does - but I like what is in the ...,Win (1 of 5)
516.,2017-03-11 15:43:25,97.51,92%,The throne rumbled. A wave of gale-force anger slammed into ...,Win (1 of 4)
515.,2017-03-11 15:41:57,101.51,87%,"This was the most delicious meal he'd had in recent years, a...",No win (2 of 5)
514.,2017-03-11 15:41:14,125.13,99%,"And though my journeys did take me to a great many states, a...",Win (1 of 5)
513.,2017-03-11 15:40:29,110.71,97%,There's a piece of Maria in every song that I sing. And the ...,No win (3 of 5)
512.,2017-03-11 15:39:54,86.59,94%,"So, I'm tending bar there at Ecklund & Swedlin's last Tu...",Win (1 of 4)
511.,2017-03-11 15:38:54,131.54,97%,"All life's battles teach us something, even those we lose. W...",Win (1 of 4)
510.,2017-03-11 15:38:09,80.61,85%,"I'm going to improvise. Listen, there's something you should...",No win (4 of 5)
509.,2017-03-11 15:31:45,128.46,98%,"We've had vicious kings and we've had idiot kings, but I don...",Win (1 of 5)
508.,2017-03-11 15:31:22,110.31,92%,Perhaps I'm just projecting my own concern about it. I know ...,Win (1 of 5)
507.,2017-03-11 15:30:47,103.56,98%,"And now, as I close my task, subduing my desire to linger ye...",No win (2 of 3)
506.,2017-03-11 15:30:14,137.27,97%,"You must love your work, and not be always looking over the ...",Win (1 of 5)
505.,2017-03-11 15:29:43,116.86,94%,"I am doing good to the poor, but I differ in opinion about t...",No win (2 of 3)
504.,2017-03-11 15:29:10,105.62,89%,Paper as we know it today was invented in China in around 10...,No win (3 of 3)
503.,2017-03-11 15:28:20,110.11,95%,I was standing all alone in the world outside. You were sear...,No win (2 of 5)
502.,2017-03-11 15:27:45,118.36,94%,The weird thing about houses is that they almost always look...,No win (2 of 2)
501.,2017-03-11 15:27:09,115.15,100%,I saw a strange thing today. Some rebels were being arrested...,Win (1 of 5)
500.,2017-02-18 12:45:41,128.72,97%,A good cook changes his knife once a year because he cuts. A...,Win (1 of 3)
499.,2017-02-06 14:30:48,98.05,95%,"In short order, Carter then proceeded to kill any chance he ...",No win (2 of 4)
498.,2017-02-04 13:54:45,128.38,92%,Punishment and negative reinforcement are opposites. Punishm...,No win (2 of 4)
497.,2017-02-04 13:53:56,140.90,96%,"Contrary to the feminist cant, there are many things we can ...",No win (2 of 5)
496.,2017-02-04 13:53:24,106.26,90%,The day is made up of 24 hours and an infinite number of mom...,No win (3 of 4)
495.,2017-02-04 13:52:48,127.16,93%,"Hope you're feeling better now, hope you got my letter, how ...",No win (2 of 4)
494.,2017-02-04 13:52:13,120.22,97%,"Whether you're a student, secretary, office administrator, m...",No win (2 of 4)
493.,2017-02-04 13:51:43,102.41,86%,I met him down near the border. Said he wanted me to work wi...,No win (4 of 4)
492.,2017-02-04 13:51:04,133.30,91%,I'll tell you a secret. Something they don't teach you in yo...,Win (1 of 5)
491.,2017-02-04 13:50:25,125.92,93%,"When we pulled out into the winter night and the real snow, ...",Win (1 of 5)
490.,2017-02-04 13:49:13,125.41,93%,To think that the affairs of this life always remain in the ...,No win (2 of 3)
489.,2017-02-04 13:48:18,133.45,94%,Don't your feet get cold in the winter time? The sky won't s...,No win (2 of 5)
488.,2017-02-04 13:47:50,113.87,87%,"Anyway, it's best not to think about them, as if you do it m...",No win (2 of 2)
487.,2017-02-04 13:46:52,115.21,90%,Data is by definition easy to copy. And the Internet makes c...,No win (2 of 3)
486.,2017-02-04 13:45:57,141.69,94%,Sometimes you never feel meaner than the moment you stop bei...,Win (1 of 3)
485.,2017-02-04 13:45:20,128.91,97%,The largest piece of our nutrition puzzle belongs to carbohy...,No win (2 of 3)
484.,2017-02-04 13:44:43,94.47,81%,"It is a period of civil war. Rebel spaceships, striking from...",No win (2 of 2)
483.,2017-02-04 13:43:47,133.99,99%,The invention of the wheel represented a major turning point...,Win (1 of 4)
482.,2017-02-04 13:43:09,133.22,97%,The invention of the wheel represented a major turning point...,No win (2 of 3)
481.,2017-02-04 13:42:30,134.22,96%,There are still some places where you can get all you can ea...,Win (1 of 2)
