899.,2017-09-10 22:48:08,132.10,99%,Although reflection mapping can be used to produce a number ...,Win (1 of 3)
898.,2017-09-10 22:46:38,71.61,97%,"Her eyes, like windows, trickle in rain upon the pain gettin...",Win (1 of 2)
897.,2017-05-26 09:15:13,127.55,98%,You don't care about anything except you. You just want to p...,Win (1 of 3)
896.,2017-05-22 08:48:21,133.26,100%,Good games offer players a set of challenging problems and t...,No win (2 of 4)
895.,2017-05-22 08:46:49,130.01,99%,"My son, from whence this madness, this neglect of my command...",Win (1 of 4)
894.,2017-05-22 08:44:57,134.03,98%,Antoon used to import paint cans. That's simply too expensiv...,Win (1 of 4)
893.,2017-05-22 08:44:15,115.41,96%,"I'll dive in the sky. Oh, the waters alive! I'll float down ...",Win (1 of 4)
892.,2017-05-20 08:20:56,146.79,100%,"I think that if I ever have kids, and they are upset, I won'...",No win (2 of 5)
891.,2017-05-20 08:20:09,128.46,98%,"Right, I am going to tell you how this works. You're going i...",Win (1 of 3)
890.,2017-05-20 08:17:57,133.51,97%,But I really believe that there are more good people on this...,No win (3 of 3)
889.,2017-05-20 08:16:54,127.32,98%,You were the chosen one! It was said that you would destroy ...,Win (1 of 4)
888.,2017-05-20 08:08:11,138.96,99%,"You know, sweetheart, if there's one thing I've learned, it'...",Win (1 of 3)
887.,2017-05-20 08:06:11,132.50,99%,You know I work all day to get you money to buy you things. ...,Win (1 of 2)
886.,2017-04-02 03:16:39,128.24,100%,Maybe you should come with me for a few weeks. See what happ...,No win (2 of 3)
885.,2017-04-02 03:15:08,132.83,99%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 3)
884.,2017-04-02 03:13:32,125.63,100%,"She would follow, her dream of love, the dictates of her hea...",Win (1 of 2)
883.,2017-04-02 03:12:30,134.76,100%,"To pass beyond is what I seek, I fear that I may be too weak...",Win (1 of 5)
882.,2017-04-02 03:11:57,114.12,96%,There is a stubbornness about me that never can bear to be f...,Win (1 of 4)
881.,2017-04-02 03:10:06,119.82,97%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 4)
880.,2017-04-02 03:08:23,115.37,96%,God help the man who ever really loves you. You'd break his ...,Win (1 of 4)
879.,2016-12-30 14:42:27,115.26,96%,There is nothing more admirable than when two people who see...,No win (3 of 5)
878.,2016-12-30 14:41:46,111.17,98%,"So don't be afraid; your heart is in me, and it's racing so ...",Win (1 of 3)
877.,2016-12-30 14:41:04,128.68,99%,The boy had been working for the crystal merchant for almost...,No win (3 of 3)
876.,2016-12-30 14:37:41,121.78,97%,Stab a sorry heart with your favorite finger. Paint the whol...,Win (1 of 2)
875.,2016-12-29 05:53:28,103.23,93%,I still see things that are not here. I just choose not to a...,Win (1 of 3)
874.,2016-12-29 05:51:57,116.38,95%,"She's got a smile that, it seems to me, reminds me of childh...",Win (1 of 3)
873.,2016-12-10 02:15:14,127.22,99%,I don't know whether it's necessary or not; but this I do kn...,No win (3 of 3)
872.,2016-11-20 06:51:55,129.12,99%,Is that what your little note says? It must be hard living y...,Win (1 of 3)
871.,2016-11-16 04:56:12,115.92,97%,"The boy has not a real choice, has he? Self-interest, the fe...",Win (1 of 2)
870.,2016-11-12 22:28:05,122.74,95%,We were the people who were not in the papers. We lived in t...,No win (2 of 5)
