647.,2017-03-21 21:16:45,127.95,95%,I hope I cut myself shaving tomorrow. I hope it bleeds all d...,No win (2 of 4)
646.,2017-03-21 21:15:28,129.46,98%,"Life is not suffering; it's just that you will suffer it, ra...",No win (3 of 3)
645.,2017-03-21 21:03:12,132.40,99%,The man who passes the sentence should swing the sword. If y...,Win (1 of 4)
644.,2017-03-19 15:04:00,136.55,100%,Some feeling had started in my stomach and was traveling up ...,Win (1 of 4)
643.,2017-03-04 20:01:27,128.15,98%,We passionately long that there may be another life in which...,Win (1 of 4)
642.,2017-02-05 23:52:33,134.96,97%,Sometimes I wondered if I was seeing the same things through...,Win (1 of 2)
641.,2017-02-05 23:50:53,126.49,99%,"I am very proud, revengeful, ambitious, with more offences a...",Win (1 of 4)
640.,2017-01-29 23:59:02,119.75,96%,"In the past, all a King had to do was look respectable in un...",No win (2 of 4)
639.,2017-01-23 00:28:49,129.22,98%,"And I have one of those very loud, stupid laughs. I mean if ...",Win (1 of 2)
638.,2017-01-23 00:27:24,129.41,97%,"I took her hand in mine, and we went out of the ruined place...",Win (1 of 2)
637.,2017-01-23 00:23:41,120.74,94%,The ultimate way to compose is to be able to keyboard as fas...,No win (2 of 4)
636.,2017-01-11 02:00:31,125.54,97%,"I had a job, I had a girl. I had something going, mister, in...",Win (1 of 2)
635.,2017-01-11 01:53:26,122.18,94%,You are what you are and you are where you are because of wh...,No win (4 of 5)
634.,2017-01-11 01:49:44,124.42,96%,If there is one thing the history of evolution has taught us...,Win (1 of 3)
633.,2017-01-11 01:47:29,125.77,93%,You are what you are and you are where you are because of wh...,Win (1 of 4)
632.,2017-01-11 01:46:27,128.59,95%,We live in an age when people do more writing than they have...,Win (1 of 2)
631.,2016-12-22 21:19:12,110.70,95%,"Like the generations of leaves, the lives of mortal men. Now...",No win (3 of 5)
630.,2016-12-22 21:11:00,128.93,97%,All time is all time. It does not change. It does not lend i...,Win (1 of 3)
629.,2016-12-22 21:07:27,115.35,92%,"Your face has fallen sad now, for you know the time is nigh....",No win (2 of 3)
628.,2016-12-22 21:05:53,128.73,98%,Even the best-designed chair won't make up for bad posture. ...,No win (2 of 4)
627.,2016-12-22 21:05:05,127.36,97%,The only preventive thing I do is wash clothes after buying ...,Win (1 of 3)
626.,2016-12-22 21:04:25,114.80,94%,All that year the animals worked like slaves. But they were ...,No win (2 of 3)
625.,2016-12-22 21:02:43,115.28,95%,I saw a strange thing today. Some rebels were being arrested...,Win (1 of 3)
624.,2016-12-22 21:01:50,117.55,94%,"Well, the way they make shows is, they make one show. That s...",Win (1 of 3)
623.,2016-10-15 01:40:11,124.80,96%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 3)
622.,2016-10-15 01:38:39,116.86,95%,"With no map to navigate one's life, some of us have stood st...",Win (1 of 4)
621.,2016-10-15 01:35:31,110.55,91%,"When I close my eyes, I am at the center of the sun. And I c...",No win (2 of 2)
620.,2016-10-15 01:31:37,124.67,96%,Paranoia is a survival trait when you run in my circles. It ...,Win (1 of 4)
619.,2016-10-15 01:30:44,113.43,94%,"A long time ago, I was in Burma, my friends and I were worki...",Win (1 of 5)
618.,2016-10-15 01:26:44,127.27,97%,"I felt dull and somnolent, for daytime sleep is like the sin...",No win (2 of 3)
617.,2016-10-15 01:24:14,115.80,97%,"We turn away to face the cold, enduring chill, as the day be...",Win (1 of 3)
616.,2016-10-12 23:10:51,117.57,92%,You are what you are and you are where you are because of wh...,No win (2 of 4)
615.,2016-10-12 23:08:56,116.29,95%,"Well, the way they make shows is, they make one show. That s...",No win (2 of 5)
614.,2016-10-11 23:42:37,121.42,96%,"I had a dream. There was our world, and the world was dark b...",No win (2 of 5)
613.,2016-10-11 23:38:04,124.88,95%,We sit silently and watch the world around us. This has take...,Win (1 of 2)
612.,2016-10-11 23:33:15,119.78,97%,Paranoia is a survival trait when you run in my circles. It ...,Win (1 of 3)
611.,2016-09-25 20:39:17,119.29,97%,Jay made up for the lack of glamour in his assignment by hav...,No win (2 of 3)
610.,2016-09-25 20:31:37,113.76,93%,"Well, it just so happens, this hacienda comes with its very ...",No win (2 of 3)
609.,2016-09-25 20:30:02,116.43,95%,The shearers' hut had bark walls and a tin roof. The floors ...,No win (2 of 4)
608.,2016-09-18 20:13:52,113.88,93%,"It led me by the hand, as if to fill the niches in the memor...",No win (1 of 1)
607.,2016-09-18 20:11:41,111.84,93%,"If you know the enemy and know yourself, you need not fear t...",Win (1 of 3)
606.,2016-09-07 14:51:05,98.42,95%,The unknown future rolls toward us. I face it for the first ...,No win (3 of 5)
605.,2016-09-07 14:50:37,104.89,93%,"So I was sitting in my cubicle today, and I realized, ever s...",Win (1 of 3)
604.,2016-09-02 20:23:56,109.00,93%,"But no matter how effective the lesson was, I never really u...",Win (1 of 4)
603.,2016-09-02 13:40:52,126.82,97%,Sometimes you concentrate more on racing the cars around you...,Win (1 of 3)
602.,2016-08-28 01:21:41,116.81,98%,All the blue light reflections that color my mind when I sle...,Win (1 of 2)
601.,2016-08-28 01:18:14,118.05,98%,"In fact, the mere act of opening the box will determine the ...",Win (1 of 3)
600.,2016-08-28 01:16:55,103.49,89%,"For centuries, the battle of morality was fought between tho...",No win (2 of 4)
599.,2016-08-28 01:15:10,108.62,95%,The great edifice of variety and choice that is an American ...,Win (1 of 3)
598.,2016-08-28 01:09:01,129.21,99%,I used to dread getting older because I thought I would not ...,Win (1 of 5)
597.,2016-08-28 01:08:31,117.81,98%,To an outsider's ear it sounds absurdly wild and ridiculous ...,Win (1 of 4)
596.,2016-08-20 17:48:54,110.81,94%,"The terminator wouldn't stop, it would never leave him. It w...",No win (3 of 3)
595.,2016-05-30 13:38:24,133.12,97%,Writing is hard work. A clear sentence is no accident. Very ...,Win (1 of 4)
594.,2016-05-30 13:36:21,109.39,94%,In the beginning there was only a small amount of injustice ...,No win (2 of 5)
593.,2016-05-30 13:33:39,109.36,94%,"But suddenly, I viddied that thinking was for the gloopy one...",Win (1 of 2)
592.,2016-05-30 13:18:33,103.43,89%,As much money and life as you could want! The two things mos...,Win (1 of 3)
591.,2016-05-30 13:15:42,124.80,97%,The one place where a man ought to get a square deal is in a...,Win (1 of 4)
590.,2016-05-30 13:14:33,112.18,94%,The most precious treasures we have in life are the images w...,No win (2 of 3)
589.,2016-05-09 19:52:57,109.97,96%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 3)
588.,2016-05-09 19:52:23,116.78,95%,The day is made up of 24 hours and an infinite number of mom...,No win (3 of 3)
587.,2016-05-09 19:51:28,105.99,94%,"If one day I could get out of here, I would allow myself to ...",No win (2 of 4)
586.,2016-05-09 19:43:03,111.39,96%,It's the possibility of having a dream come true that makes ...,No win (3 of 5)
585.,2016-05-05 21:17:07,116.78,97%,"Well, it just so happens, this hacienda comes with its very ...",No win (2 of 5)
584.,2016-05-05 21:15:10,111.58,91%,The beginner writes just twenty pieces. The professional wri...,No win (3 of 3)
583.,2016-05-03 23:00:54,107.27,91%,San Francisco in the middle sixties was a very special time ...,Win (1 of 4)
582.,2016-05-03 22:57:18,130.08,98%,It's really hard to do nothing totally. Even just sitting he...,Win (1 of 5)
581.,2016-05-03 22:56:41,127.12,99%,The most precious treasures we have in life are the images w...,No win (2 of 5)
580.,2016-05-03 22:52:41,116.74,96%,So it's all come back round to breaking apart again. Breakin...,Win (1 of 5)
579.,2016-04-26 18:14:12,108.03,96%,"If you want to drive a race car well, whether to win an Indy...",No win (3 of 3)
578.,2016-04-24 23:20:30,113.24,96%,I've been looking so long at these pictures of you that I al...,No win (3 of 4)
577.,2016-04-18 13:34:34,101.32,90%,Let's face it: there are tons of things in your home and lif...,Win (1 of 5)
576.,2016-04-17 23:59:19,104.47,93%,We're no strangers to love. You know the rules and so do I. ...,Win (1 of 2)
575.,2016-04-17 23:56:55,118.88,98%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 3)
574.,2016-04-12 22:29:37,100.69,94%,But speculations on the structure of the universe also move ...,Win (1 of 3)
573.,2016-04-12 22:28:25,115.86,97%,"May your hands always be busy, may your feet always be swift...",Win (1 of 3)
572.,2016-04-12 22:27:12,126.81,99%,If you're working out in front of a mirror and watching your...,Win (1 of 3)
571.,2016-04-12 22:26:05,114.98,97%,Gardeners know how to grow top-notch crops. They determine w...,Win (1 of 3)
570.,2016-04-12 22:21:13,104.83,91%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 2)
569.,2016-04-05 01:16:08,104.54,95%,Quality humor doesn't just deliver one gag and then tax the ...,Win (1 of 4)
